Tabela 7113 - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade, por sexo e grupo de idade	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
	18 anos ou mais	10.5	8.1	10	7.7	9.8	7.8	9.4	7.4	8.9	7.2	8.2	6.6	8.2	5.8
	25 anos ou mais	12.8	9.9	12	9.3	11.7	9.4	11.3	8.8	10.6	8.5	9.8	7.9	9.7	6.8
	40 anos ou mais	19	16.6	17.4	14.7	17.7	15.5	16.3	14.1	15.5	12.9	14.5	12	14.9	10.9
	60 anos ou mais	31	30.6	28.1	26.6	27.3	28.5	27.2	26	26.7	24.4	23.3	19.2	24.3	19.5
Amapá	15 anos ou mais	4.1	5.3	5.3	4.6	5.5	5.9	5.1	5.2	5	5	6	5.6	5.2	5.5
	18 anos ou mais	4.4	5.8	5.9	4.9	5.8	6.3	5.5	5.5	5.2	5.3	6.4	5.9	5.6	5.8
	25 anos ou mais	5.5	6.6	6.8	6.2	7.6	7.8	6.9	6.8	6.3	6.7	7.6	7.1	6.8	7.3
	40 anos ou mais	9.6	11.6	8.4	10.5	12.8	13.6	11.1	11.9	10.4	10.7	13.6	11.7	11.5	11.7
	60 anos ou mais	19.9	21.2	12.4	29.1	24.5	30.1	20.1	23.6	22.5	20.1	23.4	26.3	20.3	25.4
Tocantins	15 anos ou mais	10.6	8.5	10.1	8.6	9.9	8.2	9.2	8.6	8	6.4	8.1	7.4	7.4	5.8
	18 anos ou mais	11.4	9.3	11	9.2	10.6	8.8	9.9	9.2	8.6	6.8	8.6	8	7.8	6.2
	25 anos ou mais	13.8	11.3	13	10.9	12.6	10.3	11.4	10.8	10.3	8	10.2	9.5	9.2	7.2
	40 anos ou mais	22	18.8	21	18.2	20.1	15.8	17.3	16.5	16.2	12.1	15.7	14.3	13.7	10.5
	60 anos ou mais	40.3	38.7	35.6	36.4	34.2	31	33.3	32.1	29.1	25.6	28.4	30.5	23.8	23.1
Maranhão	15 anos ou mais	17	14.6	17.2	14.5	16.9	13.7	15.8	13.5	13.5	10.9	12.8	10.3	13	9.8
	18 anos ou mais	18.7	15.9	18.7	15.6	18.3	14.8	17.2	14.5	14.6	11.8	13.8	11.1	13.9	10.6
	25 anos ou mais	22.4	19.2	22.5	18.9	22.1	17.9	20.9	17.5	17.3	13.7	16.4	13.2	16.5	12.4
	40 anos ou mais	32.9	30.2	33.2	29.9	32.8	27.7	30.7	27.2	25.3	21.3	24.5	20.5	24.9	19.2
	60 anos ou mais	47.2	48.9	47.4	48.5	47.5	43.8	46.5	45.8	36.9	36	35.4	35.4	38.3	31.6
Piauí	15 anos ou mais	18.4	14	18.2	13.2	17	14	16.8	13.2	16.2	13.5	14.8	11.8	15.6	12.1
	18 anos ou mais	19.7	14.9	19.6	14.1	18.3	14.9	17.9	13.9	17.3	14.2	15.7	12.5	16.5	12.7
	25 anos ou mais	23	17.3	22.9	16.8	21.6	17.7	20.9	16.7	20.3	16.5	18.3	14.4	18.8	14.7
	40 anos ou mais	33.3	25.7	33.4	25.4	30.8	25.5	29.5	24.5	29.1	24.4	25.9	20.9	27.8	21.6
	60 anos ou mais	48	41.4	48.4	42	44.3	41.6	42.7	40.7	42.1	39.1	37.5	33.9	34.3	32.4
Ceará	15 anos ou mais	16.8	11.9	15.2	11.6	14	10.9	14.8	10.7	13.9	10.3	14.1	9	13.5	10
	18 anos ou mais	17.9	12.7	16.3	12.4	14.9	11.6	15.8	11.3	14.7	10.9	15	9.6	14.3	10.5
	25 anos ou mais	21.7	15.1	19.5	14.7	18	13.6	18.8	13.2	17.2	12.5	17.5	11	16.7	11.9
	40 anos ou mais	31.3	22.5	29.3	22.2	27.5	20.8	28.4	20.1	25.7	18	26.7	16.4	25	17.3
	60 anos ou mais	43.5	34.3	41	34	41.2	33.9	40.3	31.4	35.4	28.7	40.5	26.3	36.6	27.9
Rio Grande do Norte	15 anos ou mais	16.6	11.3	15.1	10.8	13.6	10.7	14.9	10.4	12.7	8.5	13.4	8.5	13.5	7.7
	18 anos ou mais	17.6	12	16.1	11.5	14.5	11.3	15.8	11	13.4	8.9	14.2	8.9	14.3	8.1
	25 anos ou mais	20.7	14.1	19.2	13.4	17.5	13.2	18.3	12.8	15.2	10.3	16.3	10.2	16.5	9.2
	40 anos ou mais	30	20.8	27.9	20	26	19	27.4	18.6	22.3	15.2	23.8	15.3	23.9	13.5
	60 anos ou mais	45.9	33.3	42.6	32.3	41.6	31	39.7	28.9	34.5	23.4	34.9	25.1	35.6	21.7
Paraíba	15 anos ou mais	17.4	13.5	18.1	13.5	18.5	12.1	17.7	12.7	16	11.5	16.1	10.5	15.3	10.5
	18 anos ou mais	18.8	14.4	19.5	14.4	19.9	12.9	19.1	13.5	17.2	12.1	17.1	11.1	16.2	11
	25 anos ou mais	22.3	17	22.9	16.9	23.4	15.1	22.5	15.9	19.9	13.9	19.9	12.6	18.8	12.5
	40 anos ou mais	31.5	24.4	32.4	24.8	32.6	21.2	32.3	22.4	29.6	21	28.8	18.7	26.9	18.6
	60 anos ou mais	46.2	39.4	42.7	37.2	43.5	33.8	45.3	33.5	41.8	32.1	39.4	28.4	37.1	29.7
Pernambuco	15 anos ou mais	12.9	11.2	13.6	11.9	12	10.2	11.8	10.4	12.2	10	11.1	9.3	11.6	8.8
	18 anos ou mais	13.8	11.9	14.6	12.7	12.8	10.8	12.5	11	13	10.6	11.8	9.8	12.4	9.3
	25 anos ou mais	16.1	14	17	14.7	15.1	12.6	14.7	12.8	15	12.2	13.5	11.3	14.2	10.6
	40 anos ou mais	22.7	20.8	23.9	21.7	21.2	18.6	21.1	19.2	21.4	18	18.5	16.1	20.2	15.7
	60 anos ou mais	34.5	34.9	35.7	34.8	30.2	30.3	33.2	32.6	31.1	29.4	28.4	27.6	30.2	25.6
Alagoas	15 anos ou mais	19.3	17.6	18.8	16	17.3	15.2	16.9	15.2	15.7	13.2	15.3	13.2	15.5	13.2
	18 anos ou mais	20.8	18.9	20.3	17.1	18.6	16.2	18	16.2	16.7	14	16.4	14	16.5	14
	25 anos ou mais	24.9	22.7	23.8	20.3	22.1	19.1	21.4	19	19.5	16.6	19.5	16.4	19.4	16.5
	40 anos ou mais	33.4	32.5	31.8	29	30.4	27.6	30.1	27.3	27.3	24.6	27.9	24.5	27.3	24.3
	60 anos ou mais	44.1	48.4	43.8	41.2	42.3	40.4	42.5	40	39.3	35.7	40.6	37.1	40.4	39.8
Sergipe	15 anos ou mais	15.1	12.8	15.4	12.1	14.1	11.8	14	11.4	13.9	9.7	12.6	9.9	11.3	10.3
	18 anos ou mais	16.1	13.6	16.5	13	15.1	12.6	14.9	12	14.8	10.3	13.5	10.6	12	11
	25 anos ou mais	19	16.3	19.4	15.4	18.1	14.9	17.9	14.2	17.4	12.2	15.8	12.1	13.8	12.8
	40 anos ou mais	26.1	24.7	27.5	23.4	25.9	23	25.8	21.2	25.2	18.7	23.6	18.9	20.5	18.6
	60 anos ou mais	40.3	40	42.6	38.9	40.4	37.4	39.2	37.5	40.4	32	34.9	31.3	30.9	31.6
Bahia	15 anos ou mais	12.9	11.5	12.5	11.5	12.5	11.4	12.8	11.2	10.9	9.7	10.9	9.5	10.3	9.1
	18 anos ou mais	13.8	12.3	13.3	12.3	13.2	12.2	13.7	11.9	11.6	10.2	11.6	10	11	9.6
	25 anos ou mais	16.2	14.5	15.4	14.6	15.6	14	15.7	14.1	13.4	11.7	13.2	11.3	12.7	11
	40 anos ou mais	23.4	22.7	22.6	22.4	22.6	21.6	23	21.5	18.8	17.7	19.1	17.1	17.8	16.3
	60 anos ou mais	36.5	39.6	34.3	37.9	32.9	37.8	36.6	36.8	28.9	30.9	29.1	29.4	27.1	29.3
Minas Gerais	15 anos ou mais	5.6	5.8	5.4	5.8	5	5.8	5	5	4.5	5	4.6	4.5	4.2	4.5
	18 anos ou mais	6	6.2	5.7	6.2	5.2	6.1	5.3	5.3	4.7	5.2	4.8	4.7	4.4	4.7
	25 anos ou mais	7	7.2	6.5	7.2	6	7.1	6.1	6.1	5.4	6	5.6	5.3	5	5.4
	40 anos ou mais	10.4	11.1	9.6	10.8	8.9	10.6	8.8	9.1	7.6	8.7	7.9	7.8	7.2	8
	60 anos ou mais	17.9	20.6	17.3	21.1	14.9	19.1	14.7	17.6	12.9	16.3	14.3	15.7	11.8	15.4
Espírito Santo	15 anos ou mais	5.1	6.2	4.7	5.4	4.2	5.7	4.5	5.1	4.4	5.1	4.2	4.7	3.7	4.1
	18 anos ou mais	5.4	6.6	5	5.7	4.5	5.9	4.7	5.3	4.6	5.4	4.4	4.9	3.8	4.2
	25 anos ou mais	6.3	7.6	5.7	6.6	5.3	6.9	5.4	6.2	5.2	6.1	5.1	5.5	4.3	4.8
	40 anos ou mais	9.5	12.2	8.8	10.4	8.3	10.7	8.3	9.7	7.5	8.9	7.6	8.2	6.2	7.2
	60 anos ou mais	18.5	24.5	15.4	21.3	15.9	21.8	15.9	19.6	14	17.1	12.8	15.3	11.7	14.6
Rio de Janeiro	15 anos ou mais	2.3	2.7	2.3	2.5	2	2.4	1.9	2	2.1	2.2	1.9	2	2	2
	18 anos ou mais	2.4	2.8	2.4	2.6	2.1	2.5	2	2	2.2	2.3	2	2.1	2.1	2.1
	25 anos ou mais	2.7	3.2	2.8	3	2.4	2.8	2.2	2.3	2.5	2.5	2.3	2.3	2.3	2.3
	40 anos ou mais	3.7	4.5	3.9	4.2	3.3	3.8	3.1	3.2	3.3	3.4	3.1	3.1	2.9	3
	60 anos ou mais	5.8	8.1	5.6	7.1	5.5	7	5.3	5.6	5.2	5.9	4.8	5.3	4.6	5.1
São Paulo	15 anos ou mais	2.1	3.1	1.9	2.8	2.1	2.7	2.1	2.7	2	2.4	1.9	2.7	2	2.5
	18 anos ou mais	2.2	3.3	2	3	2.2	2.9	2.2	2.8	2	2.5	2	2.8	2.1	2.6
	25 anos ou mais	2.5	3.8	2.3	3.4	2.5	3.3	2.5	3.2	2.3	2.8	2.2	3.1	2.3	2.9
	40 anos ou mais	3.6	5.7	3.3	5.2	3.8	4.9	3.7	4.7	3.3	4	3.1	4.3	3.2	4
	60 anos ou mais	6.8	11.6	5.1	10.3	6.8	9.8	6.6	9.1	5.7	7.8	4.7	8.1	5.1	7.6
Paraná	15 anos ou mais	3.7	4.4	3.3	5.1	3.8	5.2	3.5	4.8	3.2	4.7	2.9	4	2.8	4.2
	18 anos ou mais	4	4.7	3.5	5.4	3.9	5.5	3.6	5	3.3	4.9	3	4.1	2.9	4.4
	25 anos ou mais	4.6	5.5	4.1	6.2	4.6	6.4	4.1	5.8	3.8	5.7	3.5	4.7	3.3	5
	40 anos ou mais	6.7	8.4	5.9	9.4	7	9.5	6	8.4	5.6	8.5	5	7	4.8	7.2
	60 anos ou mais	13.1	17.4	11.2	19.1	12.9	18.9	11.2	16.6	10.9	16.4	9.6	13.6	9.2	13.5
Santa Catarina	15 anos ou mais	2.4	2.9	2.1	2.7	2.1	2.4	1.9	2.3	1.9	2.4	1.7	2.2	1.9	2
	18 anos ou mais	2.5	3	2.2	2.8	2.2	2.6	2	2.4	2	2.5	1.8	2.3	1.9	2.1
	25 anos ou mais	2.9	3.5	2.6	3.2	2.5	2.9	2.3	2.7	2.2	2.8	2	2.6	2.2	2.4
	40 anos ou mais	4	5.2	3.7	5	3.7	4.5	3.6	4.1	3.2	4.1	3.1	3.9	3.3	3.6
	60 anos ou mais	8.5	10.1	6.9	9.2	7.1	9.3	6.7	8.1	5.4	7.7	5.6	7.1	5.6	7
Rio Grande do Sul	15 anos ou mais	3.1	2.9	2.7	2.9	2.7	2.9	2.4	2.4	2.4	2.6	2.6	2.9	2.3	2.5
	18 anos ou mais	3.3	3.1	2.8	3.1	2.8	3	2.5	2.5	2.4	2.7	2.7	3	2.3	2.6
	25 anos ou mais	3.7	3.5	3.1	3.5	3.1	3.4	2.8	2.9	2.7	3	2.9	3.4	2.6	2.8
	40 anos ou mais	4.9	5.1	4.4	5	4.4	4.7	4	4.1	3.8	4.2	4.1	4.6	3.4	3.8
	60 anos ou mais	9.2	9.6	7.6	9.3	7.4	8.5	6.7	7.2	6.5	7	6.9	7.8	5.1	6.3
Mato Grosso do Sul	15 anos ou mais	5.6	5.8	4.6	4.5	4.1	4.9	4.5	4.6	4.1	3.9	3.7	4.1	3.8	3.7
	18 anos ou mais	5.9	6.1	4.9	4.8	4.3	5.2	4.8	4.8	4.3	4.1	3.9	4.3	4.1	3.9
	25 anos ou mais	7	7.1	5.7	5.6	5.1	6.2	5.6	5.7	4.8	4.8	4.5	4.9	4.6	4.4
	40 anos ou mais	11.1	11.1	9.2	9.1	7.8	9.8	8.2	8.8	7.2	7.4	6.5	7.9	7	7
	60 anos ou mais	18.4	21.3	16.4	16.6	14.2	18.5	13.8	17.1	13.4	14	12	15.2	12.4	13.3
Mato Grosso	15 anos ou mais	5.4	6.3	5.9	6.1	6.4	6.4	5.5	5.8	4.7	5.2	4.7	4.4	3.8	3.7
	18 anos ou mais	5.8	6.7	6.3	6.5	6.9	6.8	5.7	6.1	4.9	5.5	5	4.7	4	3.8
	25 anos ou mais	6.7	8	7.4	7.7	8	7.9	6.7	7.2	5.6	6.5	5.8	5.5	4.6	4.5
	40 anos ou mais	10.7	13.4	11.8	12.6	12.2	12.7	10.4	11.6	8.7	10.2	9.2	8.5	7.5	7.2
	60 anos ou mais	20.7	28.8	21.5	26.3	22.9	25.7	20.3	26.2	16.7	20.2	18.4	17.8	16.2	15.2
Goiás	15 anos ou mais	6.2	5.6	5.3	5.5	5.4	4.9	4.8	4.4	4.7	4.3	4.2	3.8	3.5	3.7
	18 anos ou mais	6.6	5.9	5.6	5.8	5.7	5.2	5.1	4.7	5	4.6	4.5	4	3.7	3.9
	25 anos ou mais	7.8	7	6.6	6.8	6.8	6.1	5.9	5.5	5.9	5.3	5.2	4.6	4.4	4.5
	40 anos ou mais	12.2	11.5	10	10.5	10.2	9.7	8.5	8.4	9.3	8	7.8	7.2	6.9	7
	60 anos ou mais	25.4	23.6	21.1	21	18.3	19.6	16.3	18.1	15.7	17.3	14.4	14	12.3	15.4
Distrito Federal	15 anos ou mais	2.4	2.4	2.4	2.3	3	2.7	2.3	2.7	1.7	2	1.5	1.8	1.5	2
	18 anos ou mais	2.5	2.5	2.5	2.4	3.2	2.8	2.4	2.8	1.8	2.2	1.6	1.9	1.5	2.1
	25 anos ou mais	2.9	3	3	2.8	3.8	3.4	2.8	3.3	2.2	2.5	1.9	2.2	1.8	2.4
	40 anos ou mais	4.7	4.7	4.9	4.6	5.9	5.4	4.2	5.1	3.2	3.7	2.8	3.4	2.7	3.7
	60 anos ou mais	10.3	10.6	11.3	10.9	11.5	12	6.4	10.9	5.7	9	5.3	8.1	6	7.9
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre															
