Sergipe	Ocupados	13	33	39	12	31	44	10	29	31	11	29	40	14	32	42	12	32	46	12	37	48
Sergipe	Não ocupados	93	61	14	97	53	22	93	56	22	89	58	21	90	57	17	98	51	17	98	46	18
Bahia	Ocupados	121	221	312	96	224	289	81	206	339	83	192	301	99	173	298	67	175	289	73	211	272
Bahia	Não ocupados	605	326	142	608	341	126	580	373	151	610	385	154	577	317	129	553	281	154	588	299	143
Minas Gerais	Ocupados	145	349	448	123	321	437	127	345	459	166	325	501	157	273	515	114	314	478	133	338	585
Minas Gerais	Não ocupados	768	417	143	781	393	131	734	380	147	690	359	153	646	286	110	642	287	115	658	256	118
Espírito Santo	Ocupados	18	55	73	19	50	83	16	59	87	24	65	89	25	60	103	20	66	97	24	72	102
Espírito Santo	Não ocupados	142	74	30	130	76	26	138	70	24	133	62	26	129	75	23	125	68	26	116	58	23
Rio de Janeiro	Ocupados	32	185	235	29	186	279	24	204	354	27	219	367	31	230	521	34	225	530	36	220	571
Rio de Janeiro	Não ocupados	643	448	121	632	450	134	607	447	153	565	432	143	560	416	179	570	411	170	566	366	164
São Paulo	Ocupados	232	779	843	181	700	930	213	712	1052	216	755	1023	232	815	1284	211	786	1307	272	818	1291
São Paulo	Não ocupados	1651	720	273	1589	685	251	1515	721	295	1381	667	265	1444	578	297	1521	537	242	1461	524	236
Paraná	Ocupados	91	203	217	74	229	258	76	228	272	62	218	285	70	225	321	69	242	328	69	245	333
Paraná	Não ocupados	392	179	66	357	194	80	340	210	82	346	197	86	333	154	59	367	151	93	342	142	76
Santa Catarina	Ocupados	59	143	157	54	153	164	54	155	180	53	158	180	66	170	209	53	159	208	58	162	211
Santa Catarina	Não ocupados	232	97	35	208	99	44	200	112	43	205	95	37	200	76	43	209	83	45	200	68	34
Rio Grande do Sul	Ocupados	95	216	291	81	207	278	71	221	288	59	220	310	85	198	361	88	204	368	72	199	407
Rio Grande do Sul	Não ocupados	373	200	68	344	183	68	326	196	71	364	188	70	312	154	79	307	143	54	309	150	67
Mato Grosso do Sul	Ocupados	18	63	78	15	53	73	15	51	66	20	41	82	17	48	90	18	60	84	29	54	89
Mato Grosso do Sul	Não ocupados	81	53	16	83	51	22	92	52	20	83	51	14	93	35	19	90	42	15	88	45	16
Mato Grosso	Ocupados	28	65	82	27	65	93	27	67	103	30	68	98	37	69	88	36	58	109	42	58	118
Mato Grosso	Não ocupados	111	65	34	109	59	33	117	52	41	104	48	31	104	36	21	117	44	29	107	38	17
Goiás	Ocupados	45	115	151	42	125	141	45	143	161	45	134	166	55	146	179	57	129	196	46	143	201
Goiás	Não ocupados	247	122	43	227	123	46	239	128	39	264	124	46	242	101	46	227	85	37	242	117	40
Distrito Federal	Ocupados	8	55	89	11	53	83	11	56	91	13	65	113	10	94	129	12	84	143	13	73	144
Distrito Federal	Não ocupados	123	96	31	125	98	33	102	102	34	105	107	38	135	80	28	110	84	34	96	79	32
