Sul	Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)	1106	1014	1075	984	1061	936	1079	938	1042	946	1049	950	1024	928	943	930
Sul	Ensino Médio ou EJA do Ensino Médio (rede pública)	489	534	467	489	458	486	487	499	497	532	515	508	466	491	434	457
Sul	Superior, Especialização, Mestrado ou Doutorado (rede pública)	179	210	169	198	178	195	185	195	218	212	205	228	185	202	161	189
Sul	Rede privada	694	822	740	919	717	925	731	913	732	964	754	967	838	1025	786	1061
Sul	Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)	133	129	131	148	136	143	147	128	132	138	137	125	136	143	154	154
Sul	Ensino Médio ou EJA do Ensino Médio (rede privada)	82	85	77	90	71	82	80	76	82	81	75	78	85	85	79	104
Sul	Superior, Especialização, Mestrado ou Doutorado (rede privada)	477	606	531	681	508	700	504	708	518	745	542	764	617	797	552	803
Centro-Oeste	Não estudante	5092	5249	5143	5371	5266	5443	5329	5524	5414	5576	5599	5673	5768	5808	5736	5887
Centro-Oeste	Estudante	1421	1503	1454	1537	1462	1515	1452	1569	1490	1648	1474	1609	1442	1606	1466	1617
Centro-Oeste	Rede pública	1042	1012	1021	989	1027	1009	1012	1027	1038	1085	996	1019	961	991	1011	1003
Centro-Oeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)	648	584	634	568	641	579	608	592	619	598	583	569	584	527	620	567
Centro-Oeste	Ensino Médio ou EJA do Ensino Médio (rede pública)	298	298	284	299	274	291	295	301	308	345	303	317	257	315	280	288
Centro-Oeste	Superior, Especialização, Mestrado ou Doutorado (rede pública)	94	126	99	120	109	135	107	130	109	135	107	128	119	145	112	148
Centro-Oeste	Rede privada	379	491	433	548	435	506	440	542	451	564	479	590	481	615	454	614
Centro-Oeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)	103	93	110	105	102	92	112	102	117	101	106	100	108	105	94	103
Centro-Oeste	Ensino Médio ou EJA do Ensino Médio (rede privada)	38	60	46	51	51	47	51	46	49	58	43	44	47	59	47	49
Centro-Oeste	Superior, Especialização, Mestrado ou Doutorado (rede privada)	239	337	277	391	282	366	277	394	285	404	330	447	326	451	313	461
