Unidade da Federação	Grupo de idade	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça
Amazonas	10 a 14 anos	57	321	61	320	49	313	58	324	66	292	56	296	57	308
Amazonas	15 a 17 anos	33	201	33	202	37	184	34	192	32	167	41	184	37	179
Amazonas	18 a 24 anos	84	416	83	416	74	432	74	465	88	437	78	445	100	435
Amazonas	25 a 29 anos	50	273	57	264	52	259	61	280	66	290	57	292	55	289
Amazonas	30 a 39 anos	93	476	100	508	98	501	98	484	109	516	103	508	102	529
Amazonas	40 a 59 anos	114	590	127	605	134	671	129	656	144	714	139	740	161	749
Amazonas	60 anos ou mais	48	213	58	230	62	273	60	273	77	293	73	307	76	327
Roraima	0 a 3 anos	9	29	11	28	9	23	9	26	8	34	11	35	12	26
Roraima	4 a 5 anos	4	12	3	14	5	11	5	15	4	16	5	19	6	15
Roraima	6 a 9 anos	8	27	7	25	9	26	9	28	8	36	10	32	10	36
Roraima	10 a 14 anos	9	33	8	33	9	32	9	36	9	38	9	39	13	47
Roraima	15 a 17 anos	6	23	5	24	6	21	6	22	6	22	5	22	7	22
Roraima	18 a 24 anos	14	49	17	51	14	52	14	54	14	59	12	56	13	60
Roraima	25 a 29 anos	8	30	8	31	10	34	10	35	8	43	10	42	10	38
Roraima	30 a 39 anos	17	55	17	58	17	59	20	63	19	81	20	73	23	73
Roraima	40 a 59 anos	22	67	23	68	23	77	20	76	23	88	30	90	27	100
Roraima	60 anos ou mais	7	23	9	25	8	26	8	28	10	37	12	37	13	35
Pará	0 a 3 anos	129	458	124	447	112	431	126	424	155	413	134	439	136	425
Pará	4 a 5 anos	60	225	54	227	54	225	54	236	55	215	64	220	74	229
Pará	6 a 9 anos	97	528	122	494	108	513	96	492	114	472	92	464	110	472
Pará	10 a 14 anos	127	653	130	640	124	651	120	690	141	614	129	589	149	569
Pará	15 a 17 anos	69	408	83	423	66	395	80	409	101	414	96	414	77	401
Pará	18 a 24 anos	201	917	180	920	189	917	178	925	198	877	172	919	200	844
Pará	25 a 29 anos	108	608	105	576	114	596	115	591	132	609	131	611	141	617
Pará	30 a 39 anos	202	1084	211	1087	213	1129	222	1151	224	1103	240	1150	256	1199
Pará	40 a 59 anos	281	1366	299	1433	298	1453	312	1439	371	1590	368	1649	386	1633
Pará	60 anos ou mais	132	584	139	599	130	637	153	648	190	740	191	759	215	773
Amapá	0 a 3 anos	16	46	18	45	13	44	13	39	17	45	14	46	14	44
Amapá	4 a 5 anos	7	29	8	26	6	24	6	30	9	24	6	27	8	24
Amapá	6 a 9 anos	14	54	10	48	11	53	10	45	10	46	10	49	15	48
Amapá	10 a 14 anos	15	61	13	64	10	66	12	66	16	61	13	55	13	58
Amapá	15 a 17 anos	8	40	12	41	7	39	7	43	9	32	7	40	8	34
Amapá	18 a 24 anos	21	82	17	98	18	101	20	103	29	93	24	95	29	94
Amapá	25 a 29 anos	16	59	13	64	13	62	13	63	20	62	15	68	15	72
Amapá	30 a 39 anos	22	99	24	101	23	98	23	104	19	114	21	122	27	114
Amapá	40 a 59 anos	28	114	22	132	26	137	27	137	37	149	30	163	35	166
Amapá	60 anos ou mais	10	39	8	38	10	49	14	55	12	67	13	71	17	72
Tocantins	0 a 3 anos	20	74	24	66	28	63	24	73	27	70	29	82	30	67
Tocantins	4 a 5 anos	11	44	11	39	12	40	12	41	11	36	12	38	13	40
Tocantins	6 a 9 anos	24	89	21	92	22	79	17	78	23	73	23	78	23	72
Tocantins	10 a 14 anos	27	106	25	109	27	95	22	112	21	93	28	96	27	92
Tocantins	15 a 17 anos	20	75	19	66	17	63	14	67	18	60	18	65	15	63
Tocantins	18 a 24 anos	42	148	29	146	37	149	33	137	37	163	35	148	39	150
Tocantins	25 a 29 anos	24	102	26	105	24	111	23	110	25	106	21	104	29	96
Tocantins	30 a 39 anos	53	190	52	196	54	181	45	195	54	193	44	193	53	192
Tocantins	40 a 59 anos	69	236	69	258	71	263	73	280	75	289	82	311	82	319
Tocantins	60 anos ou mais	38	107	44	119	45	140	43	145	52	150	47	152	53	168
Maranhão	0 a 3 anos	119	377	109	383	106	336	98	357	116	346	89	330	92	320
Maranhão	4 a 5 anos	53	204	49	207	52	184	48	181	41	194	47	215	46	198
Maranhão	6 a 9 anos	97	445	93	429	87	415	88	399	95	387	71	399	79	379
Maranhão	10 a 14 anos	132	558	102	583	124	581	115	549	112	521	97	499	100	505
Maranhão	15 a 17 anos	83	350	68	344	70	345	72	334	66	337	75	324	62	330
Maranhão	18 a 24 anos	161	698	143	700	160	700	163	738	137	708	147	691	153	683
Maranhão	25 a 29 anos	103	481	98	475	113	459	101	449	85	449	84	461	95	467
Maranhão	30 a 39 anos	197	840	192	902	193	888	191	909	193	941	197	923	188	936
Maranhão	40 a 59 anos	249	1030	227	1089	236	1107	271	1138	266	1265	277	1306	280	1344
Maranhão	60 anos ou mais	145	562	143	589	138	624	145	611	180	637	176	682	181	729
Piauí	0 a 3 anos	45	143	39	157	46	146	44	153	43	133	46	125	45	138
Piauí	4 a 5 anos	22	86	18	80	22	76	30	82	27	72	24	89	22	81
Piauí	6 a 9 anos	39	168	46	169	38	167	41	146	42	156	39	142	37	159
Piauí	10 a 14 anos	50	225	48	215	54	214	52	212	48	188	54	193	38	185
Piauí	15 a 17 anos	28	138	36	139	29	142	22	125	31	126	34	123	36	114
Piauí	18 a 24 anos	67	304	68	308	64	314	69	320	78	304	76	292	56	290
Piauí	25 a 29 anos	47	216	52	207	49	212	49	214	49	198	48	199	53	222
Piauí	30 a 39 anos	105	441	105	432	81	421	85	416	103	406	91	402	94	416
Piauí	40 a 59 anos	140	570	150	579	131	625	128	621	173	642	172	684	159	641
Piauí	60 anos ou mais	90	318	94	310	87	331	82	371	102	369	101	360	112	398
Ceará	0 a 3 anos	174	349	179	327	173	336	175	364	164	329	150	326	125	333
Ceará	4 a 5 anos	81	196	83	190	73	181	66	183	74	184	80	189	79	203
Ceará	6 a 9 anos	164	413	152	397	123	398	153	382	129	349	149	382	142	368
Ceará	10 a 14 anos	175	560	169	525	156	545	190	510	171	465	156	486	147	528
Ceará	15 a 17 anos	110	369	117	351	108	337	108	314	122	291	106	325	101	292
Ceará	18 a 24 anos	307	828	279	851	277	853	268	827	276	746	261	694	234	723
Ceará	25 a 29 anos	181	561	218	594	209	584	184	578	197	543	180	579	195	561
Ceará	30 a 39 anos	359	1043	359	1065	363	1087	358	1092	388	1079	358	1123	337	1110
Ceará	40 a 59 anos	510	1441	526	1468	529	1506	547	1552	606	1667	564	1706	578	1745
Ceará	60 anos ou mais	330	744	346	774	342	800	383	823	473	935	448	939	431	1044
Rio Grande do Norte	0 a 3 anos	86	104	80	95	89	111	86	97	92	105	94	99	87	100
Rio Grande do Norte	4 a 5 anos	49	60	47	59	42	53	51	55	37	63	40	55	51	56
Rio Grande do Norte	6 a 9 anos	80	119	77	128	71	120	84	116	78	116	69	120	80	121
Rio Grande do Norte	10 a 14 anos	93	165	97	172	90	171	108	169	95	152	89	168	93	156
Rio Grande do Norte	15 a 17 anos	62	111	60	118	64	109	47	96	53	99	53	106	65	102
Rio Grande do Norte	18 a 24 anos	154	253	137	264	167	264	150	246	128	250	128	236	133	233
Rio Grande do Norte	25 a 29 anos	98	169	108	188	103	178	101	184	104	194	122	186	95	184
Rio Grande do Norte	30 a 39 anos	210	376	202	361	194	386	206	361	220	331	194	380	214	384
Rio Grande do Norte	40 a 59 anos	273	537	280	546	301	524	294	556	298	615	320	579	337	585
Rio Grande do Norte	60 anos ou mais	163	250	156	267	160	265	187	299	219	326	220	343	226	325
Paraíba	0 a 3 anos	102	133	98	137	91	135	96	142	95	145	87	133	90	154
Paraíba	4 a 5 anos	48	76	47	70	46	74	41	70	35	81	43	84	42	79
Paraíba	6 a 9 anos	79	153	90	162	88	156	81	156	73	160	86	171	87	141
Paraíba	10 a 14 anos	104	227	100	210	102	195	97	209	88	213	96	210	97	196
Paraíba	15 a 17 anos	73	146	63	150	60	145	70	136	52	148	53	120	55	115
Paraíba	18 a 24 anos	163	302	151	305	141	329	141	326	118	302	137	288	131	297
Paraíba	25 a 29 anos	104	230	107	220	104	223	90	217	103	235	92	222	100	203
Paraíba	30 a 39 anos	199	421	189	440	192	409	198	423	188	452	204	426	207	430
Paraíba	40 a 59 anos	290	586	274	623	298	631	287	655	298	667	319	692	336	691
Paraíba	60 anos ou mais	183	299	174	334	184	350	181	355	211	357	212	364	218	392
Pernambuco	0 a 3 anos	195	363	180	331	206	331	196	342	221	332	220	292	192	333
Pernambuco	4 a 5 anos	82	184	76	179	91	180	91	186	94	173	109	176	102	189
Pernambuco	6 a 9 anos	175	384	161	408	181	343	167	369	181	384	195	335	187	367
Pernambuco	10 a 14 anos	202	505	188	549	232	501	208	516	224	494	222	463	217	477
Pernambuco	15 a 17 anos	125	359	135	388	131	345	114	343	132	306	123	298	148	304
Pernambuco	18 a 24 anos	332	783	306	786	327	748	311	809	335	696	337	695	326	658
Pernambuco	25 a 29 anos	211	557	217	522	220	534	234	519	211	490	233	462	219	520
Pernambuco	30 a 39 anos	449	1047	446	1078	500	1041	492	1055	505	1068	470	1038	467	1087
Pernambuco	40 a 59 anos	623	1525	619	1564	663	1551	694	1557	739	1603	851	1662	789	1663
Pernambuco	60 anos ou mais	421	751	373	808	415	787	417	780	500	879	541	874	533	912
Alagoas	0 a 3 anos	60	140	62	136	56	135	61	132	69	140	70	150	70	138
Alagoas	4 a 5 anos	29	79	27	82	26	69	33	69	33	74	34	81	37	75
Alagoas	6 a 9 anos	47	170	50	151	52	150	48	151	61	147	55	152	50	150
Alagoas	10 a 14 anos	68	235	62	226	57	224	60	225	70	197	65	189	66	183
Alagoas	15 a 17 anos	46	145	37	150	37	150	38	141	43	117	41	124	41	114
Alagoas	18 a 24 anos	92	327	87	310	96	308	86	313	103	284	107	285	105	294
Alagoas	25 a 29 anos	60	194	63	204	66	194	62	183	69	207	65	214	65	209
Alagoas	30 a 39 anos	117	395	111	391	114	397	125	390	126	388	123	383	120	365
Alagoas	40 a 59 anos	149	553	158	572	166	564	183	578	205	578	202	593	215	618
Alagoas	60 anos ou mais	96	267	98	299	99	314	105	311	118	290	119	290	129	302
Sergipe	0 a 3 anos	33	106	33	95	35	103	35	98	40	97	36	104	42	95
Sergipe	4 a 5 anos	14	49	12	50	13	59	19	52	19	51	22	61	20	48
Sergipe	6 a 9 anos	29	106	24	110	27	116	30	103	34	114	36	119	35	110
Sergipe	10 a 14 anos	38	141	35	159	34	149	41	146	41	124	37	133	31	134
Sergipe	15 a 17 anos	25	98	22	102	23	91	20	92	28	82	25	93	24	94
Sergipe	18 a 24 anos	53	228	52	216	50	234	61	222	67	208	66	195	70	197
Sergipe	25 a 29 anos	36	150	36	151	41	160	45	157	42	160	41	156	45	154
Sergipe	30 a 39 anos	76	290	72	300	75	281	83	284	88	289	73	293	81	297
Sergipe	40 a 59 anos	112	395	103	417	103	409	119	427	138	444	137	427	136	459
Sergipe	60 anos ou mais	62	176	60	192	63	178	60	188	79	195	82	214	80	225
Bahia	0 a 3 anos	191	682	196	654	180	688	178	648	168	651	158	611	156	638
Bahia	4 a 5 anos	83	339	78	374	78	352	72	359	76	361	87	361	87	319
Bahia	6 a 9 anos	160	772	165	696	173	698	160	706	159	702	131	713	136	673
Bahia	10 a 14 anos	212	1039	220	983	188	963	186	919	166	888	198	873	183	857
Bahia	15 a 17 anos	143	681	133	666	118	630	123	642	133	596	127	533	117	566
Bahia	18 a 24 anos	290	1368	298	1464	269	1439	294	1418	287	1300	266	1239	277	1279
Bahia	25 a 29 anos	202	932	208	960	179	989	167	956	180	961	192	982	190	937
Bahia	30 a 39 anos	424	2117	409	2046	422	2051	383	2067	362	1925	387	1907	332	1873
Bahia	40 a 59 anos	589	2639	638	2703	606	2840	614	2823	669	3146	734	3077	745	3214
Bahia	60 anos ou mais	399	1302	373	1371	394	1435	399	1557	490	1619	528	1776	563	1790
Minas Gerais	0 a 3 anos	540	629	490	673	505	596	493	634	505	585	513	606	546	615
Minas Gerais	4 a 5 anos	225	300	214	333	235	339	221	330	248	346	266	343	234	356
Minas Gerais	6 a 9 anos	389	669	413	667	396	659	413	646	462	657	433	635	452	690
Minas Gerais	10 a 14 anos	491	878	484	944	483	907	493	941	525	870	515	834	466	838
Minas Gerais	15 a 17 anos	345	690	341	661	325	627	317	621	310	543	284	541	315	529
Minas Gerais	18 a 24 anos	908	1509	884	1633	809	1635	826	1510	815	1389	813	1442	751	1383
Minas Gerais	25 a 29 anos	785	1115	642	1088	721	1043	604	1074	630	1057	618	1058	673	1036
Minas Gerais	30 a 39 anos	1364	1962	1262	2068	1339	2067	1340	2127	1316	2071	1313	2053	1308	2100
Minas Gerais	40 a 59 anos	2137	2966	2099	3084	2077	3167	2179	3236	2354	3343	2367	3388	2313	3487
Minas Gerais	60 anos ou mais	1339	1467	1346	1510	1418	1602	1431	1663	1627	1771	1661	1847	1673	1885
Espírito Santo	0 a 3 anos	93	131	82	137	86	153	90	147	86	143	91	145	93	144
Espírito Santo	4 a 5 anos	40	71	43	74	41	74	45	78	42	79	46	84	42	80
Espírito Santo	6 a 9 anos	77	129	65	147	71	149	81	153	75	164	75	152	86	151
Espírito Santo	10 a 14 anos	87	199	82	194	83	194	80	196	82	174	94	182	94	191
Espírito Santo	15 a 17 anos	63	123	57	116	55	122	46	127	51	117	50	106	55	101
Espírito Santo	18 a 24 anos	145	281	145	274	144	298	124	297	140	279	135	272	126	285
Espírito Santo	25 a 29 anos	132	201	119	201	115	205	110	201	95	200	105	204	118	199
Espírito Santo	30 a 39 anos	258	399	244	441	244	431	238	456	235	443	237	446	239	448
Espírito Santo	40 a 59 anos	388	562	398	582	381	585	361	633	380	691	408	687	393	689
Espírito Santo	60 anos ou mais	248	225	248	247	247	258	242	270	296	344	302	341	311	357
Rio de Janeiro	0 a 3 anos	356	435	312	473	369	450	350	440	319	391	354	386	354	406
Rio de Janeiro	4 a 5 anos	194	257	157	239	170	238	172	238	176	239	203	251	179	238
Rio de Janeiro	6 a 9 anos	313	517	312	486	330	461	315	473	360	483	356	476	363	485
Rio de Janeiro	10 a 14 anos	447	690	371	671	417	614	423	628	391	577	410	609	430	642
Rio de Janeiro	15 a 17 anos	290	465	264	453	268	420	243	388	264	352	249	380	257	374
Rio de Janeiro	18 a 24 anos	735	1051	723	1210	733	1049	758	1032	756	995	685	1002	634	916
Rio de Janeiro	25 a 29 anos	586	761	543	778	555	796	559	755	540	794	548	772	542	755
Rio de Janeiro	30 a 39 anos	1206	1451	1046	1507	1184	1503	1102	1572	1117	1519	1143	1411	1068	1541
Rio de Janeiro	40 a 59 anos	1957	2432	1979	2610	2054	2531	2110	2541	2175	2547	2228	2610	2223	2655
Rio de Janeiro	60 anos ou mais	1482	1261	1480	1364	1552	1362	1637	1418	1825	1581	1835	1559	1802	1694
São Paulo	0 a 3 anos	1551	743	1499	832	1585	843	1489	882	1409	810	1455	786	1308	812
São Paulo	4 a 5 anos	693	410	744	468	772	470	689	524	771	467	717	478	758	535
São Paulo	6 a 9 anos	1434	853	1448	882	1413	957	1338	1080	1354	940	1297	971	1332	974
São Paulo	10 a 14 anos	1815	1275	1824	1214	1714	1270	1578	1239	1650	1287	1647	1299	1524	1384
São Paulo	15 a 17 anos	1253	870	1132	889	1068	887	1021	822	941	828	1001	829	944	859
São Paulo	18 a 24 anos	2837	1953	2627	2105	2575	2339	2657	2324	2530	2171	2427	2065	2378	2085
São Paulo	25 a 29 anos	2350	1420	2213	1497	2023	1556	2090	1642	1994	1631	2036	1708	1885	1692
São Paulo	30 a 39 anos	4550	2666	4562	3029	4307	3169	4187	3293	4370	3127	4089	3257	3972	3310
São Paulo	40 a 59 anos	7479	3939	7261	4155	7073	4472	7069	4697	7353	5023	7314	5173	7285	5552
São Paulo	60 anos ou mais	4237	1655	4324	1701	4133	2012	4419	2056	5006	2423	5239	2639	5437	2767
Paraná	0 a 3 anos	457	179	456	178	447	195	447	207	449	178	408	190	400	196
Paraná	4 a 5 anos	214	85	208	90	199	98	218	110	229	114	217	107	208	118
Paraná	6 a 9 anos	401	186	398	201	403	206	393	213	424	228	413	223	391	250
Paraná	10 a 14 anos	527	283	520	272	519	267	480	294	474	292	457	266	452	297
Paraná	15 a 17 anos	372	198	321	189	309	177	283	181	277	188	279	195	268	180
Paraná	18 a 24 anos	852	455	850	439	818	499	769	500	738	466	721	455	683	485
Paraná	25 a 29 anos	594	276	621	303	583	328	542	351	579	384	604	357	600	374
Paraná	30 a 39 anos	1238	535	1182	566	1185	557	1145	595	1163	632	1168	709	1136	674
Paraná	40 a 59 anos	1941	852	1931	876	1965	929	1948	1031	1896	1076	1987	1035	1946	1139
Paraná	60 anos ou mais	1030	355	1101	406	1105	415	1080	477	1234	518	1282	523	1323	570
Santa Catarina	0 a 3 anos	309	51	327	63	314	70	313	75	319	87	307	93	315	85
Santa Catarina	4 a 5 anos	160	26	161	32	148	42	161	38	171	49	171	54	155	49
Santa Catarina	6 a 9 anos	294	59	293	67	283	84	276	73	311	90	309	96	297	115
Santa Catarina	10 a 14 anos	378	72	351	86	332	105	353	109	344	105	346	119	344	111
Santa Catarina	15 a 17 anos	281	57	236	68	214	61	207	67	217	68	206	70	202	71
Santa Catarina	18 a 24 anos	654	123	643	158	592	194	587	167	558	196	547	204	545	211
Santa Catarina	25 a 29 anos	491	93	495	106	489	132	487	131	469	158	456	175	450	179
Santa Catarina	30 a 39 anos	972	150	984	177	944	244	985	237	961	290	938	309	982	334
Santa Catarina	40 a 59 anos	1563	219	1492	261	1528	305	1523	319	1565	349	1538	390	1544	396
Santa Catarina	60 anos ou mais	815	81	844	100	811	126	863	123	900	145	964	146	974	161
Rio Grande do Sul	0 a 3 anos	489	107	493	117	475	122	454	121	401	104	443	120	420	108
Rio Grande do Sul	4 a 5 anos	226	47	213	68	233	67	226	67	224	58	225	78	219	73
Rio Grande do Sul	6 a 9 anos	436	108	437	117	416	121	427	130	476	141	464	141	467	149
Rio Grande do Sul	10 a 14 anos	556	170	550	166	548	181	499	155	528	178	497	182	525	184
Rio Grande do Sul	15 a 17 anos	403	130	360	125	337	110	329	117	313	112	308	121	293	109
Rio Grande do Sul	18 a 24 anos	969	251	900	273	873	280	899	291	775	249	760	282	722	290
Rio Grande do Sul	25 a 29 anos	741	163	768	170	730	187	727	199	662	207	586	226	625	233
Rio Grande do Sul	30 a 39 anos	1449	293	1406	324	1359	340	1372	387	1470	392	1399	442	1329	384
Rio Grande do Sul	40 a 59 anos	2413	495	2408	514	2385	564	2382	547	2385	575	2356	654	2400	711
Rio Grande do Sul	60 anos ou mais	1495	236	1558	247	1641	291	1658	297	1842	350	1826	367	1907	383
Mato Grosso do Sul	0 a 3 anos	86	75	87	81	88	87	86	84	99	100	82	83	87	84
Mato Grosso do Sul	4 a 5 anos	40	44	41	48	41	48	41	51	44	43	45	44	38	49
Mato Grosso do Sul	6 a 9 anos	77	87	70	86	76	87	77	98	75	96	78	91	66	101
Mato Grosso do Sul	10 a 14 anos	79	127	81	114	82	111	84	112	88	106	79	109	72	124
Mato Grosso do Sul	15 a 17 anos	43	71	45	64	47	69	46	70	52	69	51	69	51	73
Mato Grosso do Sul	18 a 24 anos	133	175	123	172	130	187	125	187	108	176	116	163	114	173
Mato Grosso do Sul	25 a 29 anos	96	135	109	138	101	119	86	135	80	134	84	135	86	139
Mato Grosso do Sul	30 a 39 anos	174	249	178	230	185	243	184	241	197	255	202	276	195	263
Mato Grosso do Sul	40 a 59 anos	257	337	273	347	275	334	285	356	283	383	310	394	280	411
Mato Grosso do Sul	60 anos ou mais	141	152	151	166	163	147	148	161	170	184	170	189	172	215
Mato Grosso	0 a 3 anos	77	134	88	133	76	134	66	140	81	152	82	137	92	154
Mato Grosso	4 a 5 anos	31	65	32	69	38	67	37	87	42	79	36	75	34	80
Mato Grosso	6 a 9 anos	63	152	61	151	57	141	59	152	70	160	91	158	62	152
Mato Grosso	10 a 14 anos	82	183	79	204	73	188	72	185	74	165	77	172	68	189
Mato Grosso	15 a 17 anos	50	111	44	114	47	111	40	110	40	113	47	127	46	112
Mato Grosso	18 a 24 anos	111	282	106	272	105	276	105	289	101	290	112	280	107	255
Mato Grosso	25 a 29 anos	97	206	86	185	92	186	86	210	84	211	83	208	102	241
Mato Grosso	30 a 39 anos	155	379	187	385	173	400	169	385	169	413	184	406	172	425
Mato Grosso	40 a 59 anos	268	510	257	529	257	556	258	556	266	590	279	595	279	601
Mato Grosso	60 anos ou mais	126	197	122	215	123	245	124	251	149	249	153	250	144	250
Goiás	0 a 3 anos	190	219	187	239	171	230	162	212	166	230	165	220	171	235
Goiás	4 a 5 anos	71	130	70	105	76	133	77	119	87	128	72	144	94	136
Goiás	6 a 9 anos	142	257	125	267	139	246	147	279	137	277	149	284	131	278
Goiás	10 a 14 anos	176	328	145	369	157	371	168	360	171	314	184	331	170	331
Goiás	15 a 17 anos	99	229	96	221	98	221	113	222	106	209	102	204	106	204
Goiás	18 a 24 anos	267	536	244	539	255	551	247	550	286	530	254	504	266	533
Goiás	25 a 29 anos	200	374	200	390	161	375	171	353	196	436	192	410	199	447
Goiás	30 a 39 anos	389	773	372	755	378	775	385	763	377	747	407	831	401	800
Goiás	40 a 59 anos	578	994	584	1078	619	1064	645	1129	699	1216	659	1180	683	1215
Goiás	60 anos ou mais	304	407	330	450	360	470	352	497	394	518	448	571	445	569
Distrito Federal	0 a 3 anos	66	91	67	93	61	87	72	82	75	84	75	88	65	83
Distrito Federal	4 a 5 anos	27	61	30	47	29	44	28	43	34	52	32	52	37	55
Distrito Federal	6 a 9 anos	56	109	57	105	60	96	62	99	68	104	70	109	72	106
Distrito Federal	10 a 14 anos	69	152	66	144	70	143	79	134	85	144	70	123	86	130
Distrito Federal	15 a 17 anos	51	92	46	102	44	82	47	77	57	97	47	82	41	74
Distrito Federal	18 a 24 anos	113	239	107	247	121	248	140	239	129	236	125	238	109	217
Distrito Federal	25 a 29 anos	73	163	79	171	88	162	99	152	88	151	76	180	94	192
Distrito Federal	30 a 39 anos	186	334	180	356	190	332	196	329	203	327	192	330	188	332
Distrito Federal	40 a 59 anos	269	446	244	458	280	469	291	463	308	504	353	518	350	523
Distrito Federal	60 anos ou mais	128	144	127	159	142	179	158	187	158	192	166	206	184	236
