Paraíba	Outro tipo	21	35	23	38	28	35
Pernambuco	Total	2456	468	2470	485	2514	490
Pernambuco	Rede geral, rede pluvial ou fossa ligada à rede	1682	44	1765	43	1643	36
Pernambuco	Fossa não ligada à rede	693	361	640	373	757	393
Pernambuco	Outro tipo	81	64	65	69	114	62
Alagoas	Total	735	218	761	230	789	237
Alagoas	Rede geral, rede pluvial ou fossa ligada à rede	303	15	371	14	449	20
Alagoas	Fossa não ligada à rede	396	189	368	192	313	195
Alagoas	Outro tipo	36	14	22	24	27	21
Sergipe	Total	540	175	558	170	553	165
Sergipe	Rede geral, rede pluvial ou fossa ligada à rede	377	24	374	17	359	23
Sergipe	Fossa não ligada à rede	158	146	171	140	179	130
Sergipe	Outro tipo	5	5	13	13	15	13
Bahia	Total	3483	1087	3516	1170	3480	1256
Bahia	Rede geral, rede pluvial ou fossa ligada à rede	2562	81	2507	124	2559	120
Bahia	Fossa não ligada à rede	831	921	927	932	831	1024
Bahia	Outro tipo	90	86	83	114	90	113
Minas Gerais	Total	5947	842	6049	847	6172	867
Minas Gerais	Rede geral, rede pluvial ou fossa ligada à rede	5449	84	5652	86	5724	67
Minas Gerais	Fossa não ligada à rede	384	579	318	591	357	627
Minas Gerais	Outro tipo	113	179	80	169	91	172
Espírito Santo	Total	1123	188	1130	180	1165	184
Espírito Santo	Rede geral, rede pluvial ou fossa ligada à rede	1024	14	1018	6	1051	9
Espírito Santo	Fossa não ligada à rede	73	141	87	148	86	150
Espírito Santo	Outro tipo	26	33	26	27	28	25
Rio de Janeiro	Total	5947	192	5985	187	6018	195
Rio de Janeiro	Rede geral, rede pluvial ou fossa ligada à rede	5349	48	5343	45	5430	51
Rio de Janeiro	Fossa não ligada à rede	456	127	511	116	427	118
Rio de Janeiro	Outro tipo	142	17	131	27	161	26
São Paulo	Total	14291	628	14345	622	14736	617
São Paulo	Rede geral, rede pluvial ou fossa ligada à rede	13851	190	13789	138	14100	102
São Paulo	Fossa não ligada à rede	363	415	422	449	460	490
São Paulo	Outro tipo	77	23	134	35	176	26
Paraná	Total	3315	458	3336	473	3380	499
Paraná	Rede geral, rede pluvial ou fossa ligada à rede	2558	61	2639	48	2629	58
Paraná	Fossa não ligada à rede	737	385	673	410	727	427
Paraná	Outro tipo	19	13	24	15	24	14
Santa Catarina	Total	2024	355	2105	353	2194	358
Santa Catarina	Rede geral, rede pluvial ou fossa ligada à rede	1235	37	1370	41	1417	40
Santa Catarina	Fossa não ligada à rede	765	305	718	299	760	309
Santa Catarina	Outro tipo	25	13	17	13	16	9
Rio Grande do Sul	Total	3438	530	3491	533	3527	522
Rio Grande do Sul	Rede geral, rede pluvial ou fossa ligada à rede	2628	29	2643	29	2788	30
Rio Grande do Sul	Fossa não ligada à rede	764	477	803	487	694	474
Rio Grande do Sul	Outro tipo	45	24	45	17	45	18
Mato Grosso do Sul	Total	775	90	791	87	806	91
Mato Grosso do Sul	Rede geral, rede pluvial ou fossa ligada à rede	361	2	361	0	429	3
Mato Grosso do Sul	Fossa não ligada à rede	413	85	429	86	377	87
Mato Grosso do Sul	Outro tipo	0	3	1	1	0	1
Mato Grosso	Total	924	165	949	165	973	176
Mato Grosso	Rede geral, rede pluvial ou fossa ligada à rede	399	2	328	2	401	1
Mato Grosso	Fossa não ligada à rede	522	161	615	159	569	172
Mato Grosso	Outro tipo	3	2	5	3	3	3
Goiás	Total	2006	196	2075	202	2128	199
Goiás	Rede geral, rede pluvial ou fossa ligada à rede	1173	5	1199	1	1267	3
Goiás	Fossa não ligada à rede	833	189	876	197	860	193
Goiás	Outro tipo	0	2	0	4	1	3
Distrito Federal	Total	879	57	901	56	905	60
Distrito Federal	Rede geral, rede pluvial ou fossa ligada à rede	799	27	821	6	827	14
Distrito Federal	Fossa não ligada à rede	80	29	79	49	78	45
Distrito Federal	Outro tipo	-	1	1	0	-	1
