Unidade da Federação	Grupo de idade	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça
Amazonas	0 a 5 anos	36.2	34.1	32.2	33.1	38.6	37.3	40.2	37.6	37.5	37.3	37.0	41.3	36.6	39.4
Amazonas	0 a 3 anos	15.0	11.1	13.8	9.1	14.6	12.3	14.5	12.8	19.6	14.6	19.0	17.9	17.2	16.6
Amazonas	4 a 5 anos	87.2	79.2	74.3	77.9	92.5	83.9	92.0	83.4	81.0	77.4	84.8	84.7	80.8	85.0
Amazonas	6 a 14 anos	99.2	97.5	97.8	98.4	99.2	98.7	97.5	98.7	98.5	98.0	98.3	99.2	98.3	99.3
Amazonas	15 a 17 anos	89.8	86.5	89.5	88.2	92.3	88.2	91.8	89.1	95.9	90.9	93.1	88.3	90.9	93.3
Amazonas	18 a 24 anos	38.0	36.5	40.7	31.4	39.4	33.9	38.7	32.1	31.2	28.6	40.3	28.8	36.5	29.0
Amazonas	25 anos ou mais	8.5	7.2	8.3	6.6	8.3	6.0	6.3	6.0	8.3	6.6	7.6	5.6	6.5	6.6
Roraima	0 a 5 anos	42.3	37.2	41.7	43.0	49.0	40.9	40.2	36.7	35.8	41.1	34.3	41.2	52.4	46.1
Roraima	0 a 3 anos	17.6	16.2	26.7	18.5	26.1	17.5	15.4	8.9	17.1	22.0	18.9	20.0	31.0	24.8
Roraima	4 a 5 anos	99.0	88.2	92.0	91.0	96.7	88.2	89.7	84.1	77.5	81.5	65.5	81.2	93.6	84.6
Roraima	6 a 14 anos	99.9	99.5	99.5	99.5	97.6	98.3	99.0	96.9	97.9	94.9	96.9	96.2	97.3	96.9
Roraima	15 a 17 anos	92.0	89.2	92.0	90.7	88.0	87.5	86.8	88.3	94.5	88.9	94.1	88.1	89.1	92.0
Roraima	18 a 24 anos	33.3	28.1	41.0	32.8	47.0	28.8	39.1	30.5	27.4	25.8	29.5	29.8	34.9	31.8
Roraima	25 anos ou mais	9.2	8.3	8.0	8.2	8.1	6.4	8.7	6.8	6.2	5.6	5.0	5.4	8.0	6.6
Pará	0 a 5 anos	40.3	36.9	38.8	43.1	41.3	42.0	38.9	43.7	38.7	42.6	43.4	45.6	48.8	48.7
Pará	0 a 3 anos	15.1	13.6	14.3	20.4	16.8	18.5	16.4	19.4	21.8	19.7	20.6	23.4	27.5	24.9
Pará	4 a 5 anos	94.2	84.3	95.4	87.9	92.0	87.0	91.7	87.2	86.8	86.6	91.0	90.1	88.1	92.9
Pará	6 a 14 anos	99.5	99.3	99.1	99.2	98.9	99.0	98.7	98.6	99.2	99.1	99.9	99.1	99.0	99.0
Pará	15 a 17 anos	93.8	87.3	83.1	85.5	88.2	87.6	91.9	87.4	92.8	90.9	89.8	88.2	89.8	92.0
Pará	18 a 24 anos	39.1	30.4	37.6	29.8	36.2	32.7	35.2	30.2	37.6	31.8	39.8	31.2	42.0	32.5
Pará	25 anos ou mais	6.7	5.0	5.4	5.5	8.2	5.1	6.1	5.1	6.4	5.1	6.3	5.3	7.2	6.7
Amapá	0 a 5 anos	37.0	32.9	26.6	30.0	28.9	28.1	30.3	39.0	23.4	30.2	34.2	26.6	33.3	28.9
Amapá	0 a 3 anos	15.3	9.8	8.5	5.4	10.1	9.9	13.3	11.3	5.2	10.6	14.4	6.3	10.2	8.6
Amapá	4 a 5 anos	83.1	70.1	70.9	72.2	71.5	61.8	67.6	75.8	58.7	67.6	81.0	61.9	76.1	65.9
Amapá	6 a 14 anos	97.0	98.2	96.8	98.1	99.8	99.3	99.4	99.1	98.2	98.9	99.2	98.7	98.4	98.7
Amapá	15 a 17 anos	90.9	89.0	90.9	85.6	66.1	90.3	100.0	85.2	96.5	89.4	78.6	86.8	100.0	90.2
Amapá	18 a 24 anos	32.3	36.8	51.4	37.3	54.3	41.2	51.6	38.2	42.8	29.3	38.7	32.7	34.3	32.5
Amapá	25 anos ou mais	9.4	6.0	11.2	7.8	7.7	6.5	6.5	5.2	8.1	4.9	6.8	4.5	4.8	4.6
Tocantins	0 a 5 anos	48.7	48.0	45.3	51.8	50.9	54.6	51.3	50.3	45.6	52.9	49.1	53.1	49.9	58.1
Tocantins	0 a 3 anos	24.4	22.9	26.9	28.4	32.7	29.7	31.0	26.7	23.5	35.1	27.9	33.8	27.6	35.6
Tocantins	4 a 5 anos	94.8	90.1	87.3	91.6	91.6	94.0	94.1	92.3	99.0	88.0	100.0	95.3	100.0	96.0
Tocantins	6 a 14 anos	100.0	99.3	100.0	99.9	99.1	99.5	99.1	99.1	99.6	99.5	99.4	99.3	100.0	99.6
Tocantins	15 a 17 anos	83.6	84.3	89.8	87.0	91.1	92.0	97.1	89.6	97.7	94.8	98.0	86.8	98.7	91.0
Tocantins	18 a 24 anos	41.3	27.1	34.8	33.2	43.9	28.9	34.3	30.3	46.7	33.3	39.6	28.0	43.5	31.7
Tocantins	25 anos ou mais	4.7	5.1	5.2	5.0	7.7	4.5	5.5	3.4	6.1	5.8	5.9	4.8	7.1	5.5
Maranhão	0 a 5 anos	48.1	51.8	49.1	51.9	50.8	54.0	50.8	52.9	49.5	56.4	53.2	60.2	52.7	60.7
Maranhão	0 a 3 anos	27.2	27.1	27.0	28.1	27.3	30.6	28.4	30.8	33.3	33.8	29.7	37.2	32.3	39.9
Maranhão	4 a 5 anos	94.8	97.4	98.3	95.8	99.0	96.8	97.1	96.4	95.2	96.7	97.5	95.5	94.0	94.4
Maranhão	6 a 14 anos	99.2	99.3	99.3	99.3	98.9	98.9	99.1	99.1	99.4	99.4	99.1	99.3	99.0	99.7
Maranhão	15 a 17 anos	86.4	86.6	82.8	84.4	82.9	86.0	90.3	85.1	90.4	89.6	90.4	91.4	92.6	91.0
Maranhão	18 a 24 anos	32.0	24.8	27.1	25.6	30.9	27.3	31.5	25.9	31.6	21.7	35.3	25.0	35.0	26.0
Maranhão	25 anos ou mais	4.6	4.0	4.7	4.1	6.5	4.4	6.0	4.6	5.8	3.7	3.9	4.3	4.6	4.0
Piauí	0 a 5 anos	47.7	50.4	48.5	50.4	47.0	50.9	54.8	54.0	61.3	52.4	58.5	62.4	52.2	60.7
Piauí	0 a 3 anos	22.6	21.6	24.9	26.6	23.6	26.7	24.9	30.6	42.7	28.1	38.1	36.5	30.5	37.9
Piauí	4 a 5 anos	98.8	98.2	98.9	97.3	95.6	97.3	99.1	97.6	91.6	97.3	98.7	98.8	96.0	99.7
Piauí	6 a 14 anos	99.4	98.7	99.7	99.5	98.5	99.5	99.3	99.6	99.8	99.7	99.7	99.3	100.0	99.7
Piauí	15 a 17 anos	92.2	87.2	91.5	90.6	83.8	92.0	94.3	89.7	93.3	89.8	91.3	90.4	98.8	90.6
Piauí	18 a 24 anos	39.7	34.1	38.8	34.3	40.6	35.1	45.7	34.6	34.4	34.0	39.2	30.3	43.0	31.0
Piauí	25 anos ou mais	5.2	4.7	5.1	5.1	5.7	5.3	6.0	5.1	6.4	7.2	5.1	4.4	5.6	4.0
Ceará	0 a 5 anos	53.0	56.7	51.5	57.7	53.4	56.9	48.3	54.4	53.3	58.4	60.7	59.0	54.1	63.4
Ceará	0 a 3 anos	32.2	34.5	29.5	34.8	34.9	35.0	29.3	33.4	34.3	37.0	41.4	38.1	27.5	43.7
Ceará	4 a 5 anos	98.0	96.2	99.2	97.2	97.3	97.5	98.7	96.3	95.6	96.6	96.5	95.1	95.9	95.7
Ceará	6 a 14 anos	99.1	98.5	99.0	98.7	99.5	99.5	98.9	99.3	98.9	99.0	100.0	99.5	99.4	99.5
Ceará	15 a 17 anos	85.8	81.2	87.9	85.0	88.4	87.1	89.6	87.7	88.8	93.3	90.4	90.6	94.7	93.3
Ceará	18 a 24 anos	32.1	22.8	31.1	24.0	32.8	24.4	34.6	27.4	33.9	23.6	35.4	24.6	34.5	25.3
Ceará	25 anos ou mais	5.0	4.0	5.9	3.9	6.3	4.6	6.1	4.1	5.3	4.5	5.0	4.2	5.0	4.1
Rio Grande do Norte	0 a 5 anos	56.0	52.3	58.7	56.7	56.8	53.0	57.7	59.4	50.4	58.1	58.7	59.0	60.9	58.2
Rio Grande do Norte	0 a 3 anos	33.8	27.0	36.7	32.5	37.6	33.0	33.4	38.1	34.8	37.9	41.7	40.3	40.9	36.3
Rio Grande do Norte	4 a 5 anos	95.3	96.4	96.0	95.8	97.9	94.7	98.6	96.8	89.3	91.7	98.2	92.9	94.9	97.7
Rio Grande do Norte	6 a 14 anos	99.4	98.3	99.0	99.2	99.0	99.3	99.2	99.3	99.2	99.7	99.5	98.9	99.4	99.5
Rio Grande do Norte	15 a 17 anos	83.1	90.0	88.2	86.5	88.9	87.7	94.5	92.9	93.6	94.6	95.4	91.5	91.6	97.0
Rio Grande do Norte	18 a 24 anos	33.1	29.5	34.6	30.8	39.8	30.0	44.0	33.0	44.9	32.3	40.9	27.2	42.6	27.9
Rio Grande do Norte	25 anos ou mais	5.0	4.1	6.1	3.8	4.6	5.3	6.7	5.1	5.8	3.9	6.4	3.7	5.5	5.2
Paraíba	0 a 5 anos	46.7	51.5	54.2	50.6	54.3	48.3	52.6	52.1	43.9	52.0	51.6	57.8	52.6	53.8
Paraíba	0 a 3 anos	24.1	29.0	33.7	27.8	33.9	25.1	35.5	31.0	24.4	30.7	31.0	37.0	33.0	36.8
Paraíba	4 a 5 anos	94.4	90.7	97.4	95.0	94.2	90.6	92.7	95.2	96.4	90.3	93.2	90.9	94.2	87.2
Paraíba	6 a 14 anos	99.5	99.1	99.6	99.0	98.6	99.3	99.0	99.0	99.3	99.1	99.4	99.3	99.8	99.1
Paraíba	15 a 17 anos	87.1	86.8	84.0	84.5	90.6	85.8	85.4	85.8	91.0	91.6	86.2	89.1	92.4	87.4
Paraíba	18 a 24 anos	39.8	30.6	36.2	30.3	40.9	30.1	35.8	30.5	37.3	28.4	40.1	30.3	40.8	25.9
Paraíba	25 anos ou mais	5.8	4.7	5.9	5.0	6.0	4.6	5.7	4.6	5.0	5.0	5.4	4.2	4.6	4.5
Pernambuco	0 a 5 anos	47.2	47.3	48.6	47.0	51.4	51.1	55.5	50.9	46.5	51.0	47.8	51.8	52.0	55.3
Pernambuco	0 a 3 anos	26.5	24.6	29.5	24.4	32.1	29.7	37.1	28.2	26.0	32.2	27.5	28.0	29.2	32.6
Pernambuco	4 a 5 anos	96.2	92.1	93.6	88.9	95.1	90.5	95.1	92.7	94.6	87.0	88.9	91.1	94.8	95.4
Pernambuco	6 a 14 anos	98.9	99.4	99.3	98.7	99.6	99.3	99.6	99.4	99.1	99.0	99.2	99.3	99.2	99.5
Pernambuco	15 a 17 anos	87.8	82.6	87.4	82.0	83.7	85.1	89.6	85.0	91.6	86.6	93.8	91.5	94.3	91.8
Pernambuco	18 a 24 anos	36.9	24.7	31.9	25.1	37.5	22.2	34.4	24.9	35.2	24.8	32.4	23.6	32.5	25.3
Pernambuco	25 anos ou mais	4.9	3.0	4.8	3.1	5.0	3.6	4.7	3.9	4.6	3.5	4.2	3.7	4.9	4.2
Alagoas	0 a 5 anos	47.0	45.0	41.5	48.6	47.4	51.4	51.9	50.8	49.5	55.0	52.2	54.5	52.4	57.0
Alagoas	0 a 3 anos	26.9	22.6	22.4	23.9	26.1	31.2	30.2	28.7	28.3	36.6	32.3	34.6	31.2	37.6
Alagoas	4 a 5 anos	89.2	85.2	86.0	89.7	92.9	90.8	92.7	92.9	93.7	89.8	93.2	91.3	92.6	92.8
Alagoas	6 a 14 anos	98.9	98.0	98.2	98.7	99.1	99.0	98.8	99.2	99.3	99.1	99.2	99.1	99.6	99.2
Alagoas	15 a 17 anos	87.0	82.3	77.4	81.3	77.2	83.8	82.1	82.8	87.7	89.0	91.4	87.3	93.7	86.8
Alagoas	18 a 24 anos	36.1	28.9	29.8	26.7	40.5	28.4	32.8	26.2	32.3	25.5	30.4	24.6	37.2	23.8
Alagoas	25 anos ou mais	5.2	4.7	5.5	4.3	6.0	3.9	5.5	4.2	5.9	5.4	6.9	6.3	5.6	6.2
Sergipe	0 a 5 anos	46.2	42.0	39.1	49.7	46.7	50.6	53.3	51.5	52.4	52.6	64.1	58.9	54.8	56.8
Sergipe	0 a 3 anos	26.3	20.9	18.9	27.5	30.2	25.8	31.4	28.7	33.7	31.2	44.1	36.8	33.9	37.4
Sergipe	4 a 5 anos	94.4	87.8	93.6	91.8	92.4	94.0	94.2	94.6	91.2	93.4	97.0	96.7	98.1	94.8
Sergipe	6 a 14 anos	99.8	99.2	99.5	99.0	99.5	99.3	99.5	98.8	99.5	99.2	99.6	99.3	99.7	99.6
Sergipe	15 a 17 anos	85.2	85.9	89.5	87.9	88.7	88.7	86.9	89.3	92.8	92.7	94.3	91.6	93.6	92.8
Sergipe	18 a 24 anos	34.2	32.8	36.5	29.8	38.9	27.4	38.9	28.0	37.6	30.4	40.2	28.4	40.3	27.6
Sergipe	25 anos ou mais	3.9	3.9	5.3	4.9	4.5	3.8	5.0	4.3	5.0	3.7	4.8	4.2	5.0	4.2
Bahia	0 a 5 anos	50.7	47.0	46.3	52.8	45.4	52.8	49.6	53.9	48.1	53.8	51.9	58.0	52.7	56.4
Bahia	0 a 3 anos	30.4	24.9	27.9	28.5	24.6	30.1	31.7	30.7	28.1	31.3	28.3	36.0	28.9	37.3
Bahia	4 a 5 anos	97.3	91.5	93.0	95.4	93.9	97.4	94.3	95.8	92.4	94.5	94.9	95.2	95.4	94.6
Bahia	6 a 14 anos	99.1	99.2	98.9	99.1	99.7	99.1	99.2	99.2	98.4	99.6	99.3	99.5	99.1	99.6
Bahia	15 a 17 anos	89.9	87.2	89.5	87.4	85.8	88.2	88.0	90.0	91.9	92.5	91.1	93.3	94.0	96.4
Bahia	18 a 24 anos	34.3	32.5	32.9	31.6	34.0	33.6	36.1	32.7	35.9	29.5	29.8	30.2	39.7	30.8
Bahia	25 anos ou mais	4.5	5.4	4.4	4.8	6.3	5.3	4.9	5.0	4.6	4.5	5.5	4.3	4.4	4.3
Minas Gerais	0 a 5 anos	46.3	49.7	50.4	52.9	53.7	55.0	54.9	55.0	50.7	55.3	52.5	57.5	55.7	59.6
Minas Gerais	0 a 3 anos	27.3	28.7	30.9	33.0	35.3	32.5	36.4	35.0	29.9	32.4	31.4	36.1	39.3	38.0
Minas Gerais	4 a 5 anos	92.0	93.6	94.9	93.1	93.4	94.5	95.9	93.4	93.2	93.9	93.2	95.3	93.8	96.9
Minas Gerais	6 a 14 anos	99.6	99.2	99.2	98.9	99.5	99.2	99.3	99.2	99.6	99.8	99.5	99.8	99.6	99.6
Minas Gerais	15 a 17 anos	87.8	88.1	89.8	90.4	90.2	90.2	93.7	89.9	94.2	93.7	93.7	90.3	95.7	92.1
Minas Gerais	18 a 24 anos	37.0	28.4	35.0	24.6	38.1	25.3	36.2	25.5	32.0	21.4	34.8	21.9	34.6	24.1
Minas Gerais	25 anos ou mais	5.0	4.1	4.4	4.2	5.0	4.1	5.2	4.5	4.5	4.3	4.6	3.8	5.0	4.7
Espírito Santo	0 a 5 anos	52.5	52.5	54.6	52.5	54.5	55.3	56.1	56.1	58.5	54.9	55.6	54.8	55.0	58.0
Espírito Santo	0 a 3 anos	34.0	30.4	34.1	31.5	34.9	36.3	36.1	36.2	41.3	33.7	35.7	32.0	37.4	37.9
Espírito Santo	4 a 5 anos	95.2	93.4	93.5	91.4	96.0	94.6	95.6	93.8	93.2	93.5	94.9	94.5	94.2	94.4
Espírito Santo	6 a 14 anos	99.9	99.0	99.7	99.5	99.3	99.3	99.4	99.5	99.3	99.3	99.6	99.9	99.5	99.2
Espírito Santo	15 a 17 anos	87.5	84.0	84.0	86.0	83.1	88.4	89.9	88.8	93.6	90.1	89.9	93.8	93.5	87.3
Espírito Santo	18 a 24 anos	36.1	27.1	37.2	26.3	36.2	25.8	37.0	27.0	41.4	27.4	44.0	27.0	42.0	26.8
Espírito Santo	25 anos ou mais	3.9	4.5	4.7	4.2	4.6	4.4	5.0	4.3	4.8	4.5	4.9	4.2	4.8	4.4
Rio de Janeiro	0 a 5 anos	50.5	47.6	52.3	48.9	53.3	48.9	57.4	49.1	60.3	56.4	63.1	59.7	59.6	57.6
Rio de Janeiro	0 a 3 anos	30.8	25.7	33.3	29.3	35.3	28.4	38.9	28.6	43.0	35.9	47.0	38.3	41.8	36.6
Rio de Janeiro	4 a 5 anos	86.6	84.8	90.1	87.9	92.6	87.9	95.0	87.0	91.6	90.0	91.4	92.6	95.0	93.3
Rio de Janeiro	6 a 14 anos	99.4	99.0	99.3	99.6	99.8	98.9	99.4	99.5	99.5	99.4	99.5	99.0	99.8	99.1
Rio de Janeiro	15 a 17 anos	90.4	88.8	92.1	92.0	90.9	91.6	95.5	92.6	95.9	94.5	96.0	94.5	97.7	92.7
Rio de Janeiro	18 a 24 anos	41.8	30.9	42.3	27.2	46.4	29.3	43.6	30.5	43.6	31.4	46.4	31.2	46.4	31.4
Rio de Janeiro	25 anos ou mais	3.6	2.8	4.0	3.4	4.8	3.9	5.0	3.8	6.1	5.4	6.2	5.3	6.5	5.4
São Paulo	0 a 5 anos	57.9	59.1	61.9	62.9	62.3	64.9	62.7	67.9	64.7	68.6	67.4	69.2	69.8	70.4
São Paulo	0 a 3 anos	42.0	43.7	46.2	45.3	46.6	48.1	47.7	51.5	49.2	53.8	52.7	54.6	54.9	55.6
São Paulo	4 a 5 anos	93.5	87.0	93.4	94.1	94.4	95.1	95.2	95.5	93.0	94.2	97.1	93.3	95.4	92.9
São Paulo	6 a 14 anos	99.6	99.4	99.6	99.2	99.6	99.7	99.5	99.3	99.7	99.6	99.3	99.5	99.5	99.7
São Paulo	15 a 17 anos	89.9	84.4	88.4	84.6	88.3	85.2	87.7	83.7	93.0	94.7	93.8	93.6	96.0	93.6
São Paulo	18 a 24 anos	35.1	23.7	33.5	23.0	34.1	22.5	34.1	21.2	36.3	20.4	33.7	22.7	35.6	22.5
São Paulo	25 anos ou mais	4.1	3.5	4.2	3.8	4.6	4.5	4.7	3.7	5.4	4.4	5.1	4.4	5.2	3.9
Paraná	0 a 5 anos	54.2	49.0	53.3	53.9	55.9	52.7	58.1	57.1	56.4	60.3	58.1	67.2	59.5	59.0
Paraná	0 a 3 anos	37.2	29.4	36.3	36.4	39.2	34.5	41.6	38.4	38.0	39.3	40.5	50.2	41.2	41.4
Paraná	4 a 5 anos	90.5	90.0	90.5	88.8	93.6	88.5	92.1	92.3	92.3	93.0	91.2	97.4	94.8	88.2
Paraná	6 a 14 anos	99.3	98.2	99.3	99.1	99.6	99.2	99.4	99.4	99.4	98.7	99.7	99.5	99.5	99.6
Paraná	15 a 17 anos	86.9	79.1	85.2	79.3	84.6	85.0	88.6	85.7	87.1	84.8	92.8	89.8	92.6	88.7
Paraná	18 a 24 anos	34.0	19.1	35.5	26.9	38.1	24.4	36.7	24.8	36.0	23.7	37.6	25.7	37.3	26.7
Paraná	25 anos ou mais	4.4	3.4	4.9	4.5	5.1	4.4	5.5	4.4	5.3	4.5	5.6	5.0	5.4	4.7
Santa Catarina	0 a 5 anos	60.5	63.2	62.1	57.2	62.9	62.0	66.4	67.4	64.8	62.2	66.1	66.6	67.6	63.5
Santa Catarina	0 a 3 anos	44.3	49.8	46.6	43.9	48.3	43.8	51.5	52.9	49.3	45.3	51.7	49.6	53.8	47.3
Santa Catarina	4 a 5 anos	92.0	89.6	93.7	83.5	93.9	92.4	95.2	96.0	93.8	91.9	92.0	95.8	95.7	91.6
Santa Catarina	6 a 14 anos	99.7	99.5	99.6	99.3	99.9	99.8	99.6	99.4	99.7	98.3	99.8	99.7	99.6	98.9
Santa Catarina	15 a 17 anos	86.2	84.0	87.1	83.2	92.6	89.8	94.9	89.8	95.0	86.7	94.8	91.8	95.0	90.8
Santa Catarina	18 a 24 anos	33.2	16.9	33.7	21.0	36.7	25.0	36.2	23.5	35.9	22.1	34.5	24.4	34.1	20.7
Santa Catarina	25 anos ou mais	4.4	4.3	4.8	4.0	4.8	5.2	4.6	4.6	5.2	5.1	5.1	5.1	4.8	4.9
Rio Grande do Sul	0 a 5 anos	51.5	48.9	54.8	53.5	51.7	48.7	57.2	52.4	58.2	55.7	58.3	62.5	60.2	56.6
Rio Grande do Sul	0 a 3 anos	37.2	33.1	40.8	37.1	34.9	29.3	41.2	34.8	41.2	36.8	42.9	46.8	44.5	37.7
Rio Grande do Sul	4 a 5 anos	82.6	84.6	87.4	81.6	86.0	83.7	89.2	84.4	88.8	89.7	88.6	86.9	90.4	84.6
Rio Grande do Sul	6 a 14 anos	99.5	98.4	99.7	99.8	99.5	99.5	99.3	100.0	99.6	99.1	99.7	99.1	99.6	98.8
Rio Grande do Sul	15 a 17 anos	87.8	86.9	89.5	81.5	88.8	88.7	95.9	89.9	94.3	90.3	94.3	85.7	95.6	93.1
Rio Grande do Sul	18 a 24 anos	36.5	24.6	36.3	22.5	39.6	25.2	36.4	27.1	36.5	27.3	36.4	24.1	38.9	23.3
Rio Grande do Sul	25 anos ou mais	5.1	3.9	4.8	3.7	4.9	4.1	5.1	4.4	5.7	4.9	5.3	5.6	5.9	6.0
Mato Grosso do Sul	0 a 5 anos	48.2	54.8	49.9	53.1	53.6	55.0	54.3	52.8	54.4	53.0	57.8	58.6	51.1	63.4
Mato Grosso do Sul	0 a 3 anos	30.2	35.0	33.2	29.8	37.7	36.0	36.7	31.0	37.9	39.2	39.8	39.8	34.7	47.0
Mato Grosso do Sul	4 a 5 anos	86.4	88.4	85.1	92.4	87.6	89.5	91.4	88.4	92.2	85.0	91.0	93.8	89.3	91.6
Mato Grosso do Sul	6 a 14 anos	98.8	99.5	99.5	99.4	99.2	98.7	99.4	98.9	99.0	99.0	99.6	100.0	99.0	99.5
Mato Grosso do Sul	15 a 17 anos	86.2	86.6	91.1	85.0	89.6	90.4	89.9	85.2	92.0	87.1	85.7	90.0	91.9	93.7
Mato Grosso do Sul	18 a 24 anos	44.4	31.2	42.2	29.3	36.9	28.1	37.5	24.0	33.9	26.0	40.1	32.8	40.2	29.4
Mato Grosso do Sul	25 anos ou mais	7.0	5.3	6.8	5.0	5.9	5.0	6.3	5.5	7.5	5.6	6.0	5.1	6.0	5.9
Mato Grosso	0 a 5 anos	49.1	41.6	43.1	47.9	48.1	50.2	53.6	53.4	53.3	51.5	51.6	52.5	52.1	55.5
Mato Grosso	0 a 3 anos	34.0	22.9	26.0	28.5	27.9	29.7	30.0	30.0	34.0	31.1	35.2	32.4	35.4	36.0
Mato Grosso	4 a 5 anos	86.7	80.2	89.7	85.0	87.9	91.1	95.6	91.0	90.9	90.4	88.6	89.2	97.0	93.1
Mato Grosso	6 a 14 anos	99.7	99.1	99.7	99.2	99.6	99.4	99.1	99.3	99.9	99.6	99.6	99.4	99.2	99.8
Mato Grosso	15 a 17 anos	85.0	87.1	88.0	85.5	92.5	89.9	89.8	87.9	90.7	90.1	93.7	84.6	92.6	93.2
Mato Grosso	18 a 24 anos	39.2	30.5	36.0	30.6	38.3	28.4	35.3	26.8	30.2	24.9	31.6	23.3	31.9	24.0
Mato Grosso	25 anos ou mais	5.2	6.4	6.8	6.2	7.8	6.7	6.6	6.0	5.7	4.7	6.6	6.2	7.1	5.5
Goiás	0 a 5 anos	37.6	45.6	41.6	41.4	43.5	46.7	44.8	45.1	47.1	45.7	46.5	50.6	51.3	50.6
Goiás	0 a 3 anos	19.9	22.0	24.1	22.1	25.4	24.6	24.9	25.1	25.1	25.4	27.4	25.4	29.2	28.6
Goiás	4 a 5 anos	84.8	85.4	88.2	85.6	84.3	84.7	87.0	80.7	89.0	82.1	90.2	89.0	91.6	88.7
Goiás	6 a 14 anos	99.6	99.1	99.3	99.2	99.5	99.6	99.6	99.2	99.2	99.0	99.7	99.9	100.0	98.8
Goiás	15 a 17 anos	87.5	88.6	84.9	83.9	86.6	89.1	93.4	90.3	96.7	92.0	95.6	89.5	89.5	93.2
Goiás	18 a 24 anos	32.9	27.6	39.1	27.9	37.8	31.4	38.0	29.6	36.8	26.6	36.6	24.0	38.5	29.3
Goiás	25 anos ou mais	5.6	4.3	4.7	4.3	4.5	4.8	5.7	4.5	5.1	4.7	5.7	4.5	5.6	4.6
Distrito Federal	0 a 5 anos	44.1	43.5	43.4	40.1	46.0	44.1	49.4	40.0	47.7	54.8	51.7	57.4	60.6	56.4
Distrito Federal	0 a 3 anos	25.5	21.7	24.4	19.5	28.6	25.3	34.2	18.9	29.4	31.7	34.5	35.1	42.1	32.2
Distrito Federal	4 a 5 anos	90.0	76.1	86.1	81.3	82.0	81.2	88.2	80.2	88.4	92.3	92.5	95.1	92.8	92.4
Distrito Federal	6 a 14 anos	99.8	98.9	99.5	99.3	99.2	99.3	99.6	99.3	99.4	99.8	99.8	99.8	100.0	99.9
Distrito Federal	15 a 17 anos	93.5	90.7	95.3	89.0	91.5	86.6	92.0	94.6	92.5	95.4	96.8	92.4	97.9	92.9
