"Tabela 9311 - Pessoas de 25 anos ou mais de idade, por nível de instrução e existência de deficiência"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Existência de deficiência";"Ano x Nível de instrução"
"Unidade da Federação";"Existência de deficiência";"2022"
"Unidade da Federação";"Existência de deficiência";"Sem instrução e fundamental incompleto";;"Fundamental completo e médio incompleto";;"Médio completo e superior incompleto";;"Superior completo"
"Rio Grande do Norte";"Pessoa sem deficiência";"748";"Mil pessoas";"272";"Mil pessoas";"676";"Mil pessoas";"321";"Mil pessoas"
"Paraíba";"Pessoa com deficiência";"224";"Mil pessoas";"26";"Mil pessoas";"45";"Mil pessoas";"19";"Mil pessoas"
"Paraíba";"Pessoa sem deficiência";"988";"Mil pessoas";"248";"Mil pessoas";"655";"Mil pessoas";"314";"Mil pessoas"
"Pernambuco";"Pessoa com deficiência";"572";"Mil pessoas";"77";"Mil pessoas";"149";"Mil pessoas";"35";"Mil pessoas"
"Pernambuco";"Pessoa sem deficiência";"2010";"Mil pessoas";"614";"Mil pessoas";"1877";"Mil pessoas";"800";"Mil pessoas"
"Alagoas";"Pessoa com deficiência";"216";"Mil pessoas";"21";"Mil pessoas";"38";"Mil pessoas";"15";"Mil pessoas"
"Alagoas";"Pessoa sem deficiência";"745";"Mil pessoas";"217";"Mil pessoas";"522";"Mil pessoas";"242";"Mil pessoas"
"Sergipe";"Pessoa com deficiência";"166";"Mil pessoas";"19";"Mil pessoas";"37";"Mil pessoas";"12";"Mil pessoas"
"Sergipe";"Pessoa sem deficiência";"481";"Mil pessoas";"142";"Mil pessoas";"392";"Mil pessoas";"177";"Mil pessoas"
"Bahia";"Pessoa com deficiência";"899";"Mil pessoas";"112";"Mil pessoas";"242";"Mil pessoas";"77";"Mil pessoas"
"Bahia";"Pessoa sem deficiência";"3265";"Mil pessoas";"947";"Mil pessoas";"3017";"Mil pessoas";"1074";"Mil pessoas"
"Minas Gerais";"Pessoa com deficiência";"1123";"Mil pessoas";"158";"Mil pessoas";"280";"Mil pessoas";"93";"Mil pessoas"
"Minas Gerais";"Pessoa sem deficiência";"4290";"Mil pessoas";"1604";"Mil pessoas";"4301";"Mil pessoas";"2389";"Mil pessoas"
"Espírito Santo";"Pessoa com deficiência";"195";"Mil pessoas";"35";"Mil pessoas";"53";"Mil pessoas";"19";"Mil pessoas"
"Espírito Santo";"Pessoa sem deficiência";"740";"Mil pessoas";"307";"Mil pessoas";"856";"Mil pessoas";"512";"Mil pessoas"
"Rio de Janeiro";"Pessoa com deficiência";"622";"Mil pessoas";"185";"Mil pessoas";"308";"Mil pessoas";"130";"Mil pessoas"
"Rio de Janeiro";"Pessoa sem deficiência";"2225";"Mil pessoas";"1417";"Mil pessoas";"4447";"Mil pessoas";"2816";"Mil pessoas"
"São Paulo";"Pessoa com deficiência";"1745";"Mil pessoas";"411";"Mil pessoas";"698";"Mil pessoas";"310";"Mil pessoas"
"São Paulo";"Pessoa sem deficiência";"6123";"Mil pessoas";"3496";"Mil pessoas";"11446";"Mil pessoas";"7547";"Mil pessoas"
"Paraná";"Pessoa com deficiência";"604";"Mil pessoas";"94";"Mil pessoas";"152";"Mil pessoas";"53";"Mil pessoas"
"Paraná";"Pessoa sem deficiência";"1997";"Mil pessoas";"952";"Mil pessoas";"2240";"Mil pessoas";"1505";"Mil pessoas"
"Santa Catarina";"Pessoa com deficiência";"262";"Mil pessoas";"62";"Mil pessoas";"85";"Mil pessoas";"29";"Mil pessoas"
"Santa Catarina";"Pessoa sem deficiência";"1217";"Mil pessoas";"690";"Mil pessoas";"1530";"Mil pessoas";"992";"Mil pessoas"
"Rio Grande do Sul";"Pessoa com deficiência";"639";"Mil pessoas";"141";"Mil pessoas";"164";"Mil pessoas";"64";"Mil pessoas"
"Rio Grande do Sul";"Pessoa sem deficiência";"2008";"Mil pessoas";"1021";"Mil pessoas";"2385";"Mil pessoas";"1491";"Mil pessoas"
"Mato Grosso do Sul";"Pessoa com deficiência";"130";"Mil pessoas";"18";"Mil pessoas";"37";"Mil pessoas";"18";"Mil pessoas"
"Mato Grosso do Sul";"Pessoa sem deficiência";"453";"Mil pessoas";"210";"Mil pessoas";"523";"Mil pessoas";"354";"Mil pessoas"
"Mato Grosso";"Pessoa com deficiência";"168";"Mil pessoas";"36";"Mil pessoas";"53";"Mil pessoas";"24";"Mil pessoas"
"Mato Grosso";"Pessoa sem deficiência";"566";"Mil pessoas";"277";"Mil pessoas";"656";"Mil pessoas";"368";"Mil pessoas"
"Goiás";"Pessoa com deficiência";"344";"Mil pessoas";"61";"Mil pessoas";"92";"Mil pessoas";"39";"Mil pessoas"
"Goiás";"Pessoa sem deficiência";"1234";"Mil pessoas";"577";"Mil pessoas";"1506";"Mil pessoas";"827";"Mil pessoas"
"Distrito Federal";"Pessoa com deficiência";"92";"Mil pessoas";"23";"Mil pessoas";"51";"Mil pessoas";"31";"Mil pessoas"
"Distrito Federal";"Pessoa sem deficiência";"273";"Mil pessoas";"157";"Mil pessoas";"608";"Mil pessoas";"735";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 3º trimestre"

"Notas"
"Considera-se pessoa com deficiência aquela que respondeu, em ao menos um dos tipos de dificuldades funcionais, Tem muita dificuldade ou Não consegue de modo algum para ""Grau de dificuldade"".
Os tipos de dificuldades funcionais captados foram: para enxergar, mesmo usando óculos ou lentes de contatos; para ouvir, mesmo usando aparelhos auditivos; para andar ou subir degraus; para levantar uma garrafa com dois litros de água da cintura até a altura dos olhos; para pegar objetos pequenos ou abrir e fechar recipientes; para aprender, lembrar-se das coisas ou se concentrar; para realizar cuidados pessoais; e para se comunicar, compreender e ser compreendido. "
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
