"Tabela 6734 - Domicílios e Moradores com banheiro de uso exclusivo, por situação do domicílio"
"Variável - Domicílios com banheiro de uso exclusivo"
"Unidade da Federação";"Ano x Situação do domicílio"
"Unidade da Federação";"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rio Grande do Norte";"812";"Mil unidades";"214";"Mil unidades";"819";"Mil unidades";"211";"Mil unidades";"845";"Mil unidades";"211";"Mil unidades";"930";"Mil unidades";"194";"Mil unidades";"975";"Mil unidades";"208";"Mil unidades";"1027";"Mil unidades";"199";"Mil unidades"
"Paraíba";"968";"Mil unidades";"234";"Mil unidades";"970";"Mil unidades";"234";"Mil unidades";"994";"Mil unidades";"252";"Mil unidades";"1031";"Mil unidades";"286";"Mil unidades";"1147";"Mil unidades";"289";"Mil unidades";"1157";"Mil unidades";"271";"Mil unidades"
"Pernambuco";"2459";"Mil unidades";"455";"Mil unidades";"2492";"Mil unidades";"449";"Mil unidades";"2598";"Mil unidades";"464";"Mil unidades";"2662";"Mil unidades";"456";"Mil unidades";"2859";"Mil unidades";"431";"Mil unidades";"2978";"Mil unidades";"440";"Mil unidades"
"Alagoas";"758";"Mil unidades";"213";"Mil unidades";"783";"Mil unidades";"217";"Mil unidades";"815";"Mil unidades";"209";"Mil unidades";"819";"Mil unidades";"184";"Mil unidades";"869";"Mil unidades";"189";"Mil unidades";"882";"Mil unidades";"187";"Mil unidades"
"Sergipe";"554";"Mil unidades";"160";"Mil unidades";"550";"Mil unidades";"154";"Mil unidades";"575";"Mil unidades";"147";"Mil unidades";"610";"Mil unidades";"164";"Mil unidades";"643";"Mil unidades";"157";"Mil unidades";"650";"Mil unidades";"155";"Mil unidades"
"Bahia";"3484";"Mil unidades";"1079";"Mil unidades";"3440";"Mil unidades";"1178";"Mil unidades";"3591";"Mil unidades";"1224";"Mil unidades";"3720";"Mil unidades";"1268";"Mil unidades";"3903";"Mil unidades";"1275";"Mil unidades";"4157";"Mil unidades";"1209";"Mil unidades"
"Minas Gerais";"6038";"Mil unidades";"830";"Mil unidades";"6159";"Mil unidades";"841";"Mil unidades";"6261";"Mil unidades";"877";"Mil unidades";"6461";"Mil unidades";"1002";"Mil unidades";"6832";"Mil unidades";"969";"Mil unidades";"7134";"Mil unidades";"853";"Mil unidades"
"Espírito Santo";"1129";"Mil unidades";"180";"Mil unidades";"1163";"Mil unidades";"184";"Mil unidades";"1174";"Mil unidades";"187";"Mil unidades";"1245";"Mil unidades";"169";"Mil unidades";"1307";"Mil unidades";"176";"Mil unidades";"1328";"Mil unidades";"177";"Mil unidades"
"Rio de Janeiro";"5976";"Mil unidades";"186";"Mil unidades";"6014";"Mil unidades";"195";"Mil unidades";"6109";"Mil unidades";"176";"Mil unidades";"6260";"Mil unidades";"165";"Mil unidades";"6392";"Mil unidades";"164";"Mil unidades";"6530";"Mil unidades";"149";"Mil unidades"
"São Paulo";"14325";"Mil unidades";"618";"Mil unidades";"14720";"Mil unidades";"614";"Mil unidades";"14885";"Mil unidades";"607";"Mil unidades";"15547";"Mil unidades";"568";"Mil unidades";"16315";"Mil unidades";"564";"Mil unidades";"16556";"Mil unidades";"540";"Mil unidades"
"Paraná";"3334";"Mil unidades";"465";"Mil unidades";"3377";"Mil unidades";"493";"Mil unidades";"3435";"Mil unidades";"497";"Mil unidades";"3672";"Mil unidades";"480";"Mil unidades";"3775";"Mil unidades";"481";"Mil unidades";"3871";"Mil unidades";"456";"Mil unidades"
"Santa Catarina";"2103";"Mil unidades";"351";"Mil unidades";"2191";"Mil unidades";"356";"Mil unidades";"2224";"Mil unidades";"352";"Mil unidades";"2364";"Mil unidades";"362";"Mil unidades";"2537";"Mil unidades";"339";"Mil unidades";"2669";"Mil unidades";"317";"Mil unidades"
"Rio Grande do Sul";"3480";"Mil unidades";"528";"Mil unidades";"3520";"Mil unidades";"517";"Mil unidades";"3617";"Mil unidades";"526";"Mil unidades";"3663";"Mil unidades";"579";"Mil unidades";"3765";"Mil unidades";"558";"Mil unidades";"3840";"Mil unidades";"492";"Mil unidades"
"Mato Grosso do Sul";"791";"Mil unidades";"86";"Mil unidades";"805";"Mil unidades";"90";"Mil unidades";"813";"Mil unidades";"86";"Mil unidades";"886";"Mil unidades";"89";"Mil unidades";"923";"Mil unidades";"95";"Mil unidades";"936";"Mil unidades";"87";"Mil unidades"
"Mato Grosso";"947";"Mil unidades";"161";"Mil unidades";"970";"Mil unidades";"173";"Mil unidades";"965";"Mil unidades";"170";"Mil unidades";"1060";"Mil unidades";"161";"Mil unidades";"1163";"Mil unidades";"151";"Mil unidades";"1205";"Mil unidades";"119";"Mil unidades"
"Goiás";"2074";"Mil unidades";"200";"Mil unidades";"2128";"Mil unidades";"198";"Mil unidades";"2200";"Mil unidades";"192";"Mil unidades";"2363";"Mil unidades";"169";"Mil unidades";"2507";"Mil unidades";"167";"Mil unidades";"2593";"Mil unidades";"156";"Mil unidades"
"Distrito Federal";"900";"Mil unidades";"56";"Mil unidades";"905";"Mil unidades";"60";"Mil unidades";"892";"Mil unidades";"58";"Mil unidades";"964";"Mil unidades";"46";"Mil unidades";"1021";"Mil unidades";"44";"Mil unidades";"1009";"Mil unidades";"37";"Mil unidades"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 1ª visita"

"Notas"
"A partir de 2017, inicia-se a série desse indicador em decorrência da inclusão das variáveis S01011A, S01011B, S01011C no questionário a partir dessa mesma data.
A partir de 2025, as estimativas deste tema passaram a ser divulgadas com base na nova ponderação da pesquisa, conforme a Nota Técnica 02/2025. Consequentemente, a série histórica dos indicadores foi atualizada.
A classificação ""Situação do domicílio"" está disponível apenas para os níveis territoriais Brasil, Grande Região e Unidade da Federação."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
