"Tabela 7215 - Pessoas de 14 a 29 anos que não frequentam escola e que frequentaram no máximo o ensino médio ou curso equivalente sem o completar, por sexo e idade que deixou de frequentar escola pela última vez"
"Variável - Pessoas de 14 a 29 anos que não frequentam escola e que frequentaram no máximo o ensino médio ou curso equivalente sem o completar"
"Grande Região";"Idade que deixou de frequentar escola pela última vez";"Ano x Sexo"
"Grande Região";"Idade que deixou de frequentar escola pela última vez";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Idade que deixou de frequentar escola pela última vez";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Sul";"até os 13 anos";"71";"Mil pessoas";"40";"Mil pessoas";"53";"Mil pessoas";"44";"Mil pessoas";"44";"Mil pessoas";"27";"Mil pessoas";"48";"Mil pessoas";"27";"Mil pessoas"
"Sul";"14 anos";"85";"Mil pessoas";"71";"Mil pessoas";"61";"Mil pessoas";"56";"Mil pessoas";"47";"Mil pessoas";"37";"Mil pessoas";"48";"Mil pessoas";"44";"Mil pessoas"
"Sul";"15 anos";"154";"Mil pessoas";"103";"Mil pessoas";"108";"Mil pessoas";"89";"Mil pessoas";"109";"Mil pessoas";"66";"Mil pessoas";"84";"Mil pessoas";"76";"Mil pessoas"
"Sul";"16 anos";"161";"Mil pessoas";"139";"Mil pessoas";"162";"Mil pessoas";"96";"Mil pessoas";"137";"Mil pessoas";"105";"Mil pessoas";"137";"Mil pessoas";"101";"Mil pessoas"
"Sul";"17 anos";"189";"Mil pessoas";"129";"Mil pessoas";"210";"Mil pessoas";"118";"Mil pessoas";"159";"Mil pessoas";"118";"Mil pessoas";"189";"Mil pessoas";"114";"Mil pessoas"
"Sul";"18 anos";"163";"Mil pessoas";"77";"Mil pessoas";"172";"Mil pessoas";"91";"Mil pessoas";"162";"Mil pessoas";"102";"Mil pessoas";"174";"Mil pessoas";"85";"Mil pessoas"
"Sul";"19 anos ou mais";"100";"Mil pessoas";"77";"Mil pessoas";"86";"Mil pessoas";"84";"Mil pessoas";"104";"Mil pessoas";"77";"Mil pessoas";"89";"Mil pessoas";"55";"Mil pessoas"
"Centro-Oeste";"até os 13 anos";"31";"Mil pessoas";"20";"Mil pessoas";"28";"Mil pessoas";"14";"Mil pessoas";"23";"Mil pessoas";"16";"Mil pessoas";"28";"Mil pessoas";"14";"Mil pessoas"
"Centro-Oeste";"14 anos";"31";"Mil pessoas";"24";"Mil pessoas";"31";"Mil pessoas";"23";"Mil pessoas";"23";"Mil pessoas";"22";"Mil pessoas";"23";"Mil pessoas";"20";"Mil pessoas"
"Centro-Oeste";"15 anos";"54";"Mil pessoas";"52";"Mil pessoas";"56";"Mil pessoas";"44";"Mil pessoas";"45";"Mil pessoas";"40";"Mil pessoas";"48";"Mil pessoas";"39";"Mil pessoas"
"Centro-Oeste";"16 anos";"79";"Mil pessoas";"66";"Mil pessoas";"85";"Mil pessoas";"51";"Mil pessoas";"75";"Mil pessoas";"56";"Mil pessoas";"76";"Mil pessoas";"51";"Mil pessoas"
"Centro-Oeste";"17 anos";"107";"Mil pessoas";"72";"Mil pessoas";"101";"Mil pessoas";"63";"Mil pessoas";"78";"Mil pessoas";"64";"Mil pessoas";"91";"Mil pessoas";"61";"Mil pessoas"
"Centro-Oeste";"18 anos";"98";"Mil pessoas";"65";"Mil pessoas";"102";"Mil pessoas";"53";"Mil pessoas";"109";"Mil pessoas";"55";"Mil pessoas";"83";"Mil pessoas";"50";"Mil pessoas"
"Centro-Oeste";"19 anos ou mais";"101";"Mil pessoas";"73";"Mil pessoas";"85";"Mil pessoas";"61";"Mil pessoas";"80";"Mil pessoas";"49";"Mil pessoas";"62";"Mil pessoas";"48";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre"

"Notas"
"A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
