"Tabela 7160 - Estudantes de 15 anos ou mais de idade, por cor ou raça e situação de ocupação"
"Variável - Estudantes de 15 anos ou mais de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Ano x Cor ou raça"
"Unidade da Federação";"Situação de ocupação na semana de referência";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Amapá";"Ocupados";"7";"Mil pessoas";"21";"Mil pessoas";"9";"Mil pessoas";"26";"Mil pessoas";"5";"Mil pessoas";"22";"Mil pessoas";"8";"Mil pessoas";"23";"Mil pessoas";"10";"Mil pessoas";"25";"Mil pessoas";"9";"Mil pessoas";"22";"Mil pessoas";"6";"Mil pessoas";"21";"Mil pessoas"
"Amapá";"Não ocupados";"14";"Mil pessoas";"64";"Mil pessoas";"19";"Mil pessoas";"71";"Mil pessoas";"14";"Mil pessoas";"77";"Mil pessoas";"14";"Mil pessoas";"71";"Mil pessoas";"18";"Mil pessoas";"51";"Mil pessoas";"12";"Mil pessoas";"63";"Mil pessoas";"16";"Mil pessoas";"59";"Mil pessoas"
"Tocantins";"Ocupados";"13";"Mil pessoas";"49";"Mil pessoas";"12";"Mil pessoas";"48";"Mil pessoas";"21";"Mil pessoas";"51";"Mil pessoas";"16";"Mil pessoas";"41";"Mil pessoas";"19";"Mil pessoas";"68";"Mil pessoas";"20";"Mil pessoas";"63";"Mil pessoas";"26";"Mil pessoas";"70";"Mil pessoas"
"Tocantins";"Não ocupados";"30";"Mil pessoas";"87";"Mil pessoas";"25";"Mil pessoas";"92";"Mil pessoas";"25";"Mil pessoas";"81";"Mil pessoas";"20";"Mil pessoas";"86";"Mil pessoas";"28";"Mil pessoas";"86";"Mil pessoas";"23";"Mil pessoas";"72";"Mil pessoas";"21";"Mil pessoas";"77";"Mil pessoas"
"Maranhão";"Ocupados";"44";"Mil pessoas";"182";"Mil pessoas";"45";"Mil pessoas";"160";"Mil pessoas";"53";"Mil pessoas";"164";"Mil pessoas";"47";"Mil pessoas";"170";"Mil pessoas";"42";"Mil pessoas";"162";"Mil pessoas";"43";"Mil pessoas";"175";"Mil pessoas";"49";"Mil pessoas";"168";"Mil pessoas"
"Maranhão";"Não ocupados";"111";"Mil pessoas";"410";"Mil pessoas";"81";"Mil pessoas";"435";"Mil pessoas";"99";"Mil pessoas";"457";"Mil pessoas";"112";"Mil pessoas";"449";"Mil pessoas";"103";"Mil pessoas";"416";"Mil pessoas";"106";"Mil pessoas";"437";"Mil pessoas";"97";"Mil pessoas";"447";"Mil pessoas"
"Piauí";"Ocupados";"28";"Mil pessoas";"106";"Mil pessoas";"24";"Mil pessoas";"106";"Mil pessoas";"28";"Mil pessoas";"108";"Mil pessoas";"28";"Mil pessoas";"111";"Mil pessoas";"35";"Mil pessoas";"127";"Mil pessoas";"25";"Mil pessoas";"94";"Mil pessoas";"28";"Mil pessoas";"87";"Mil pessoas"
"Piauí";"Não ocupados";"45";"Mil pessoas";"190";"Mil pessoas";"56";"Mil pessoas";"203";"Mil pessoas";"42";"Mil pessoas";"216";"Mil pessoas";"44";"Mil pessoas";"194";"Mil pessoas";"48";"Mil pessoas";"206";"Mil pessoas";"57";"Mil pessoas";"179";"Mil pessoas";"55";"Mil pessoas";"172";"Mil pessoas"
"Ceará";"Ocupados";"86";"Mil pessoas";"210";"Mil pessoas";"101";"Mil pessoas";"195";"Mil pessoas";"100";"Mil pessoas";"225";"Mil pessoas";"112";"Mil pessoas";"246";"Mil pessoas";"92";"Mil pessoas";"219";"Mil pessoas";"96";"Mil pessoas";"203";"Mil pessoas";"102";"Mil pessoas";"204";"Mil pessoas"
"Ceará";"Não ocupados";"177";"Mil pessoas";"430";"Mil pessoas";"173";"Mil pessoas";"460";"Mil pessoas";"178";"Mil pessoas";"460";"Mil pessoas";"167";"Mil pessoas";"420";"Mil pessoas";"199";"Mil pessoas";"419";"Mil pessoas";"170";"Mil pessoas";"446";"Mil pessoas";"151";"Mil pessoas";"434";"Mil pessoas"
"Rio Grande do Norte";"Ocupados";"44";"Mil pessoas";"64";"Mil pessoas";"46";"Mil pessoas";"66";"Mil pessoas";"53";"Mil pessoas";"84";"Mil pessoas";"64";"Mil pessoas";"83";"Mil pessoas";"49";"Mil pessoas";"72";"Mil pessoas";"48";"Mil pessoas";"62";"Mil pessoas";"61";"Mil pessoas";"91";"Mil pessoas"
"Rio Grande do Norte";"Não ocupados";"95";"Mil pessoas";"165";"Mil pessoas";"100";"Mil pessoas";"169";"Mil pessoas";"106";"Mil pessoas";"162";"Mil pessoas";"99";"Mil pessoas";"158";"Mil pessoas";"107";"Mil pessoas";"160";"Mil pessoas";"109";"Mil pessoas";"154";"Mil pessoas";"102";"Mil pessoas";"151";"Mil pessoas"
"Paraíba";"Ocupados";"58";"Mil pessoas";"91";"Mil pessoas";"53";"Mil pessoas";"96";"Mil pessoas";"51";"Mil pessoas";"93";"Mil pessoas";"47";"Mil pessoas";"91";"Mil pessoas";"46";"Mil pessoas";"88";"Mil pessoas";"53";"Mil pessoas";"77";"Mil pessoas";"53";"Mil pessoas";"90";"Mil pessoas"
"Paraíba";"Não ocupados";"116";"Mil pessoas";"200";"Mil pessoas";"98";"Mil pessoas";"204";"Mil pessoas";"108";"Mil pessoas";"206";"Mil pessoas";"107";"Mil pessoas";"202";"Mil pessoas";"85";"Mil pessoas";"219";"Mil pessoas";"92";"Mil pessoas";"188";"Mil pessoas";"91";"Mil pessoas";"165";"Mil pessoas"
"Pernambuco";"Ocupados";"107";"Mil pessoas";"165";"Mil pessoas";"89";"Mil pessoas";"132";"Mil pessoas";"113";"Mil pessoas";"153";"Mil pessoas";"100";"Mil pessoas";"186";"Mil pessoas";"111";"Mil pessoas";"182";"Mil pessoas";"108";"Mil pessoas";"177";"Mil pessoas";"112";"Mil pessoas";"191";"Mil pessoas"
"Pernambuco";"Não ocupados";"209";"Mil pessoas";"443";"Mil pessoas";"206";"Mil pessoas";"505";"Mil pessoas";"210";"Mil pessoas";"449";"Mil pessoas";"196";"Mil pessoas";"460";"Mil pessoas";"217";"Mil pessoas";"398";"Mil pessoas";"204";"Mil pessoas";"408";"Mil pessoas";"231";"Mil pessoas";"429";"Mil pessoas"
"Alagoas";"Ocupados";"29";"Mil pessoas";"78";"Mil pessoas";"22";"Mil pessoas";"62";"Mil pessoas";"23";"Mil pessoas";"56";"Mil pessoas";"26";"Mil pessoas";"61";"Mil pessoas";"33";"Mil pessoas";"72";"Mil pessoas";"35";"Mil pessoas";"91";"Mil pessoas";"38";"Mil pessoas";"93";"Mil pessoas"
"Alagoas";"Não ocupados";"67";"Mil pessoas";"201";"Mil pessoas";"56";"Mil pessoas";"205";"Mil pessoas";"71";"Mil pessoas";"216";"Mil pessoas";"60";"Mil pessoas";"199";"Mil pessoas";"68";"Mil pessoas";"183";"Mil pessoas";"70";"Mil pessoas";"180";"Mil pessoas";"69";"Mil pessoas";"168";"Mil pessoas"
"Sergipe";"Ocupados";"18";"Mil pessoas";"64";"Mil pessoas";"19";"Mil pessoas";"67";"Mil pessoas";"18";"Mil pessoas";"50";"Mil pessoas";"22";"Mil pessoas";"58";"Mil pessoas";"26";"Mil pessoas";"61";"Mil pessoas";"24";"Mil pessoas";"63";"Mil pessoas";"27";"Mil pessoas";"70";"Mil pessoas"
"Sergipe";"Não ocupados";"32";"Mil pessoas";"134";"Mil pessoas";"34";"Mil pessoas";"138";"Mil pessoas";"35";"Mil pessoas";"133";"Mil pessoas";"35";"Mil pessoas";"132";"Mil pessoas";"43";"Mil pessoas";"120";"Mil pessoas";"42";"Mil pessoas";"123";"Mil pessoas";"41";"Mil pessoas";"120";"Mil pessoas"
"Bahia";"Ocupados";"138";"Mil pessoas";"513";"Mil pessoas";"94";"Mil pessoas";"511";"Mil pessoas";"114";"Mil pessoas";"508";"Mil pessoas";"102";"Mil pessoas";"464";"Mil pessoas";"95";"Mil pessoas";"473";"Mil pessoas";"99";"Mil pessoas";"428";"Mil pessoas";"105";"Mil pessoas";"447";"Mil pessoas"
"Bahia";"Não ocupados";"164";"Mil pessoas";"902";"Mil pessoas";"194";"Mil pessoas";"874";"Mil pessoas";"179";"Mil pessoas";"917";"Mil pessoas";"189";"Mil pessoas";"948";"Mil pessoas";"208";"Mil pessoas";"809";"Mil pessoas";"197";"Mil pessoas";"778";"Mil pessoas";"194";"Mil pessoas";"825";"Mil pessoas"
"Minas Gerais";"Ocupados";"413";"Mil pessoas";"528";"Mil pessoas";"368";"Mil pessoas";"510";"Mil pessoas";"391";"Mil pessoas";"534";"Mil pessoas";"417";"Mil pessoas";"572";"Mil pessoas";"419";"Mil pessoas";"523";"Mil pessoas";"404";"Mil pessoas";"496";"Mil pessoas";"450";"Mil pessoas";"601";"Mil pessoas"
"Minas Gerais";"Não ocupados";"506";"Mil pessoas";"819";"Mil pessoas";"485";"Mil pessoas";"817";"Mil pessoas";"487";"Mil pessoas";"771";"Mil pessoas";"465";"Mil pessoas";"736";"Mil pessoas";"398";"Mil pessoas";"642";"Mil pessoas";"419";"Mil pessoas";"623";"Mil pessoas";"412";"Mil pessoas";"616";"Mil pessoas"
"Espírito Santo";"Ocupados";"56";"Mil pessoas";"89";"Mil pessoas";"65";"Mil pessoas";"87";"Mil pessoas";"64";"Mil pessoas";"97";"Mil pessoas";"69";"Mil pessoas";"107";"Mil pessoas";"75";"Mil pessoas";"112";"Mil pessoas";"75";"Mil pessoas";"107";"Mil pessoas";"77";"Mil pessoas";"120";"Mil pessoas"
"Espírito Santo";"Não ocupados";"91";"Mil pessoas";"153";"Mil pessoas";"85";"Mil pessoas";"146";"Mil pessoas";"79";"Mil pessoas";"152";"Mil pessoas";"65";"Mil pessoas";"152";"Mil pessoas";"80";"Mil pessoas";"146";"Mil pessoas";"82";"Mil pessoas";"136";"Mil pessoas";"78";"Mil pessoas";"118";"Mil pessoas"
"Rio de Janeiro";"Ocupados";"215";"Mil pessoas";"235";"Mil pessoas";"226";"Mil pessoas";"268";"Mil pessoas";"295";"Mil pessoas";"282";"Mil pessoas";"322";"Mil pessoas";"284";"Mil pessoas";"384";"Mil pessoas";"390";"Mil pessoas";"409";"Mil pessoas";"372";"Mil pessoas";"415";"Mil pessoas";"400";"Mil pessoas"
"Rio de Janeiro";"Não ocupados";"542";"Mil pessoas";"669";"Mil pessoas";"522";"Mil pessoas";"690";"Mil pessoas";"548";"Mil pessoas";"655";"Mil pessoas";"509";"Mil pessoas";"627";"Mil pessoas";"543";"Mil pessoas";"603";"Mil pessoas";"504";"Mil pessoas";"638";"Mil pessoas";"494";"Mil pessoas";"595";"Mil pessoas"
"São Paulo";"Ocupados";"1228";"Mil pessoas";"595";"Mil pessoas";"1146";"Mil pessoas";"632";"Mil pessoas";"1156";"Mil pessoas";"776";"Mil pessoas";"1237";"Mil pessoas";"726";"Mil pessoas";"1473";"Mil pessoas";"818";"Mil pessoas";"1406";"Mil pessoas";"858";"Mil pessoas";"1420";"Mil pessoas";"920";"Mil pessoas"
"São Paulo";"Não ocupados";"1658";"Mil pessoas";"936";"Mil pessoas";"1503";"Mil pessoas";"993";"Mil pessoas";"1480";"Mil pessoas";"1009";"Mil pessoas";"1392";"Mil pessoas";"887";"Mil pessoas";"1327";"Mil pessoas";"948";"Mil pessoas";"1311";"Mil pessoas";"943";"Mil pessoas";"1298";"Mil pessoas";"878";"Mil pessoas"
"Paraná";"Ocupados";"371";"Mil pessoas";"134";"Mil pessoas";"378";"Mil pessoas";"179";"Mil pessoas";"397";"Mil pessoas";"170";"Mil pessoas";"382";"Mil pessoas";"178";"Mil pessoas";"413";"Mil pessoas";"197";"Mil pessoas";"422";"Mil pessoas";"209";"Mil pessoas";"414";"Mil pessoas";"226";"Mil pessoas"
"Paraná";"Não ocupados";"452";"Mil pessoas";"178";"Mil pessoas";"433";"Mil pessoas";"187";"Mil pessoas";"423";"Mil pessoas";"200";"Mil pessoas";"409";"Mil pessoas";"209";"Mil pessoas";"353";"Mil pessoas";"190";"Mil pessoas";"389";"Mil pessoas";"215";"Mil pessoas";"361";"Mil pessoas";"194";"Mil pessoas"
"Santa Catarina";"Ocupados";"316";"Mil pessoas";"41";"Mil pessoas";"316";"Mil pessoas";"54";"Mil pessoas";"315";"Mil pessoas";"73";"Mil pessoas";"321";"Mil pessoas";"67";"Mil pessoas";"352";"Mil pessoas";"89";"Mil pessoas";"331";"Mil pessoas";"86";"Mil pessoas";"340";"Mil pessoas";"90";"Mil pessoas"
"Santa Catarina";"Não ocupados";"312";"Mil pessoas";"51";"Mil pessoas";"287";"Mil pessoas";"62";"Mil pessoas";"281";"Mil pessoas";"72";"Mil pessoas";"265";"Mil pessoas";"70";"Mil pessoas";"256";"Mil pessoas";"62";"Mil pessoas";"253";"Mil pessoas";"81";"Mil pessoas";"228";"Mil pessoas";"72";"Mil pessoas"
"Rio Grande do Sul";"Ocupados";"508";"Mil pessoas";"93";"Mil pessoas";"470";"Mil pessoas";"94";"Mil pessoas";"488";"Mil pessoas";"90";"Mil pessoas";"484";"Mil pessoas";"102";"Mil pessoas";"524";"Mil pessoas";"118";"Mil pessoas";"513";"Mil pessoas";"143";"Mil pessoas";"541";"Mil pessoas";"137";"Mil pessoas"
"Rio Grande do Sul";"Não ocupados";"511";"Mil pessoas";"128";"Mil pessoas";"476";"Mil pessoas";"117";"Mil pessoas";"457";"Mil pessoas";"135";"Mil pessoas";"475";"Mil pessoas";"145";"Mil pessoas";"418";"Mil pessoas";"126";"Mil pessoas";"380";"Mil pessoas";"123";"Mil pessoas";"390";"Mil pessoas";"135";"Mil pessoas"
"Mato Grosso do Sul";"Ocupados";"76";"Mil pessoas";"80";"Mil pessoas";"72";"Mil pessoas";"66";"Mil pessoas";"64";"Mil pessoas";"66";"Mil pessoas";"66";"Mil pessoas";"75";"Mil pessoas";"72";"Mil pessoas";"82";"Mil pessoas";"74";"Mil pessoas";"86";"Mil pessoas";"71";"Mil pessoas";"99";"Mil pessoas"
"Mato Grosso do Sul";"Não ocupados";"66";"Mil pessoas";"82";"Mil pessoas";"69";"Mil pessoas";"83";"Mil pessoas";"69";"Mil pessoas";"92";"Mil pessoas";"66";"Mil pessoas";"78";"Mil pessoas";"68";"Mil pessoas";"78";"Mil pessoas";"63";"Mil pessoas";"79";"Mil pessoas";"65";"Mil pessoas";"81";"Mil pessoas"
"Mato Grosso";"Ocupados";"57";"Mil pessoas";"117";"Mil pessoas";"62";"Mil pessoas";"123";"Mil pessoas";"67";"Mil pessoas";"129";"Mil pessoas";"65";"Mil pessoas";"128";"Mil pessoas";"61";"Mil pessoas";"131";"Mil pessoas";"70";"Mil pessoas";"132";"Mil pessoas";"74";"Mil pessoas";"141";"Mil pessoas"
"Mato Grosso";"Não ocupados";"62";"Mil pessoas";"147";"Mil pessoas";"59";"Mil pessoas";"139";"Mil pessoas";"67";"Mil pessoas";"141";"Mil pessoas";"50";"Mil pessoas";"131";"Mil pessoas";"45";"Mil pessoas";"113";"Mil pessoas";"56";"Mil pessoas";"132";"Mil pessoas";"52";"Mil pessoas";"108";"Mil pessoas"
"Goiás";"Ocupados";"114";"Mil pessoas";"195";"Mil pessoas";"111";"Mil pessoas";"193";"Mil pessoas";"120";"Mil pessoas";"226";"Mil pessoas";"132";"Mil pessoas";"212";"Mil pessoas";"142";"Mil pessoas";"237";"Mil pessoas";"159";"Mil pessoas";"219";"Mil pessoas";"148";"Mil pessoas";"238";"Mil pessoas"
"Goiás";"Não ocupados";"143";"Mil pessoas";"266";"Mil pessoas";"136";"Mil pessoas";"259";"Mil pessoas";"130";"Mil pessoas";"273";"Mil pessoas";"157";"Mil pessoas";"274";"Mil pessoas";"151";"Mil pessoas";"233";"Mil pessoas";"129";"Mil pessoas";"218";"Mil pessoas";"147";"Mil pessoas";"247";"Mil pessoas"
"Distrito Federal";"Ocupados";"59";"Mil pessoas";"90";"Mil pessoas";"59";"Mil pessoas";"86";"Mil pessoas";"57";"Mil pessoas";"99";"Mil pessoas";"76";"Mil pessoas";"110";"Mil pessoas";"102";"Mil pessoas";"129";"Mil pessoas";"95";"Mil pessoas";"143";"Mil pessoas";"93";"Mil pessoas";"136";"Mil pessoas"
"Distrito Federal";"Não ocupados";"93";"Mil pessoas";"157";"Mil pessoas";"88";"Mil pessoas";"161";"Mil pessoas";"92";"Mil pessoas";"140";"Mil pessoas";"99";"Mil pessoas";"149";"Mil pessoas";"91";"Mil pessoas";"151";"Mil pessoas";"92";"Mil pessoas";"135";"Mil pessoas";"83";"Mil pessoas";"121";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre"

"Notas"
"A categoria Total para ""Cor ou raça"" inclui as pessoas que se declaram indígenas, amarelas ou sem declaração.
A categoria Não ocupados para ""Situação de ocupação na semana de referência"" inclui as pessoas desocupadas e as pessoas fora da força de trabalho.
A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
