"Tabela 7222 - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional, por cor ou raça e principal motivo de atualmente não frequentar"
"Variável - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Ano x Cor ou raça"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Centro-Oeste";"Por já ter concluído o nível de estudo que desejava";"22";"Mil pessoas";"39";"Mil pessoas";"34";"Mil pessoas";"70";"Mil pessoas";"34";"Mil pessoas";"84";"Mil pessoas";"33";"Mil pessoas";"83";"Mil pessoas"
"Centro-Oeste";"Não tem interesse";"40";"Mil pessoas";"79";"Mil pessoas";"52";"Mil pessoas";"100";"Mil pessoas";"46";"Mil pessoas";"108";"Mil pessoas";"58";"Mil pessoas";"116";"Mil pessoas"
"Centro-Oeste";"Outro motivo";"16";"Mil pessoas";"34";"Mil pessoas";"19";"Mil pessoas";"41";"Mil pessoas";"17";"Mil pessoas";"36";"Mil pessoas";"15";"Mil pessoas";"43";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre"

"Notas"
"A categoria Total para ""Cor ou raça"" inclui as pessoas que se declaram indígenas, amarelas ou sem declaração.
A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
