"Tabela 7219 - Pessoas de 15 a 29 anos de idade com nível de instrução inferior ao médio completo e que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional, por sexo e principal motivo de atualmente não frequentar"
"Variável - Pessoas de 15 a 29 anos de idade com nível de instrução inferior ao médio completo e que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Ano x Sexo"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Sudeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"26";"Mil pessoas";"532";"Mil pessoas";"11";"Mil pessoas";"340";"Mil pessoas";"15";"Mil pessoas";"347";"Mil pessoas";"8";"Mil pessoas";"333";"Mil pessoas"
"Sudeste";"Problemas de saúde permanente";"107";"Mil pessoas";"56";"Mil pessoas";"92";"Mil pessoas";"51";"Mil pessoas";"95";"Mil pessoas";"76";"Mil pessoas";"93";"Mil pessoas";"52";"Mil pessoas"
"Sudeste";"Não tem interesse";"600";"Mil pessoas";"266";"Mil pessoas";"465";"Mil pessoas";"258";"Mil pessoas";"454";"Mil pessoas";"263";"Mil pessoas";"460";"Mil pessoas";"205";"Mil pessoas"
"Sudeste";"Outro motivo";"73";"Mil pessoas";"103";"Mil pessoas";"81";"Mil pessoas";"105";"Mil pessoas";"101";"Mil pessoas";"85";"Mil pessoas";"87";"Mil pessoas";"107";"Mil pessoas"
"Sul";"Precisa trabalhar";"590";"Mil pessoas";"236";"Mil pessoas";"522";"Mil pessoas";"210";"Mil pessoas";"494";"Mil pessoas";"222";"Mil pessoas";"525";"Mil pessoas";"207";"Mil pessoas"
"Sul";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"20";"Mil pessoas";"16";"Mil pessoas";"27";"Mil pessoas";"16";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"15";"Mil pessoas";"14";"Mil pessoas"
"Sul";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"8";"Mil pessoas";"14";"Mil pessoas";"10";"Mil pessoas";"13";"Mil pessoas";"8";"Mil pessoas";"6";"Mil pessoas";"9";"Mil pessoas";"6";"Mil pessoas"
"Sul";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"11";"Mil pessoas";"185";"Mil pessoas";"5";"Mil pessoas";"157";"Mil pessoas";"8";"Mil pessoas";"160";"Mil pessoas";"4";"Mil pessoas";"126";"Mil pessoas"
"Sul";"Problemas de saúde permanente";"39";"Mil pessoas";"18";"Mil pessoas";"45";"Mil pessoas";"24";"Mil pessoas";"42";"Mil pessoas";"20";"Mil pessoas";"35";"Mil pessoas";"20";"Mil pessoas"
"Sul";"Não tem interesse";"224";"Mil pessoas";"123";"Mil pessoas";"209";"Mil pessoas";"100";"Mil pessoas";"176";"Mil pessoas";"79";"Mil pessoas";"164";"Mil pessoas";"88";"Mil pessoas"
"Sul";"Outro motivo";"35";"Mil pessoas";"44";"Mil pessoas";"41";"Mil pessoas";"57";"Mil pessoas";"33";"Mil pessoas";"34";"Mil pessoas";"33";"Mil pessoas";"41";"Mil pessoas"
"Centro-Oeste";"Precisa trabalhar";"321";"Mil pessoas";"94";"Mil pessoas";"333";"Mil pessoas";"104";"Mil pessoas";"283";"Mil pessoas";"90";"Mil pessoas";"256";"Mil pessoas";"87";"Mil pessoas"
"Centro-Oeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"10";"Mil pessoas";"12";"Mil pessoas";"10";"Mil pessoas";"12";"Mil pessoas";"9";"Mil pessoas";"9";"Mil pessoas";"10";"Mil pessoas";"7";"Mil pessoas"
"Centro-Oeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"4";"Mil pessoas";"5";"Mil pessoas";"6";"Mil pessoas";"8";"Mil pessoas";"9";"Mil pessoas";"2";"Mil pessoas";"4";"Mil pessoas";"3";"Mil pessoas"
"Centro-Oeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"2";"Mil pessoas";"147";"Mil pessoas";"4";"Mil pessoas";"90";"Mil pessoas";"1";"Mil pessoas";"105";"Mil pessoas";"1";"Mil pessoas";"95";"Mil pessoas"
"Centro-Oeste";"Problemas de saúde permanente";"20";"Mil pessoas";"12";"Mil pessoas";"19";"Mil pessoas";"9";"Mil pessoas";"19";"Mil pessoas";"11";"Mil pessoas";"18";"Mil pessoas";"7";"Mil pessoas"
"Centro-Oeste";"Não tem interesse";"135";"Mil pessoas";"74";"Mil pessoas";"100";"Mil pessoas";"56";"Mil pessoas";"105";"Mil pessoas";"56";"Mil pessoas";"108";"Mil pessoas";"58";"Mil pessoas"
"Centro-Oeste";"Outro motivo";"16";"Mil pessoas";"25";"Mil pessoas";"22";"Mil pessoas";"30";"Mil pessoas";"14";"Mil pessoas";"26";"Mil pessoas";"13";"Mil pessoas";"22";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre"

"Notas"
"A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
