"Tabela 7159 - Estudantes de 15 anos ou mais de idade, por sexo e situação de ocupação"
"Variável - Estudantes de 15 anos ou mais de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Ano x Sexo"
"Unidade da Federação";"Situação de ocupação na semana de referência";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Tocantins";"Ocupados";"29";"Mil pessoas";"33";"Mil pessoas";"31";"Mil pessoas";"29";"Mil pessoas";"34";"Mil pessoas";"40";"Mil pessoas";"28";"Mil pessoas";"28";"Mil pessoas";"42";"Mil pessoas";"46";"Mil pessoas";"41";"Mil pessoas";"43";"Mil pessoas";"47";"Mil pessoas";"50";"Mil pessoas"
"Tocantins";"Não ocupados";"54";"Mil pessoas";"63";"Mil pessoas";"56";"Mil pessoas";"62";"Mil pessoas";"54";"Mil pessoas";"54";"Mil pessoas";"50";"Mil pessoas";"56";"Mil pessoas";"54";"Mil pessoas";"62";"Mil pessoas";"41";"Mil pessoas";"55";"Mil pessoas";"46";"Mil pessoas";"53";"Mil pessoas"
"Maranhão";"Ocupados";"123";"Mil pessoas";"104";"Mil pessoas";"104";"Mil pessoas";"102";"Mil pessoas";"107";"Mil pessoas";"111";"Mil pessoas";"114";"Mil pessoas";"105";"Mil pessoas";"103";"Mil pessoas";"104";"Mil pessoas";"106";"Mil pessoas";"119";"Mil pessoas";"105";"Mil pessoas";"115";"Mil pessoas"
"Maranhão";"Não ocupados";"230";"Mil pessoas";"293";"Mil pessoas";"250";"Mil pessoas";"269";"Mil pessoas";"260";"Mil pessoas";"299";"Mil pessoas";"272";"Mil pessoas";"295";"Mil pessoas";"241";"Mil pessoas";"284";"Mil pessoas";"249";"Mil pessoas";"301";"Mil pessoas";"245";"Mil pessoas";"302";"Mil pessoas"
"Piauí";"Ocupados";"73";"Mil pessoas";"61";"Mil pessoas";"67";"Mil pessoas";"63";"Mil pessoas";"69";"Mil pessoas";"68";"Mil pessoas";"71";"Mil pessoas";"69";"Mil pessoas";"78";"Mil pessoas";"84";"Mil pessoas";"56";"Mil pessoas";"62";"Mil pessoas";"57";"Mil pessoas";"59";"Mil pessoas"
"Piauí";"Não ocupados";"103";"Mil pessoas";"131";"Mil pessoas";"120";"Mil pessoas";"139";"Mil pessoas";"121";"Mil pessoas";"139";"Mil pessoas";"111";"Mil pessoas";"127";"Mil pessoas";"123";"Mil pessoas";"130";"Mil pessoas";"113";"Mil pessoas";"123";"Mil pessoas";"102";"Mil pessoas";"126";"Mil pessoas"
"Ceará";"Ocupados";"149";"Mil pessoas";"150";"Mil pessoas";"143";"Mil pessoas";"154";"Mil pessoas";"176";"Mil pessoas";"152";"Mil pessoas";"180";"Mil pessoas";"181";"Mil pessoas";"156";"Mil pessoas";"156";"Mil pessoas";"146";"Mil pessoas";"158";"Mil pessoas";"157";"Mil pessoas";"152";"Mil pessoas"
"Ceará";"Não ocupados";"282";"Mil pessoas";"328";"Mil pessoas";"302";"Mil pessoas";"334";"Mil pessoas";"301";"Mil pessoas";"340";"Mil pessoas";"289";"Mil pessoas";"303";"Mil pessoas";"289";"Mil pessoas";"334";"Mil pessoas";"288";"Mil pessoas";"338";"Mil pessoas";"284";"Mil pessoas";"305";"Mil pessoas"
"Rio Grande do Norte";"Ocupados";"52";"Mil pessoas";"58";"Mil pessoas";"55";"Mil pessoas";"57";"Mil pessoas";"72";"Mil pessoas";"65";"Mil pessoas";"73";"Mil pessoas";"75";"Mil pessoas";"62";"Mil pessoas";"59";"Mil pessoas";"54";"Mil pessoas";"55";"Mil pessoas";"90";"Mil pessoas";"62";"Mil pessoas"
"Rio Grande do Norte";"Não ocupados";"115";"Mil pessoas";"146";"Mil pessoas";"121";"Mil pessoas";"148";"Mil pessoas";"137";"Mil pessoas";"132";"Mil pessoas";"122";"Mil pessoas";"136";"Mil pessoas";"130";"Mil pessoas";"137";"Mil pessoas";"139";"Mil pessoas";"125";"Mil pessoas";"118";"Mil pessoas";"136";"Mil pessoas"
"Paraíba";"Ocupados";"76";"Mil pessoas";"72";"Mil pessoas";"78";"Mil pessoas";"71";"Mil pessoas";"72";"Mil pessoas";"73";"Mil pessoas";"75";"Mil pessoas";"64";"Mil pessoas";"64";"Mil pessoas";"72";"Mil pessoas";"68";"Mil pessoas";"65";"Mil pessoas";"67";"Mil pessoas";"78";"Mil pessoas"
"Paraíba";"Não ocupados";"145";"Mil pessoas";"173";"Mil pessoas";"139";"Mil pessoas";"164";"Mil pessoas";"146";"Mil pessoas";"169";"Mil pessoas";"148";"Mil pessoas";"161";"Mil pessoas";"137";"Mil pessoas";"171";"Mil pessoas";"132";"Mil pessoas";"150";"Mil pessoas";"127";"Mil pessoas";"130";"Mil pessoas"
"Pernambuco";"Ocupados";"131";"Mil pessoas";"144";"Mil pessoas";"112";"Mil pessoas";"108";"Mil pessoas";"128";"Mil pessoas";"141";"Mil pessoas";"139";"Mil pessoas";"150";"Mil pessoas";"163";"Mil pessoas";"136";"Mil pessoas";"145";"Mil pessoas";"142";"Mil pessoas";"137";"Mil pessoas";"167";"Mil pessoas"
"Pernambuco";"Não ocupados";"308";"Mil pessoas";"347";"Mil pessoas";"346";"Mil pessoas";"369";"Mil pessoas";"321";"Mil pessoas";"344";"Mil pessoas";"305";"Mil pessoas";"358";"Mil pessoas";"298";"Mil pessoas";"324";"Mil pessoas";"301";"Mil pessoas";"323";"Mil pessoas";"313";"Mil pessoas";"351";"Mil pessoas"
"Alagoas";"Ocupados";"52";"Mil pessoas";"55";"Mil pessoas";"43";"Mil pessoas";"42";"Mil pessoas";"43";"Mil pessoas";"37";"Mil pessoas";"47";"Mil pessoas";"42";"Mil pessoas";"50";"Mil pessoas";"58";"Mil pessoas";"55";"Mil pessoas";"72";"Mil pessoas";"61";"Mil pessoas";"72";"Mil pessoas"
"Alagoas";"Não ocupados";"125";"Mil pessoas";"145";"Mil pessoas";"129";"Mil pessoas";"135";"Mil pessoas";"135";"Mil pessoas";"155";"Mil pessoas";"123";"Mil pessoas";"139";"Mil pessoas";"109";"Mil pessoas";"144";"Mil pessoas";"109";"Mil pessoas";"144";"Mil pessoas";"105";"Mil pessoas";"136";"Mil pessoas"
"Sergipe";"Ocupados";"43";"Mil pessoas";"42";"Mil pessoas";"47";"Mil pessoas";"40";"Mil pessoas";"37";"Mil pessoas";"33";"Mil pessoas";"40";"Mil pessoas";"39";"Mil pessoas";"43";"Mil pessoas";"45";"Mil pessoas";"41";"Mil pessoas";"49";"Mil pessoas";"40";"Mil pessoas";"57";"Mil pessoas"
"Sergipe";"Não ocupados";"74";"Mil pessoas";"94";"Mil pessoas";"84";"Mil pessoas";"89";"Mil pessoas";"80";"Mil pessoas";"91";"Mil pessoas";"76";"Mil pessoas";"93";"Mil pessoas";"69";"Mil pessoas";"95";"Mil pessoas";"70";"Mil pessoas";"96";"Mil pessoas";"73";"Mil pessoas";"89";"Mil pessoas"
"Bahia";"Ocupados";"320";"Mil pessoas";"335";"Mil pessoas";"298";"Mil pessoas";"310";"Mil pessoas";"331";"Mil pessoas";"295";"Mil pessoas";"289";"Mil pessoas";"287";"Mil pessoas";"321";"Mil pessoas";"250";"Mil pessoas";"247";"Mil pessoas";"284";"Mil pessoas";"264";"Mil pessoas";"291";"Mil pessoas"
"Bahia";"Não ocupados";"474";"Mil pessoas";"599";"Mil pessoas";"475";"Mil pessoas";"600";"Mil pessoas";"511";"Mil pessoas";"593";"Mil pessoas";"520";"Mil pessoas";"629";"Mil pessoas";"454";"Mil pessoas";"569";"Mil pessoas";"441";"Mil pessoas";"546";"Mil pessoas";"476";"Mil pessoas";"555";"Mil pessoas"
"Minas Gerais";"Ocupados";"487";"Mil pessoas";"455";"Mil pessoas";"428";"Mil pessoas";"453";"Mil pessoas";"442";"Mil pessoas";"488";"Mil pessoas";"486";"Mil pessoas";"505";"Mil pessoas";"477";"Mil pessoas";"469";"Mil pessoas";"418";"Mil pessoas";"489";"Mil pessoas";"489";"Mil pessoas";"568";"Mil pessoas"
"Minas Gerais";"Não ocupados";"605";"Mil pessoas";"723";"Mil pessoas";"598";"Mil pessoas";"707";"Mil pessoas";"581";"Mil pessoas";"680";"Mil pessoas";"562";"Mil pessoas";"640";"Mil pessoas";"487";"Mil pessoas";"555";"Mil pessoas";"482";"Mil pessoas";"562";"Mil pessoas";"471";"Mil pessoas";"560";"Mil pessoas"
"Espírito Santo";"Ocupados";"73";"Mil pessoas";"73";"Mil pessoas";"74";"Mil pessoas";"79";"Mil pessoas";"75";"Mil pessoas";"87";"Mil pessoas";"85";"Mil pessoas";"92";"Mil pessoas";"92";"Mil pessoas";"96";"Mil pessoas";"86";"Mil pessoas";"96";"Mil pessoas";"97";"Mil pessoas";"101";"Mil pessoas"
"Espírito Santo";"Não ocupados";"112";"Mil pessoas";"133";"Mil pessoas";"108";"Mil pessoas";"123";"Mil pessoas";"116";"Mil pessoas";"117";"Mil pessoas";"100";"Mil pessoas";"121";"Mil pessoas";"98";"Mil pessoas";"128";"Mil pessoas";"101";"Mil pessoas";"117";"Mil pessoas";"89";"Mil pessoas";"109";"Mil pessoas"
"Rio de Janeiro";"Ocupados";"244";"Mil pessoas";"208";"Mil pessoas";"275";"Mil pessoas";"220";"Mil pessoas";"295";"Mil pessoas";"287";"Mil pessoas";"310";"Mil pessoas";"302";"Mil pessoas";"373";"Mil pessoas";"409";"Mil pessoas";"378";"Mil pessoas";"411";"Mil pessoas";"376";"Mil pessoas";"451";"Mil pessoas"
"Rio de Janeiro";"Não ocupados";"597";"Mil pessoas";"614";"Mil pessoas";"596";"Mil pessoas";"620";"Mil pessoas";"565";"Mil pessoas";"642";"Mil pessoas";"542";"Mil pessoas";"597";"Mil pessoas";"530";"Mil pessoas";"626";"Mil pessoas";"518";"Mil pessoas";"633";"Mil pessoas";"498";"Mil pessoas";"598";"Mil pessoas"
"São Paulo";"Ocupados";"947";"Mil pessoas";"906";"Mil pessoas";"897";"Mil pessoas";"914";"Mil pessoas";"928";"Mil pessoas";"1049";"Mil pessoas";"983";"Mil pessoas";"1011";"Mil pessoas";"1072";"Mil pessoas";"1259";"Mil pessoas";"1046";"Mil pessoas";"1258";"Mil pessoas";"1122";"Mil pessoas";"1259";"Mil pessoas"
"São Paulo";"Não ocupados";"1303";"Mil pessoas";"1341";"Mil pessoas";"1239";"Mil pessoas";"1285";"Mil pessoas";"1209";"Mil pessoas";"1322";"Mil pessoas";"1083";"Mil pessoas";"1230";"Mil pessoas";"1023";"Mil pessoas";"1295";"Mil pessoas";"1148";"Mil pessoas";"1152";"Mil pessoas";"1068";"Mil pessoas";"1153";"Mil pessoas"
"Paraná";"Ocupados";"268";"Mil pessoas";"242";"Mil pessoas";"299";"Mil pessoas";"263";"Mil pessoas";"265";"Mil pessoas";"311";"Mil pessoas";"276";"Mil pessoas";"288";"Mil pessoas";"287";"Mil pessoas";"329";"Mil pessoas";"291";"Mil pessoas";"349";"Mil pessoas";"310";"Mil pessoas";"337";"Mil pessoas"
"Paraná";"Não ocupados";"294";"Mil pessoas";"344";"Mil pessoas";"293";"Mil pessoas";"338";"Mil pessoas";"305";"Mil pessoas";"326";"Mil pessoas";"290";"Mil pessoas";"339";"Mil pessoas";"243";"Mil pessoas";"303";"Mil pessoas";"296";"Mil pessoas";"316";"Mil pessoas";"253";"Mil pessoas";"307";"Mil pessoas"
"Santa Catarina";"Ocupados";"180";"Mil pessoas";"178";"Mil pessoas";"179";"Mil pessoas";"192";"Mil pessoas";"195";"Mil pessoas";"195";"Mil pessoas";"186";"Mil pessoas";"205";"Mil pessoas";"213";"Mil pessoas";"231";"Mil pessoas";"199";"Mil pessoas";"220";"Mil pessoas";"197";"Mil pessoas";"233";"Mil pessoas"
"Santa Catarina";"Não ocupados";"164";"Mil pessoas";"200";"Mil pessoas";"169";"Mil pessoas";"182";"Mil pessoas";"167";"Mil pessoas";"188";"Mil pessoas";"152";"Mil pessoas";"185";"Mil pessoas";"144";"Mil pessoas";"175";"Mil pessoas";"161";"Mil pessoas";"176";"Mil pessoas";"141";"Mil pessoas";"161";"Mil pessoas"
"Rio Grande do Sul";"Ocupados";"293";"Mil pessoas";"309";"Mil pessoas";"266";"Mil pessoas";"300";"Mil pessoas";"288";"Mil pessoas";"292";"Mil pessoas";"264";"Mil pessoas";"324";"Mil pessoas";"301";"Mil pessoas";"343";"Mil pessoas";"312";"Mil pessoas";"347";"Mil pessoas";"309";"Mil pessoas";"370";"Mil pessoas"
"Rio Grande do Sul";"Não ocupados";"293";"Mil pessoas";"347";"Mil pessoas";"277";"Mil pessoas";"318";"Mil pessoas";"270";"Mil pessoas";"323";"Mil pessoas";"287";"Mil pessoas";"336";"Mil pessoas";"258";"Mil pessoas";"287";"Mil pessoas";"243";"Mil pessoas";"261";"Mil pessoas";"242";"Mil pessoas";"284";"Mil pessoas"
"Mato Grosso do Sul";"Ocupados";"76";"Mil pessoas";"82";"Mil pessoas";"75";"Mil pessoas";"66";"Mil pessoas";"65";"Mil pessoas";"67";"Mil pessoas";"73";"Mil pessoas";"70";"Mil pessoas";"72";"Mil pessoas";"83";"Mil pessoas";"70";"Mil pessoas";"91";"Mil pessoas";"82";"Mil pessoas";"90";"Mil pessoas"
"Mato Grosso do Sul";"Não ocupados";"67";"Mil pessoas";"84";"Mil pessoas";"67";"Mil pessoas";"88";"Mil pessoas";"75";"Mil pessoas";"89";"Mil pessoas";"67";"Mil pessoas";"80";"Mil pessoas";"63";"Mil pessoas";"85";"Mil pessoas";"62";"Mil pessoas";"85";"Mil pessoas";"64";"Mil pessoas";"86";"Mil pessoas"
"Mato Grosso";"Ocupados";"86";"Mil pessoas";"89";"Mil pessoas";"94";"Mil pessoas";"92";"Mil pessoas";"101";"Mil pessoas";"96";"Mil pessoas";"100";"Mil pessoas";"96";"Mil pessoas";"89";"Mil pessoas";"105";"Mil pessoas";"98";"Mil pessoas";"106";"Mil pessoas";"104";"Mil pessoas";"113";"Mil pessoas"
"Mato Grosso";"Não ocupados";"86";"Mil pessoas";"125";"Mil pessoas";"81";"Mil pessoas";"119";"Mil pessoas";"89";"Mil pessoas";"121";"Mil pessoas";"74";"Mil pessoas";"108";"Mil pessoas";"70";"Mil pessoas";"92";"Mil pessoas";"78";"Mil pessoas";"111";"Mil pessoas";"66";"Mil pessoas";"96";"Mil pessoas"
"Goiás";"Ocupados";"164";"Mil pessoas";"147";"Mil pessoas";"168";"Mil pessoas";"139";"Mil pessoas";"175";"Mil pessoas";"173";"Mil pessoas";"170";"Mil pessoas";"175";"Mil pessoas";"183";"Mil pessoas";"197";"Mil pessoas";"176";"Mil pessoas";"206";"Mil pessoas";"176";"Mil pessoas";"215";"Mil pessoas"
"Goiás";"Não ocupados";"187";"Mil pessoas";"225";"Mil pessoas";"188";"Mil pessoas";"208";"Mil pessoas";"172";"Mil pessoas";"234";"Mil pessoas";"201";"Mil pessoas";"233";"Mil pessoas";"169";"Mil pessoas";"221";"Mil pessoas";"164";"Mil pessoas";"185";"Mil pessoas";"171";"Mil pessoas";"228";"Mil pessoas"
"Distrito Federal";"Ocupados";"80";"Mil pessoas";"72";"Mil pessoas";"74";"Mil pessoas";"73";"Mil pessoas";"80";"Mil pessoas";"78";"Mil pessoas";"95";"Mil pessoas";"95";"Mil pessoas";"112";"Mil pessoas";"121";"Mil pessoas";"116";"Mil pessoas";"123";"Mil pessoas";"120";"Mil pessoas";"111";"Mil pessoas"
"Distrito Federal";"Não ocupados";"115";"Mil pessoas";"135";"Mil pessoas";"110";"Mil pessoas";"146";"Mil pessoas";"112";"Mil pessoas";"126";"Mil pessoas";"118";"Mil pessoas";"131";"Mil pessoas";"119";"Mil pessoas";"125";"Mil pessoas";"99";"Mil pessoas";"130";"Mil pessoas";"93";"Mil pessoas";"114";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre"

"Notas"
"A categoria Não ocupados para ""Situação de ocupação na semana de referência"" inclui as pessoas desocupadas e as pessoas fora da força de trabalho.
A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
