"Tabela 6735 - Domicílios e Moradores com banheiro, sanitário ou buraco para dejeções, por situação do domicílio e tipo de esgotamento sanitário (de 2016 até 2018)"
"Variável - Domicílios com banheiro, sanitário ou buraco para dejeções"
"Unidade da Federação";"Tipo de esgotamento sanitário";"Ano x Situação do domicílio"
"Unidade da Federação";"Tipo de esgotamento sanitário";"2016";;;;"2017";;;;"2018"
"Unidade da Federação";"Tipo de esgotamento sanitário";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Minas Gerais";"Outro tipo";"113";"Mil unidades";"179";"Mil unidades";"80";"Mil unidades";"169";"Mil unidades";"91";"Mil unidades";"172";"Mil unidades"
"Espírito Santo";"Total";"1123";"Mil unidades";"188";"Mil unidades";"1130";"Mil unidades";"180";"Mil unidades";"1165";"Mil unidades";"184";"Mil unidades"
"Espírito Santo";"Rede geral, rede pluvial ou fossa ligada à rede";"1024";"Mil unidades";"14";"Mil unidades";"1018";"Mil unidades";"6";"Mil unidades";"1051";"Mil unidades";"9";"Mil unidades"
"Espírito Santo";"Fossa não ligada à rede";"73";"Mil unidades";"141";"Mil unidades";"87";"Mil unidades";"148";"Mil unidades";"86";"Mil unidades";"150";"Mil unidades"
"Espírito Santo";"Outro tipo";"26";"Mil unidades";"33";"Mil unidades";"26";"Mil unidades";"27";"Mil unidades";"28";"Mil unidades";"25";"Mil unidades"
"Rio de Janeiro";"Total";"5947";"Mil unidades";"192";"Mil unidades";"5985";"Mil unidades";"187";"Mil unidades";"6018";"Mil unidades";"195";"Mil unidades"
"Rio de Janeiro";"Rede geral, rede pluvial ou fossa ligada à rede";"5349";"Mil unidades";"48";"Mil unidades";"5343";"Mil unidades";"45";"Mil unidades";"5430";"Mil unidades";"51";"Mil unidades"
"Rio de Janeiro";"Fossa não ligada à rede";"456";"Mil unidades";"127";"Mil unidades";"511";"Mil unidades";"116";"Mil unidades";"427";"Mil unidades";"118";"Mil unidades"
"Rio de Janeiro";"Outro tipo";"142";"Mil unidades";"17";"Mil unidades";"131";"Mil unidades";"27";"Mil unidades";"161";"Mil unidades";"26";"Mil unidades"
"São Paulo";"Total";"14291";"Mil unidades";"628";"Mil unidades";"14345";"Mil unidades";"622";"Mil unidades";"14736";"Mil unidades";"617";"Mil unidades"
"São Paulo";"Rede geral, rede pluvial ou fossa ligada à rede";"13851";"Mil unidades";"190";"Mil unidades";"13789";"Mil unidades";"138";"Mil unidades";"14100";"Mil unidades";"102";"Mil unidades"
"São Paulo";"Fossa não ligada à rede";"363";"Mil unidades";"415";"Mil unidades";"422";"Mil unidades";"449";"Mil unidades";"460";"Mil unidades";"490";"Mil unidades"
"São Paulo";"Outro tipo";"77";"Mil unidades";"23";"Mil unidades";"134";"Mil unidades";"35";"Mil unidades";"176";"Mil unidades";"26";"Mil unidades"
"Paraná";"Total";"3315";"Mil unidades";"458";"Mil unidades";"3336";"Mil unidades";"473";"Mil unidades";"3380";"Mil unidades";"499";"Mil unidades"
"Paraná";"Rede geral, rede pluvial ou fossa ligada à rede";"2558";"Mil unidades";"61";"Mil unidades";"2639";"Mil unidades";"48";"Mil unidades";"2629";"Mil unidades";"58";"Mil unidades"
"Paraná";"Fossa não ligada à rede";"737";"Mil unidades";"385";"Mil unidades";"673";"Mil unidades";"410";"Mil unidades";"727";"Mil unidades";"427";"Mil unidades"
"Paraná";"Outro tipo";"19";"Mil unidades";"13";"Mil unidades";"24";"Mil unidades";"15";"Mil unidades";"24";"Mil unidades";"14";"Mil unidades"
"Santa Catarina";"Total";"2024";"Mil unidades";"355";"Mil unidades";"2105";"Mil unidades";"353";"Mil unidades";"2194";"Mil unidades";"358";"Mil unidades"
"Santa Catarina";"Rede geral, rede pluvial ou fossa ligada à rede";"1235";"Mil unidades";"37";"Mil unidades";"1370";"Mil unidades";"41";"Mil unidades";"1417";"Mil unidades";"40";"Mil unidades"
"Santa Catarina";"Fossa não ligada à rede";"765";"Mil unidades";"305";"Mil unidades";"718";"Mil unidades";"299";"Mil unidades";"760";"Mil unidades";"309";"Mil unidades"
"Santa Catarina";"Outro tipo";"25";"Mil unidades";"13";"Mil unidades";"17";"Mil unidades";"13";"Mil unidades";"16";"Mil unidades";"9";"Mil unidades"
"Rio Grande do Sul";"Total";"3438";"Mil unidades";"530";"Mil unidades";"3491";"Mil unidades";"533";"Mil unidades";"3527";"Mil unidades";"522";"Mil unidades"
"Rio Grande do Sul";"Rede geral, rede pluvial ou fossa ligada à rede";"2628";"Mil unidades";"29";"Mil unidades";"2643";"Mil unidades";"29";"Mil unidades";"2788";"Mil unidades";"30";"Mil unidades"
"Rio Grande do Sul";"Fossa não ligada à rede";"764";"Mil unidades";"477";"Mil unidades";"803";"Mil unidades";"487";"Mil unidades";"694";"Mil unidades";"474";"Mil unidades"
"Rio Grande do Sul";"Outro tipo";"45";"Mil unidades";"24";"Mil unidades";"45";"Mil unidades";"17";"Mil unidades";"45";"Mil unidades";"18";"Mil unidades"
"Mato Grosso do Sul";"Total";"775";"Mil unidades";"90";"Mil unidades";"791";"Mil unidades";"87";"Mil unidades";"806";"Mil unidades";"91";"Mil unidades"
"Mato Grosso do Sul";"Rede geral, rede pluvial ou fossa ligada à rede";"361";"Mil unidades";"2";"Mil unidades";"361";"Mil unidades";"0";"Mil unidades";"429";"Mil unidades";"3";"Mil unidades"
"Mato Grosso do Sul";"Fossa não ligada à rede";"413";"Mil unidades";"85";"Mil unidades";"429";"Mil unidades";"86";"Mil unidades";"377";"Mil unidades";"87";"Mil unidades"
"Mato Grosso do Sul";"Outro tipo";"0";"Mil unidades";"3";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades"
"Mato Grosso";"Total";"924";"Mil unidades";"165";"Mil unidades";"949";"Mil unidades";"165";"Mil unidades";"973";"Mil unidades";"176";"Mil unidades"
"Mato Grosso";"Rede geral, rede pluvial ou fossa ligada à rede";"399";"Mil unidades";"2";"Mil unidades";"328";"Mil unidades";"2";"Mil unidades";"401";"Mil unidades";"1";"Mil unidades"
"Mato Grosso";"Fossa não ligada à rede";"522";"Mil unidades";"161";"Mil unidades";"615";"Mil unidades";"159";"Mil unidades";"569";"Mil unidades";"172";"Mil unidades"
"Mato Grosso";"Outro tipo";"3";"Mil unidades";"2";"Mil unidades";"5";"Mil unidades";"3";"Mil unidades";"3";"Mil unidades";"3";"Mil unidades"
"Goiás";"Total";"2006";"Mil unidades";"196";"Mil unidades";"2075";"Mil unidades";"202";"Mil unidades";"2128";"Mil unidades";"199";"Mil unidades"
"Goiás";"Rede geral, rede pluvial ou fossa ligada à rede";"1173";"Mil unidades";"5";"Mil unidades";"1199";"Mil unidades";"1";"Mil unidades";"1267";"Mil unidades";"3";"Mil unidades"
"Goiás";"Fossa não ligada à rede";"833";"Mil unidades";"189";"Mil unidades";"876";"Mil unidades";"197";"Mil unidades";"860";"Mil unidades";"193";"Mil unidades"
"Goiás";"Outro tipo";"0";"Mil unidades";"2";"Mil unidades";"0";"Mil unidades";"4";"Mil unidades";"1";"Mil unidades";"3";"Mil unidades"
"Distrito Federal";"Total";"879";"Mil unidades";"57";"Mil unidades";"901";"Mil unidades";"56";"Mil unidades";"905";"Mil unidades";"60";"Mil unidades"
"Distrito Federal";"Rede geral, rede pluvial ou fossa ligada à rede";"799";"Mil unidades";"27";"Mil unidades";"821";"Mil unidades";"6";"Mil unidades";"827";"Mil unidades";"14";"Mil unidades"
"Distrito Federal";"Fossa não ligada à rede";"80";"Mil unidades";"29";"Mil unidades";"79";"Mil unidades";"49";"Mil unidades";"78";"Mil unidades";"45";"Mil unidades"
"Distrito Federal";"Outro tipo";"-";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"-";"Mil unidades";"1";"Mil unidades"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 1ª visita"

"Notas"
"A categoria Outro tipo para ""Tipo de esgotamento sanitário"" inclui vala, rio, lago ou mar e outras formas de escoadouro.
Por motivos de mudança na captação das informações no questionário, os dados a partir de 2019 estão disponibilizados na tabela 7192.
A partir de 2025, as estimativas deste tema passaram a ser divulgadas com base na nova ponderação da pesquisa, conforme a Nota Técnica 02/2025. Consequentemente, a série histórica dos indicadores foi atualizada.
A classificação ""Situação do domicílio"" está disponível apenas para os níveis territoriais Brasil, Grande Região e Unidade da Federação."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
