"Tabela 7221 - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional, por sexo e principal motivo de atualmente não frequentar"
"Variável - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Ano x Sexo"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Sul";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"18";"Mil pessoas";"25";"Mil pessoas";"16";"Mil pessoas";"15";"Mil pessoas";"14";"Mil pessoas";"17";"Mil pessoas";"21";"Mil pessoas";"14";"Mil pessoas"
"Sul";"Por já ter concluído o nível de estudo que desejava";"97";"Mil pessoas";"85";"Mil pessoas";"139";"Mil pessoas";"113";"Mil pessoas";"143";"Mil pessoas";"122";"Mil pessoas";"149";"Mil pessoas";"117";"Mil pessoas"
"Sul";"Não tem interesse";"137";"Mil pessoas";"91";"Mil pessoas";"136";"Mil pessoas";"111";"Mil pessoas";"141";"Mil pessoas";"102";"Mil pessoas";"144";"Mil pessoas";"107";"Mil pessoas"
"Sul";"Outro motivo";"36";"Mil pessoas";"44";"Mil pessoas";"39";"Mil pessoas";"44";"Mil pessoas";"39";"Mil pessoas";"42";"Mil pessoas";"45";"Mil pessoas";"48";"Mil pessoas"
"Centro-Oeste";"Precisa trabalhar";"288";"Mil pessoas";"203";"Mil pessoas";"348";"Mil pessoas";"218";"Mil pessoas";"365";"Mil pessoas";"236";"Mil pessoas";"399";"Mil pessoas";"289";"Mil pessoas"
"Centro-Oeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"16";"Mil pessoas";"24";"Mil pessoas";"19";"Mil pessoas";"17";"Mil pessoas";"13";"Mil pessoas";"20";"Mil pessoas";"16";"Mil pessoas";"21";"Mil pessoas"
"Centro-Oeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"87";"Mil pessoas";"113";"Mil pessoas";"66";"Mil pessoas";"90";"Mil pessoas";"53";"Mil pessoas";"75";"Mil pessoas";"37";"Mil pessoas";"46";"Mil pessoas"
"Centro-Oeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"0";"Mil pessoas";"67";"Mil pessoas";"3";"Mil pessoas";"82";"Mil pessoas";"2";"Mil pessoas";"69";"Mil pessoas";"4";"Mil pessoas";"89";"Mil pessoas"
"Centro-Oeste";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"16";"Mil pessoas";"17";"Mil pessoas";"17";"Mil pessoas";"16";"Mil pessoas";"11";"Mil pessoas";"19";"Mil pessoas";"11";"Mil pessoas";"13";"Mil pessoas"
"Centro-Oeste";"Por já ter concluído o nível de estudo que desejava";"38";"Mil pessoas";"24";"Mil pessoas";"57";"Mil pessoas";"47";"Mil pessoas";"62";"Mil pessoas";"57";"Mil pessoas";"61";"Mil pessoas";"56";"Mil pessoas"
"Centro-Oeste";"Não tem interesse";"74";"Mil pessoas";"45";"Mil pessoas";"94";"Mil pessoas";"59";"Mil pessoas";"94";"Mil pessoas";"61";"Mil pessoas";"106";"Mil pessoas";"69";"Mil pessoas"
"Centro-Oeste";"Outro motivo";"22";"Mil pessoas";"27";"Mil pessoas";"22";"Mil pessoas";"38";"Mil pessoas";"21";"Mil pessoas";"32";"Mil pessoas";"22";"Mil pessoas";"36";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre"

"Notas"
"A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
