Unidade da Federação	Grupo de idade	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo
Maranhão	25 anos ou mais	394	359	407	363	406	352	384	354	335	292	325	288	335	276
Maranhão	40 anos ou mais	315	313	328	320	333	311	314	317	285	267	286	270	300	260
Maranhão	60 anos ou mais	159	183	164	189	169	182	163	191	137	165	143	166	159	159
Piauí	15 anos ou mais	221	177	217	170	207	179	206	169	205	178	188	157	196	163
Piauí	18 anos ou mais	220	177	216	170	206	179	205	169	204	177	187	155	195	161
Piauí	25 anos ou mais	212	174	210	170	202	178	201	168	201	175	182	154	191	161
Piauí	40 anos ou mais	176	152	177	154	169	160	169	155	178	165	162	145	171	151
Piauí	60 anos ou mais	88	93	88	94	83	97	91	99	91	99	76	87	77	92
Ceará	15 anos ou mais	551	424	515	419	475	398	506	393	496	396	498	349	479	388
Ceará	18 anos ou mais	541	422	510	419	474	398	503	392	493	395	497	348	477	388
Ceará	25 anos ou mais	530	418	499	414	463	394	493	386	485	391	492	347	472	387
Ceará	40 anos ou mais	435	372	424	374	400	363	432	363	433	368	452	330	432	366
Ceará	60 anos ou mais	203	210	203	215	203	224	216	213	219	232	248	208	236	236
Rio Grande do Norte	15 anos ou mais	211	157	194	152	181	149	197	148	173	125	189	124	186	116
Rio Grande do Norte	18 anos ou mais	209	156	193	151	179	148	197	148	173	125	188	124	185	116
Rio Grande do Norte	25 anos ou mais	204	154	191	150	178	146	191	147	168	125	185	124	182	116
Rio Grande do Norte	40 anos ou mais	167	138	160	135	151	128	168	136	151	119	163	119	161	108
Rio Grande do Norte	60 anos ou mais	81	79	76	79	73	78	81	82	81	73	85	80	86	68
Paraíba	15 anos ou mais	248	214	262	216	270	197	264	204	244	187	244	173	235	174
Paraíba	18 anos ou mais	247	213	260	215	270	196	263	204	244	186	244	172	235	174
Paraíba	25 anos ou mais	242	209	255	212	262	194	258	203	241	183	240	170	231	172
Paraíba	40 anos ou mais	195	181	208	190	217	171	221	180	217	171	215	159	206	164
Paraíba	60 anos ou mais	92	111	92	109	101	103	106	102	102	105	98	94	102	101
Pernambuco	15 anos ou mais	440	428	468	457	416	396	410	406	430	403	402	376	415	362
Pernambuco	18 anos ou mais	435	426	462	455	412	395	405	406	427	402	401	376	415	361
Pernambuco	25 anos ou mais	418	422	446	449	405	389	394	400	419	398	390	373	409	358
Pernambuco	40 anos ou mais	339	382	364	404	330	354	331	367	365	369	335	348	359	338
Pernambuco	60 anos ou mais	171	237	183	236	152	215	170	227	184	236	179	220	189	213
Alagoas	15 anos ou mais	224	227	222	212	209	202	204	203	190	180	186	180	190	183
Alagoas	18 anos ou mais	221	226	220	211	206	201	202	203	189	179	186	179	190	183
Alagoas	25 anos ou mais	214	223	212	207	200	197	195	199	184	178	182	177	183	182
Alagoas	40 anos ou mais	163	190	166	178	162	173	164	176	151	160	155	162	159	170
Alagoas	60 anos ou mais	71	98	78	91	79	93	79	95	70	84	73	86	77	97
Sergipe	15 anos ou mais	122	115	127	110	116	108	119	105	123	92	109	96	100	102
Sergipe	18 anos ou mais	121	114	127	110	115	107	118	104	122	92	108	96	99	102
Sergipe	25 anos ou mais	116	113	123	108	113	105	115	103	121	91	105	94	96	101
Sergipe	40 anos ou mais	91	100	100	96	91	95	96	91	101	86	94	90	84	93
Sergipe	60 anos ou mais	43	53	49	55	43	51	43	53	47	51	46	53	41	55
Bahia	15 anos ou mais	688	667	676	680	693	671	714	673	616	598	620	590	590	575
Bahia	18 anos ou mais	682	666	671	678	684	671	708	672	610	595	617	589	589	574
Bahia	25 anos ou mais	669	658	647	669	666	661	681	668	595	590	607	582	581	571
Bahia	40 anos ou mais	541	602	546	606	565	605	593	620	528	561	554	565	533	556
Bahia	60 anos ou mais	275	381	269	368	275	381	328	399	265	373	301	385	280	399
Minas Gerais	15 anos ou mais	457	497	433	500	408	503	417	437	384	438	397	401	361	402
Minas Gerais	18 anos ou mais	456	496	431	499	405	501	416	437	382	437	394	396	361	401
Minas Gerais	25 anos ou mais	443	491	414	492	391	493	401	429	372	434	387	394	357	398
Minas Gerais	40 anos ou mais	389	466	364	463	345	465	356	407	329	415	349	379	325	390
Minas Gerais	60 anos ou mais	223	323	218	338	200	323	206	301	199	304	226	304	192	302
Espírito Santo	15 anos ou mais	75	97	70	86	64	90	68	82	70	86	67	80	60	69
Espírito Santo	18 anos ou mais	75	97	70	86	64	90	68	81	70	86	67	80	59	69
Espírito Santo	25 anos ou mais	73	95	69	86	63	89	67	81	68	85	66	79	58	69
Espírito Santo	40 anos ou mais	64	91	61	82	58	83	61	77	61	82	62	76	52	67
Espírito Santo	60 anos ou mais	41	63	35	58	37	61	37	56	41	60	37	54	36	53
Rio de Janeiro	15 anos ou mais	148	194	153	183	134	177	126	147	143	170	132	158	134	154
Rio de Janeiro	18 anos ou mais	147	193	152	182	133	176	124	147	143	169	130	156	133	154
Rio de Janeiro	25 anos ou mais	142	190	147	179	128	171	121	143	138	167	127	153	129	153
Rio de Janeiro	40 anos ou mais	121	177	132	171	111	159	108	138	121	156	115	143	110	141
Rio de Janeiro	60 anos ou mais	66	130	68	118	67	119	68	101	74	119	69	107	68	104
São Paulo	15 anos ou mais	359	583	339	530	358	523	376	515	357	473	350	544	377	498
São Paulo	18 anos ou mais	355	582	335	528	357	522	375	512	353	471	343	540	373	498
São Paulo	25 anos ou mais	339	575	325	523	345	514	363	503	345	464	334	525	353	493
São Paulo	40 anos ou mais	289	546	270	497	315	485	317	476	307	444	291	490	312	461
São Paulo	60 anos ou mais	180	400	141	358	191	352	191	347	191	339	164	377	186	365
Paraná	15 anos ou mais	161	198	144	232	166	238	153	220	144	221	135	189	131	203
Paraná	18 anos ou mais	160	197	141	232	164	236	149	220	143	221	133	188	130	203
Paraná	25 anos ou mais	152	196	138	228	161	234	145	217	138	221	131	187	126	200
Paraná	40 anos ou mais	135	186	123	218	148	224	129	205	128	212	117	179	116	189
Paraná	60 anos ou mais	84	134	77	163	89	162	79	148	89	159	80	137	80	142
Santa Catarina	15 anos ou mais	65	81	58	75	58	70	55	66	57	71	51	67	57	62
Santa Catarina	18 anos ou mais	65	80	58	75	58	70	55	66	55	71	51	66	56	62
Santa Catarina	25 anos ou mais	62	80	56	74	56	69	53	65	53	69	50	65	55	61
Santa Catarina	40 anos ou mais	52	73	49	70	49	65	49	60	46	63	46	61	49	58
Santa Catarina	60 anos ou mais	35	49	30	47	30	48	30	44	26	44	28	43	29	43
Rio Grande do Sul	15 anos ou mais	137	137	116	139	118	135	108	116	108	124	117	139	104	118
Rio Grande do Sul	18 anos ou mais	135	136	114	138	117	134	107	115	105	124	115	139	102	118
Rio Grande do Sul	25 anos ou mais	130	135	110	137	112	132	101	114	101	122	111	138	98	118
Rio Grande do Sul	40 anos ou mais	108	127	96	126	99	123	91	108	91	115	101	128	86	108
Rio Grande do Sul	60 anos ou mais	70	94	59	96	61	95	57	80	63	87	68	95	52	81
Mato Grosso do Sul	15 anos ou mais	54	59	46	47	41	51	46	49	42	43	40	46	41	42
Mato Grosso do Sul	18 anos ou mais	53	59	46	47	40	51	45	48	42	43	40	46	41	42
Mato Grosso do Sul	25 anos ou mais	52	58	45	47	39	51	44	48	40	42	39	45	40	41
Mato Grosso do Sul	40 anos ou mais	48	53	42	46	35	48	37	45	36	41	34	44	37	40
Mato Grosso do Sul	60 anos ou mais	25	35	24	29	21	32	20	29	21	28	21	30	23	28
Mato Grosso	15 anos ou mais	68	79	74	78	83	83	72	75	64	70	64	61	52	52
Mato Grosso	18 anos ou mais	68	79	74	78	83	83	71	74	63	70	64	61	52	51
Mato Grosso	25 anos ou mais	66	77	73	77	82	82	69	74	62	70	63	60	51	51
Mato Grosso	40 anos ou mais	60	73	66	72	72	77	62	71	55	65	58	56	47	49
Mato Grosso	60 anos ou mais	34	46	35	47	41	50	37	51	33	41	36	37	30	33
Goiás	15 anos ou mais	158	147	137	148	143	136	128	124	134	126	122	112	102	111
Goiás	18 anos ou mais	157	147	137	148	142	135	128	124	134	126	122	112	102	111
Goiás	25 anos ou mais	154	146	135	147	140	133	124	123	132	125	120	111	101	111
Goiás	40 anos ou mais	135	137	117	136	124	128	107	117	124	122	108	108	94	110
Goiás	60 anos ou mais	85	90	77	89	70	89	65	82	65	87	68	78	56	87
Distrito Federal	15 anos ou mais	26	28	26	28	34	34	26	34	20	26	18	24	18	27
Distrito Federal	18 anos ou mais	25	28	26	27	34	34	26	34	20	26	18	24	18	27
Distrito Federal	25 anos ou mais	24	28	25	27	33	33	25	34	20	26	18	24	17	27
Distrito Federal	40 anos ou mais	22	25	23	25	29	32	21	31	17	24	16	23	16	26
Distrito Federal	60 anos ou mais	12	16	14	18	16	22	9	22	9	18	9	17	11	19
