Unidade da Federação	Nível de instrução	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça
Piauí	Ensino fundamental incompleto ou equivalente	130	664	142	640	105	688	118	694	123	597	119	576	120	630
Piauí	Ensino fundamental completo ou equivalente	29	114	29	121	23	127	25	109	28	98	23	102	29	105
Piauí	Ensino médio incompleto ou equivalente	15	79	13	78	14	81	13	86	16	88	13	86	15	98
Piauí	Ensino médio completo ou equivalente	78	297	88	309	81	308	73	331	91	354	93	399	96	411
Piauí	Ensino superior incompleto ou equivalente	12	36	11	33	9	42	13	48	12	38	17	41	19	55
Piauí	Superior completo	71	135	71	150	73	152	66	170	105	216	95	232	105	216
Ceará	Sem instrução	155	623	152	581	134	541	139	509	161	544	152	548	150	533
Ceará	Ensino fundamental incompleto ou equivalente	417	1418	424	1453	393	1439	410	1461	431	1348	375	1361	357	1389
Ceará	Ensino fundamental completo ou equivalente	112	399	119	341	115	350	104	342	128	353	102	328	95	367
Ceará	Ensino médio incompleto ou equivalente	59	166	63	192	57	216	61	212	80	227	69	282	60	286
Ceará	Ensino médio completo ou equivalente	364	848	385	941	407	955	386	1036	435	1224	468	1231	424	1296
Ceará	Ensino superior incompleto ou equivalente	48	97	65	106	70	124	70	122	83	118	64	135	75	132
Ceará	Superior completo	224	240	242	288	266	353	301	362	345	409	322	463	379	457
Rio Grande do Norte	Sem instrução	69	150	54	131	48	110	52	133	63	138	63	157	72	135
Rio Grande do Norte	Ensino fundamental incompleto ou equivalente	225	552	250	580	256	584	244	568	219	533	222	507	224	463
Rio Grande do Norte	Ensino fundamental completo ou equivalente	50	80	43	84	45	81	45	89	49	110	45	107	41	100
Rio Grande do Norte	Ensino médio incompleto ou equivalente	37	81	33	84	29	66	43	77	41	105	44	94	37	90
Rio Grande do Norte	Ensino médio completo ou equivalente	213	307	207	325	203	327	196	326	241	379	258	411	273	415
Rio Grande do Norte	Ensino superior incompleto ou equivalente	25	39	34	33	22	52	37	42	44	38	37	43	33	55
Rio Grande do Norte	Superior completo	125	124	127	124	156	133	171	164	184	164	186	169	192	219
Paraíba	Sem instrução	87	233	84	224	84	237	76	224	76	240	84	232	71	208
Paraíba	Ensino fundamental incompleto ou equivalente	280	656	243	682	269	667	271	682	266	657	241	638	247	640
Paraíba	Ensino fundamental completo ou equivalente	42	104	42	107	46	84	43	96	40	110	49	104	55	99
Paraíba	Ensino médio incompleto ou equivalente	30	69	29	76	29	66	29	67	33	94	42	95	41	98
Paraíba	Ensino médio completo ou equivalente	171	311	171	327	185	353	166	354	205	402	211	421	224	427
Paraíba	Ensino superior incompleto ou equivalente	27	43	33	43	32	44	28	50	26	45	32	43	33	47
Paraíba	Superior completo	141	120	141	159	132	162	144	177	154	164	170	170	191	198
Pernambuco	Sem instrução	179	509	160	533	153	438	145	440	201	454	180	406	155	391
Pernambuco	Ensino fundamental incompleto ou equivalente	502	1511	476	1524	508	1455	510	1424	514	1363	552	1345	543	1396
Pernambuco	Ensino fundamental completo ou equivalente	113	282	99	272	108	257	107	272	113	308	125	283	114	277
Pernambuco	Ensino médio incompleto ou equivalente	66	168	60	182	63	189	69	182	74	191	75	186	80	195
Pernambuco	Ensino médio completo ou equivalente	435	1004	444	1059	498	1070	520	1085	601	1240	653	1259	606	1322
Pernambuco	Ensino superior incompleto ou equivalente	69	79	55	94	80	114	80	119	78	87	69	109	82	116
Pernambuco	Superior completo	340	326	361	308	387	390	406	389	374	397	441	447	428	484
Alagoas	Sem instrução	60	271	64	258	52	254	54	240	52	198	47	205	51	210
Alagoas	Ensino fundamental incompleto ou equivalente	137	581	145	605	137	600	146	581	160	541	148	508	143	500
Alagoas	Ensino fundamental completo ou equivalente	28	101	30	96	25	102	30	106	33	95	30	105	32	96
Alagoas	Ensino médio incompleto ou equivalente	17	60	16	63	17	63	19	67	22	82	24	80	19	78
Alagoas	Ensino médio completo ou equivalente	95	273	94	318	110	316	111	311	130	341	135	370	143	391
Alagoas	Ensino superior incompleto ou equivalente	15	38	15	35	14	30	16	28	22	50	22	54	23	49
Alagoas	Superior completo	69	85	67	92	90	106	100	129	99	156	103	159	118	169
Sergipe	Sem instrução	33	142	26	126	25	124	22	105	30	112	30	102	27	103
Sergipe	Ensino fundamental incompleto ou equivalente	98	391	94	421	102	404	111	423	100	407	108	361	94	393
Sergipe	Ensino fundamental completo ou equivalente	19	65	15	77	13	72	16	65	22	69	22	69	24	72
Sergipe	Ensino médio incompleto ou equivalente	10	40	10	55	13	52	8	52	12	60	13	64	16	59
Sergipe	Ensino médio completo ou equivalente	66	239	64	243	64	242	72	266	103	274	78	305	95	315
Sergipe	Ensino superior incompleto ou equivalente	8	32	12	37	11	33	15	35	15	47	13	39	14	38
Sergipe	Superior completo	51	102	49	99	55	102	61	109	64	119	69	151	73	154
Bahia	Sem instrução	211	965	209	990	206	1012	176	960	239	891	244	956	186	885
Bahia	Ensino fundamental incompleto ou equivalente	546	2607	514	2659	478	2669	501	2649	489	2422	496	2399	496	2277
Bahia	Ensino fundamental completo ou equivalente	78	394	82	389	71	412	75	414	90	416	89	458	99	454
Bahia	Ensino médio incompleto ou equivalente	64	368	54	372	63	376	50	385	87	451	63	391	75	471
Bahia	Ensino médio completo ou equivalente	418	1893	423	1909	436	1973	421	2050	467	2429	527	2529	514	2581
Bahia	Ensino superior incompleto ou equivalente	50	215	55	196	57	255	47	235	51	211	74	212	70	220
Bahia	Superior completo	246	547	292	565	289	618	293	711	277	831	348	798	388	927
Minas Gerais	Sem instrução	199	468	194	409	188	425	168	433	164	402	196	436	171	385
Minas Gerais	Ensino fundamental incompleto ou equivalente	1832	3279	1821	3333	1791	3305	1790	3293	1747	3102	1712	2929	1615	2893
Minas Gerais	Ensino fundamental completo ou equivalente	453	740	434	764	413	705	440	715	426	668	430	658	426	691
Minas Gerais	Ensino médio incompleto ou equivalente	211	365	204	344	210	374	185	445	250	458	228	477	240	497
Minas Gerais	Ensino médio completo ou equivalente	1483	1741	1397	1933	1421	2044	1486	2048	1633	2339	1622	2496	1633	2593
Minas Gerais	Ensino superior incompleto ou equivalente	243	221	215	255	245	233	249	274	236	268	242	296	239	320
Minas Gerais	Superior completo	1203	696	1083	713	1288	791	1236	892	1471	1004	1530	1054	1645	1129
Espírito Santo	Sem instrução	65	109	49	100	46	91	37	84	41	96	39	105	36	78
Espírito Santo	Ensino fundamental incompleto ou equivalente	310	490	309	507	298	513	278	550	274	509	281	501	260	491
Espírito Santo	Ensino fundamental completo ou equivalente	86	130	83	152	72	137	66	129	81	142	78	134	72	147
Espírito Santo	Ensino médio incompleto ou equivalente	39	66	30	75	37	90	35	99	39	101	33	98	30	102
Espírito Santo	Ensino médio completo ou equivalente	267	412	267	433	273	428	255	455	263	534	279	528	297	573
Espírito Santo	Ensino superior incompleto ou equivalente	39	45	37	45	44	56	47	61	41	64	43	67	44	60
Espírito Santo	Superior completo	220	135	234	160	218	163	233	183	267	232	299	246	321	243
Rio de Janeiro	Sem instrução	162	276	161	275	151	242	147	217	150	261	138	244	140	198
Rio de Janeiro	Ensino fundamental incompleto ou equivalente	1063	1922	1028	1945	1030	1794	991	1750	900	1550	875	1491	891	1574
Rio de Janeiro	Ensino fundamental completo ou equivalente	513	787	424	758	428	656	445	641	404	637	345	560	337	571
Rio de Janeiro	Ensino médio incompleto ou equivalente	165	243	160	339	182	345	192	353	186	371	200	375	176	343
Rio de Janeiro	Ensino médio completo ou equivalente	1642	1979	1578	2094	1658	2132	1621	2225	1688	2332	1746	2388	1700	2563
Rio de Janeiro	Ensino superior incompleto ou equivalente	234	173	260	229	317	283	331	294	364	325	375	321	330	328
Rio de Janeiro	Superior completo	1452	525	1438	618	1579	740	1681	806	1963	965	2075	973	2061	1067
São Paulo	Sem instrução	558	477	438	370	382	457	366	441	443	449	434	544	439	539
São Paulo	Ensino fundamental incompleto ou equivalente	4299	3266	4146	3331	3844	3574	3852	3533	3576	3229	3520	3361	3348	3326
São Paulo	Ensino fundamental completo ou equivalente	1680	1207	1512	1090	1378	1083	1394	1127	1333	1161	1376	1121	1274	1204
São Paulo	Ensino médio incompleto ou equivalente	503	434	685	608	596	709	562	741	719	658	672	795	618	765
São Paulo	Ensino médio completo ou equivalente	5776	3116	5710	3580	5423	3820	5392	4041	5790	4623	5887	4720	5912	5089
São Paulo	Ensino superior incompleto ou equivalente	792	312	820	355	925	441	939	431	882	437	862	473	820	446
São Paulo	Superior completo	5008	868	5049	1047	4987	1125	5260	1374	5980	1649	5927	1763	6167	1953
Paraná	Sem instrução	197	186	206	174	212	175	157	173	192	167	190	193	193	174
Paraná	Ensino fundamental incompleto ou equivalente	1481	811	1504	873	1444	905	1326	963	1277	937	1256	889	1251	908
Paraná	Ensino fundamental completo ou equivalente	485	238	422	236	406	234	393	239	414	268	417	255	362	267
Paraná	Ensino médio incompleto ou equivalente	174	106	217	124	197	132	207	166	191	175	198	174	206	166
Paraná	Ensino médio completo ou equivalente	1260	480	1285	532	1276	545	1304	616	1373	706	1505	726	1472	823
Paraná	Ensino superior incompleto ou equivalente	165	41	177	59	196	56	183	69	194	76	206	81	224	93
Paraná	Superior completo	1040	156	1024	154	1106	183	1146	227	1231	281	1270	307	1297	325
Santa Catarina	Sem instrução	110	28	82	24	97	40	101	38	108	38	106	43	119	41
Santa Catarina	Ensino fundamental incompleto ou equivalente	1318	238	1270	275	1200	295	1147	301	1038	300	1049	300	940	293
Santa Catarina	Ensino fundamental completo ou equivalente	471	75	428	82	416	106	417	112	406	126	405	117	396	128
Santa Catarina	Ensino médio incompleto ou equivalente	140	28	144	35	136	46	146	54	156	61	147	59	152	61
Santa Catarina	Ensino médio completo ou equivalente	1023	120	983	158	984	207	1061	201	1117	271	1104	328	1174	365
Santa Catarina	Ensino superior incompleto ou equivalente	147	17	166	20	182	32	179	34	172	34	180	47	178	45
Santa Catarina	Superior completo	632	38	740	49	757	81	806	69	897	110	906	126	991	138
Rio Grande do Sul	Sem instrução	166	63	131	64	125	61	107	53	122	58	134	67	131	60
Rio Grande do Sul	Ensino fundamental incompleto ou equivalente	2114	527	2132	553	2118	593	1978	566	1882	571	1842	591	1736	591
Rio Grande do Sul	Ensino fundamental completo ou equivalente	619	142	611	175	622	173	594	174	600	184	535	174	533	166
Rio Grande do Sul	Ensino médio incompleto ou equivalente	250	63	275	75	295	84	262	86	299	110	304	138	256	124
Rio Grande do Sul	Ensino médio completo ou equivalente	1511	272	1495	260	1449	326	1606	373	1642	392	1624	462	1748	482
Rio Grande do Sul	Ensino superior incompleto ou equivalente	353	39	395	54	373	53	407	65	394	78	401	96	415	85
Rio Grande do Sul	Superior completo	1085	81	1103	76	1133	91	1186	113	1421	131	1329	161	1443	202
Mato Grosso do Sul	Sem instrução	32	61	27	53	29	46	24	49	29	53	25	51	21	50
Mato Grosso do Sul	Ensino fundamental incompleto ou equivalente	221	367	212	370	220	352	207	351	171	314	187	319	175	317
Mato Grosso do Sul	Ensino fundamental completo ou equivalente	60	79	55	77	46	72	45	78	49	80	48	78	46	81
Mato Grosso do Sul	Ensino médio incompleto ou equivalente	28	46	34	51	38	54	31	57	25	68	29	64	32	56
Mato Grosso do Sul	Ensino médio completo ou equivalente	152	196	180	196	165	196	174	203	198	264	195	264	188	297
Mato Grosso do Sul	Ensino superior incompleto ou equivalente	41	36	41	35	41	35	36	42	40	40	44	56	40	53
Mato Grosso do Sul	Superior completo	134	86	163	99	184	90	185	114	218	137	239	161	232	173
Mato Grosso	Sem instrução	39	116	33	140	33	118	26	100	36	109	36	109	23	81
Mato Grosso	Ensino fundamental incompleto ou equivalente	210	479	199	476	203	487	181	481	174	432	160	397	155	395
Mato Grosso	Ensino fundamental completo ou equivalente	57	130	42	104	50	108	47	101	41	114	44	112	42	102
Mato Grosso	Ensino médio incompleto ou equivalente	25	70	32	86	36	84	36	99	39	110	38	116	31	128
Mato Grosso	Ensino médio completo ou equivalente	157	311	164	312	137	354	166	349	177	427	204	435	191	486
Mato Grosso	Ensino superior incompleto ou equivalente	24	51	30	51	32	58	32	68	34	63	34	58	43	70
Mato Grosso	Superior completo	134	134	150	145	153	176	149	205	167	209	183	231	212	254
Goiás	Sem instrução	84	211	80	217	72	192	70	174	79	192	71	169	59	141
Goiás	Ensino fundamental incompleto ou equivalente	436	911	435	966	435	958	450	932	428	880	384	877	358	879
Goiás	Ensino fundamental completo ou equivalente	119	238	119	229	99	218	85	208	110	240	110	245	99	219
Goiás	Ensino médio incompleto ou equivalente	73	149	60	168	79	188	91	180	71	208	77	193	88	220
Goiás	Ensino médio completo ou equivalente	404	660	397	660	418	729	410	787	497	835	473	935	507	968
Goiás	Ensino superior incompleto ou equivalente	66	88	66	117	78	93	85	105	84	113	90	110	96	132
Goiás	Superior completo	290	290	330	317	337	308	361	356	397	449	502	464	522	470
Distrito Federal	Sem instrução	18	44	14	45	17	57	20	45	12	34	16	30	16	40
Distrito Federal	Ensino fundamental incompleto ou equivalente	82	257	89	270	100	252	99	245	84	241	90	224	84	218
Distrito Federal	Ensino fundamental completo ou equivalente	44	111	27	94	32	93	37	74	31	75	31	78	36	90
Distrito Federal	Ensino médio incompleto ou equivalente	16	38	16	53	17	52	19	58	23	55	20	49	26	55
Distrito Federal	Ensino médio completo ou equivalente	164	341	155	338	175	328	182	355	184	369	178	385	187	409
Distrito Federal	Ensino superior incompleto ou equivalente	37	48	39	54	33	60	45	62	44	68	47	75	49	73
Distrito Federal	Superior completo	296	248	290	292	325	300	343	289	379	332	406	392	418	399
