Tabela 7139 - Taxa de escolarização, por cor ou raça e grupo de idade	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
	4 a 5 anos	94.4	90.7	97.4	95	94.2	90.6	92.7	95.2	96.4	90.3	93.2	90.9	94.2	87.2
	6 a 14 anos	99.5	99.1	99.6	99	98.6	99.3	99	99	99.3	99.1	99.4	99.3	99.8	99.1
	15 a 17 anos	87.1	86.8	84	84.5	90.6	85.8	85.4	85.8	91	91.6	86.2	89.1	92.4	87.4
	18 a 24 anos	39.8	30.6	36.2	30.3	40.9	30.1	35.8	30.5	37.3	28.4	40.1	30.3	40.8	25.9
	25 anos ou mais	5.8	4.7	5.9	5	6	4.6	5.7	4.6	5	5	5.4	4.2	4.6	4.5
Pernambuco	0 a 5 anos	47.2	47.3	48.6	47	51.4	51.1	55.5	50.9	46.5	51	47.8	51.8	52	55.3
	0 a 3 anos	26.5	24.6	29.5	24.4	32.1	29.7	37.1	28.2	26	32.2	27.5	28	29.2	32.6
	4 a 5 anos	96.2	92.1	93.6	88.9	95.1	90.5	95.1	92.7	94.6	87	88.9	91.1	94.8	95.4
	6 a 14 anos	98.9	99.4	99.3	98.7	99.6	99.3	99.6	99.4	99.1	99	99.2	99.3	99.2	99.5
	15 a 17 anos	87.8	82.6	87.4	82	83.7	85.1	89.6	85	91.6	86.6	93.8	91.5	94.3	91.8
	18 a 24 anos	36.9	24.7	31.9	25.1	37.5	22.2	34.4	24.9	35.2	24.8	32.4	23.6	32.5	25.3
	25 anos ou mais	4.9	3	4.8	3.1	5	3.6	4.7	3.9	4.6	3.5	4.2	3.7	4.9	4.2
Alagoas	0 a 5 anos	47	45	41.5	48.6	47.4	51.4	51.9	50.8	49.5	55	52.2	54.5	52.4	57
	0 a 3 anos	26.9	22.6	22.4	23.9	26.1	31.2	30.2	28.7	28.3	36.6	32.3	34.6	31.2	37.6
	4 a 5 anos	89.2	85.2	86	89.7	92.9	90.8	92.7	92.9	93.7	89.8	93.2	91.3	92.6	92.8
	6 a 14 anos	98.9	98	98.2	98.7	99.1	99	98.8	99.2	99.3	99.1	99.2	99.1	99.6	99.2
	15 a 17 anos	87	82.3	77.4	81.3	77.2	83.8	82.1	82.8	87.7	89	91.4	87.3	93.7	86.8
	18 a 24 anos	36.1	28.9	29.8	26.7	40.5	28.4	32.8	26.2	32.3	25.5	30.4	24.6	37.2	23.8
	25 anos ou mais	5.2	4.7	5.5	4.3	6	3.9	5.5	4.2	5.9	5.4	6.9	6.3	5.6	6.2
Sergipe	0 a 5 anos	46.2	42	39.1	49.7	46.7	50.6	53.3	51.5	52.4	52.6	64.1	58.9	54.8	56.8
	0 a 3 anos	26.3	20.9	18.9	27.5	30.2	25.8	31.4	28.7	33.7	31.2	44.1	36.8	33.9	37.4
	4 a 5 anos	94.4	87.8	93.6	91.8	92.4	94	94.2	94.6	91.2	93.4	97	96.7	98.1	94.8
	6 a 14 anos	99.8	99.2	99.5	99	99.5	99.3	99.5	98.8	99.5	99.2	99.6	99.3	99.7	99.6
	15 a 17 anos	85.2	85.9	89.5	87.9	88.7	88.7	86.9	89.3	92.8	92.7	94.3	91.6	93.6	92.8
	18 a 24 anos	34.2	32.8	36.5	29.8	38.9	27.4	38.9	28	37.6	30.4	40.2	28.4	40.3	27.6
	25 anos ou mais	3.9	3.9	5.3	4.9	4.5	3.8	5	4.3	5	3.7	4.8	4.2	5	4.2
Bahia	0 a 5 anos	50.7	47	46.3	52.8	45.4	52.8	49.6	53.9	48.1	53.8	51.9	58	52.7	56.4
	0 a 3 anos	30.4	24.9	27.9	28.5	24.6	30.1	31.7	30.7	28.1	31.3	28.3	36	28.9	37.3
	4 a 5 anos	97.3	91.5	93	95.4	93.9	97.4	94.3	95.8	92.4	94.5	94.9	95.2	95.4	94.6
	6 a 14 anos	99.1	99.2	98.9	99.1	99.7	99.1	99.2	99.2	98.4	99.6	99.3	99.5	99.1	99.6
	15 a 17 anos	89.9	87.2	89.5	87.4	85.8	88.2	88	90	91.9	92.5	91.1	93.3	94	96.4
	18 a 24 anos	34.3	32.5	32.9	31.6	34	33.6	36.1	32.7	35.9	29.5	29.8	30.2	39.7	30.8
	25 anos ou mais	4.5	5.4	4.4	4.8	6.3	5.3	4.9	5	4.6	4.5	5.5	4.3	4.4	4.3
Minas Gerais	0 a 5 anos	46.3	49.7	50.4	52.9	53.7	55	54.9	55	50.7	55.3	52.5	57.5	55.7	59.6
	0 a 3 anos	27.3	28.7	30.9	33	35.3	32.5	36.4	35	29.9	32.4	31.4	36.1	39.3	38
	4 a 5 anos	92	93.6	94.9	93.1	93.4	94.5	95.9	93.4	93.2	93.9	93.2	95.3	93.8	96.9
	6 a 14 anos	99.6	99.2	99.2	98.9	99.5	99.2	99.3	99.2	99.6	99.8	99.5	99.8	99.6	99.6
	15 a 17 anos	87.8	88.1	89.8	90.4	90.2	90.2	93.7	89.9	94.2	93.7	93.7	90.3	95.7	92.1
	18 a 24 anos	37	28.4	35	24.6	38.1	25.3	36.2	25.5	32	21.4	34.8	21.9	34.6	24.1
	25 anos ou mais	5	4.1	4.4	4.2	5	4.1	5.2	4.5	4.5	4.3	4.6	3.8	5	4.7
Espírito Santo	0 a 5 anos	52.5	52.5	54.6	52.5	54.5	55.3	56.1	56.1	58.5	54.9	55.6	54.8	55	58
	0 a 3 anos	34	30.4	34.1	31.5	34.9	36.3	36.1	36.2	41.3	33.7	35.7	32	37.4	37.9
	4 a 5 anos	95.2	93.4	93.5	91.4	96	94.6	95.6	93.8	93.2	93.5	94.9	94.5	94.2	94.4
	6 a 14 anos	99.9	99	99.7	99.5	99.3	99.3	99.4	99.5	99.3	99.3	99.6	99.9	99.5	99.2
	15 a 17 anos	87.5	84	84	86	83.1	88.4	89.9	88.8	93.6	90.1	89.9	93.8	93.5	87.3
	18 a 24 anos	36.1	27.1	37.2	26.3	36.2	25.8	37	27	41.4	27.4	44	27	42	26.8
	25 anos ou mais	3.9	4.5	4.7	4.2	4.6	4.4	5	4.3	4.8	4.5	4.9	4.2	4.8	4.4
Rio de Janeiro	0 a 5 anos	50.5	47.6	52.3	48.9	53.3	48.9	57.4	49.1	60.3	56.4	63.1	59.7	59.6	57.6
	0 a 3 anos	30.8	25.7	33.3	29.3	35.3	28.4	38.9	28.6	43	35.9	47	38.3	41.8	36.6
	4 a 5 anos	86.6	84.8	90.1	87.9	92.6	87.9	95	87	91.6	90	91.4	92.6	95	93.3
	6 a 14 anos	99.4	99	99.3	99.6	99.8	98.9	99.4	99.5	99.5	99.4	99.5	99	99.8	99.1
	15 a 17 anos	90.4	88.8	92.1	92	90.9	91.6	95.5	92.6	95.9	94.5	96	94.5	97.7	92.7
	18 a 24 anos	41.8	30.9	42.3	27.2	46.4	29.3	43.6	30.5	43.6	31.4	46.4	31.2	46.4	31.4
	25 anos ou mais	3.6	2.8	4	3.4	4.8	3.9	5	3.8	6.1	5.4	6.2	5.3	6.5	5.4
São Paulo	0 a 5 anos	57.9	59.1	61.9	62.9	62.3	64.9	62.7	67.9	64.7	68.6	67.4	69.2	69.8	70.4
	0 a 3 anos	42	43.7	46.2	45.3	46.6	48.1	47.7	51.5	49.2	53.8	52.7	54.6	54.9	55.6
	4 a 5 anos	93.5	87	93.4	94.1	94.4	95.1	95.2	95.5	93	94.2	97.1	93.3	95.4	92.9
	6 a 14 anos	99.6	99.4	99.6	99.2	99.6	99.7	99.5	99.3	99.7	99.6	99.3	99.5	99.5	99.7
	15 a 17 anos	89.9	84.4	88.4	84.6	88.3	85.2	87.7	83.7	93	94.7	93.8	93.6	96	93.6
	18 a 24 anos	35.1	23.7	33.5	23	34.1	22.5	34.1	21.2	36.3	20.4	33.7	22.7	35.6	22.5
	25 anos ou mais	4.1	3.5	4.2	3.8	4.6	4.5	4.7	3.7	5.4	4.4	5.1	4.4	5.2	3.9
Paraná	0 a 5 anos	54.2	49	53.3	53.9	55.9	52.7	58.1	57.1	56.4	60.3	58.1	67.2	59.5	59
	0 a 3 anos	37.2	29.4	36.3	36.4	39.2	34.5	41.6	38.4	38	39.3	40.5	50.2	41.2	41.4
	4 a 5 anos	90.5	90	90.5	88.8	93.6	88.5	92.1	92.3	92.3	93	91.2	97.4	94.8	88.2
	6 a 14 anos	99.3	98.2	99.3	99.1	99.6	99.2	99.4	99.4	99.4	98.7	99.7	99.5	99.5	99.6
	15 a 17 anos	86.9	79.1	85.2	79.3	84.6	85	88.6	85.7	87.1	84.8	92.8	89.8	92.6	88.7
	18 a 24 anos	34	19.1	35.5	26.9	38.1	24.4	36.7	24.8	36	23.7	37.6	25.7	37.3	26.7
	25 anos ou mais	4.4	3.4	4.9	4.5	5.1	4.4	5.5	4.4	5.3	4.5	5.6	5	5.4	4.7
Santa Catarina	0 a 5 anos	60.5	63.2	62.1	57.2	62.9	62	66.4	67.4	64.8	62.2	66.1	66.6	67.6	63.5
	0 a 3 anos	44.3	49.8	46.6	43.9	48.3	43.8	51.5	52.9	49.3	45.3	51.7	49.6	53.8	47.3
	4 a 5 anos	92	89.6	93.7	83.5	93.9	92.4	95.2	96	93.8	91.9	92	95.8	95.7	91.6
	6 a 14 anos	99.7	99.5	99.6	99.3	99.9	99.8	99.6	99.4	99.7	98.3	99.8	99.7	99.6	98.9
	15 a 17 anos	86.2	84	87.1	83.2	92.6	89.8	94.9	89.8	95	86.7	94.8	91.8	95	90.8
	18 a 24 anos	33.2	16.9	33.7	21	36.7	25	36.2	23.5	35.9	22.1	34.5	24.4	34.1	20.7
	25 anos ou mais	4.4	4.3	4.8	4	4.8	5.2	4.6	4.6	5.2	5.1	5.1	5.1	4.8	4.9
Rio Grande do Sul	0 a 5 anos	51.5	48.9	54.8	53.5	51.7	48.7	57.2	52.4	58.2	55.7	58.3	62.5	60.2	56.6
	0 a 3 anos	37.2	33.1	40.8	37.1	34.9	29.3	41.2	34.8	41.2	36.8	42.9	46.8	44.5	37.7
	4 a 5 anos	82.6	84.6	87.4	81.6	86	83.7	89.2	84.4	88.8	89.7	88.6	86.9	90.4	84.6
	6 a 14 anos	99.5	98.4	99.7	99.8	99.5	99.5	99.3	100	99.6	99.1	99.7	99.1	99.6	98.8
	15 a 17 anos	87.8	86.9	89.5	81.5	88.8	88.7	95.9	89.9	94.3	90.3	94.3	85.7	95.6	93.1
	18 a 24 anos	36.5	24.6	36.3	22.5	39.6	25.2	36.4	27.1	36.5	27.3	36.4	24.1	38.9	23.3
	25 anos ou mais	5.1	3.9	4.8	3.7	4.9	4.1	5.1	4.4	5.7	4.9	5.3	5.6	5.9	6
Mato Grosso do Sul	0 a 5 anos	48.2	54.8	49.9	53.1	53.6	55	54.3	52.8	54.4	53	57.8	58.6	51.1	63.4
	0 a 3 anos	30.2	35	33.2	29.8	37.7	36	36.7	31	37.9	39.2	39.8	39.8	34.7	47
	4 a 5 anos	86.4	88.4	85.1	92.4	87.6	89.5	91.4	88.4	92.2	85	91	93.8	89.3	91.6
	6 a 14 anos	98.8	99.5	99.5	99.4	99.2	98.7	99.4	98.9	99	99	99.6	100	99	99.5
	15 a 17 anos	86.2	86.6	91.1	85	89.6	90.4	89.9	85.2	92	87.1	85.7	90	91.9	93.7
	18 a 24 anos	44.4	31.2	42.2	29.3	36.9	28.1	37.5	24	33.9	26	40.1	32.8	40.2	29.4
	25 anos ou mais	7	5.3	6.8	5	5.9	5	6.3	5.5	7.5	5.6	6	5.1	6	5.9
Mato Grosso	0 a 5 anos	49.1	41.6	43.1	47.9	48.1	50.2	53.6	53.4	53.3	51.5	51.6	52.5	52.1	55.5
	0 a 3 anos	34	22.9	26	28.5	27.9	29.7	30	30	34	31.1	35.2	32.4	35.4	36
	4 a 5 anos	86.7	80.2	89.7	85	87.9	91.1	95.6	91	90.9	90.4	88.6	89.2	97	93.1
	6 a 14 anos	99.7	99.1	99.7	99.2	99.6	99.4	99.1	99.3	99.9	99.6	99.6	99.4	99.2	99.8
	15 a 17 anos	85	87.1	88	85.5	92.5	89.9	89.8	87.9	90.7	90.1	93.7	84.6	92.6	93.2
	18 a 24 anos	39.2	30.5	36	30.6	38.3	28.4	35.3	26.8	30.2	24.9	31.6	23.3	31.9	24
	25 anos ou mais	5.2	6.4	6.8	6.2	7.8	6.7	6.6	6	5.7	4.7	6.6	6.2	7.1	5.5
Goiás	0 a 5 anos	37.6	45.6	41.6	41.4	43.5	46.7	44.8	45.1	47.1	45.7	46.5	50.6	51.3	50.6
	0 a 3 anos	19.9	22	24.1	22.1	25.4	24.6	24.9	25.1	25.1	25.4	27.4	25.4	29.2	28.6
	4 a 5 anos	84.8	85.4	88.2	85.6	84.3	84.7	87	80.7	89	82.1	90.2	89	91.6	88.7
	6 a 14 anos	99.6	99.1	99.3	99.2	99.5	99.6	99.6	99.2	99.2	99	99.7	99.9	100	98.8
	15 a 17 anos	87.5	88.6	84.9	83.9	86.6	89.1	93.4	90.3	96.7	92	95.6	89.5	89.5	93.2
	18 a 24 anos	32.9	27.6	39.1	27.9	37.8	31.4	38	29.6	36.8	26.6	36.6	24	38.5	29.3
	25 anos ou mais	5.6	4.3	4.7	4.3	4.5	4.8	5.7	4.5	5.1	4.7	5.7	4.5	5.6	4.6
Distrito Federal	0 a 5 anos	44.1	43.5	43.4	40.1	46	44.1	49.4	40	47.7	54.8	51.7	57.4	60.6	56.4
	0 a 3 anos	25.5	21.7	24.4	19.5	28.6	25.3	34.2	18.9	29.4	31.7	34.5	35.1	42.1	32.2
	4 a 5 anos	90	76.1	86.1	81.3	82	81.2	88.2	80.2	88.4	92.3	92.5	95.1	92.8	92.4
	6 a 14 anos	99.8	98.9	99.5	99.3	99.2	99.3	99.6	99.3	99.4	99.8	99.8	99.8	100	99.9
	15 a 17 anos	93.5	90.7	95.3	89	91.5	86.6	92	94.6	92.5	95.4	96.8	92.4	97.9	92.9
	18 a 24 anos	49.1	40.3	55.2	34.5	53.8	36.5	50	41.8	54.9	42.4	58.5	39.7	56.5	41.2
	25 anos ou mais	7.6	6.2	7	6.2	6.2	6.8	8.3	7.6	9.1	7.4	8.7	8.7	9.1	7.8
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre															
