Tabela 6735 - Domicílios e Moradores com banheiro, sanitário ou buraco para dejeções, por situação do domicílio e tipo de esgotamento sanitário (de 2016 até 2018)	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
Santa Catarina	Total	2024	355	2105	353	2194	358
	Rede geral, rede pluvial ou fossa ligada à rede	1235	37	1370	41	1417	40
	Fossa não ligada à rede	765	305	718	299	760	309
	Outro tipo	25	13	17	13	16	9
Rio Grande do Sul	Total	3438	530	3491	533	3527	522
	Rede geral, rede pluvial ou fossa ligada à rede	2628	29	2643	29	2788	30
	Fossa não ligada à rede	764	477	803	487	694	474
	Outro tipo	45	24	45	17	45	18
Mato Grosso do Sul	Total	775	90	791	87	806	91
	Rede geral, rede pluvial ou fossa ligada à rede	361	2	361	0	429	3
	Fossa não ligada à rede	413	85	429	86	377	87
	Outro tipo	0	3	1	1	0	1
Mato Grosso	Total	924	165	949	165	973	176
	Rede geral, rede pluvial ou fossa ligada à rede	399	2	328	2	401	1
	Fossa não ligada à rede	522	161	615	159	569	172
	Outro tipo	3	2	5	3	3	3
Goiás	Total	2006	196	2075	202	2128	199
	Rede geral, rede pluvial ou fossa ligada à rede	1173	5	1199	1	1267	3
	Fossa não ligada à rede	833	189	876	197	860	193
	Outro tipo	0	2	0	4	1	3
Distrito Federal	Total	879	57	901	56	905	60
	Rede geral, rede pluvial ou fossa ligada à rede	799	27	821	6	827	14
	Fossa não ligada à rede	80	29	79	49	78	45
	Outro tipo	-	1	1	0	-	1
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 1ª visita							
