Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Roraima	Sem instrução	3	18	3	15	3	15	3	15	3	15	4	14	4	13
	Ensino fundamental incompleto ou equivalente	15	65	14	66	14	70	13	64	13	64	14	65	14	70
	Ensino fundamental completo ou equivalente	6	24	6	23	6	22	4	22	6	31	6	27	8	23
	Ensino médio incompleto ou equivalente	7	24	7	29	8	26	7	30	8	32	7	36	10	36
	Ensino médio completo ou equivalente	21	79	25	84	23	85	25	98	28	130	31	122	32	121
	Ensino superior incompleto ou equivalente	6	13	8	18	7	20	7	21	6	21	6	20	8	27
	Superior completo	17	29	18	29	18	37	22	37	19	45	23	43	21	48
Pará	Sem instrução	48	341	48	320	41	307	35	277	52	323	42	299	56	279
	Ensino fundamental incompleto ou equivalente	324	2034	325	2004	304	2009	319	1996	340	1875	330	1855	310	1724
	Ensino fundamental completo ou equivalente	91	500	92	517	99	502	102	496	104	492	104	507	105	518
	Ensino médio incompleto ou equivalente	113	515	124	521	96	540	91	533	124	566	110	565	115	570
	Ensino médio completo ou equivalente	273	1265	286	1309	277	1345	306	1433	362	1505	362	1643	397	1665
	Ensino superior incompleto ou equivalente	53	147	45	181	65	202	60	201	74	217	68	245	88	288
	Superior completo	116	299	127	310	157	360	175	366	188	491	207	525	235	555
Amapá	Sem instrução	3	24	5	20	3	30	6	28	4	33	5	39	4	38
	Ensino fundamental incompleto ou equivalente	21	122	22	136	24	133	17	131	21	127	16	121	22	127
	Ensino fundamental completo ou equivalente	8	44	8	48	8	42	7	46	11	44	5	42	9	43
	Ensino médio incompleto ou equivalente	10	47	12	48	8	48	10	54	10	46	12	50	10	45
	Ensino médio completo ou equivalente	36	134	26	145	24	153	33	162	35	174	35	191	43	185
	Ensino superior incompleto ou equivalente	10	23	9	33	10	34	12	36	16	32	11	34	10	34
	Superior completo	20	50	18	57	22	57	21	63	31	77	29	95	33	92
Tocantins	Sem instrução	20	93	20	92	20	91	15	77	13	75	14	80	12	62
	Ensino fundamental incompleto ou equivalente	65	278	63	287	59	288	59	309	60	258	49	269	60	275
	Ensino fundamental completo ou equivalente	22	83	17	69	17	78	14	78	16	74	16	78	17	80
	Ensino médio incompleto ou equivalente	24	80	20	83	19	80	17	94	22	92	25	87	22	95
	Ensino médio completo ou equivalente	70	238	65	250	68	260	65	265	73	296	67	300	77	299
	Ensino superior incompleto ou equivalente	15	39	14	45	20	37	15	37	20	56	20	47	21	59
	Superior completo	36	69	43	84	50	92	51	95	62	130	62	134	68	135
Maranhão	Sem instrução	102	544	93	547	90	517	87	524	76	458	76	455	71	449
	Ensino fundamental incompleto ou equivalente	291	1467	268	1463	257	1456	254	1397	234	1332	228	1344	223	1338
	Ensino fundamental completo ou equivalente	101	423	77	409	84	389	82	400	83	422	77	421	74	447
	Ensino médio incompleto ou equivalente	92	385	71	406	88	424	92	429	85	423	77	425	78	428
	Ensino médio completo ou equivalente	264	957	251	1068	264	1063	291	1139	286	1320	296	1338	314	1378
	Ensino superior incompleto ou equivalente	36	106	38	111	53	141	53	136	45	144	53	162	48	164
	Superior completo	79	186	89	201	97	239	105	261	140	348	167	355	171	385
Piauí	Sem instrução	46	224	48	199	43	193	37	187	53	227	51	214	35	167
	Ensino fundamental incompleto ou equivalente	154	836	167	811	133	833	139	824	146	726	139	687	139	721
	Ensino fundamental completo ou equivalente	43	178	45	187	35	197	34	176	46	155	42	157	46	162
	Ensino médio incompleto ou equivalente	36	181	35	173	31	178	32	177	40	179	36	173	38	194
	Ensino médio completo ou equivalente	103	406	115	431	107	443	104	458	125	487	132	542	122	549
	Ensino superior incompleto ou equivalente	28	69	27	66	24	85	27	102	24	85	32	86	33	97
	Superior completo	75	141	76	157	77	159	70	179	113	226	98	241	108	226
Ceará	Sem instrução	167	652	157	594	136	551	142	518	167	550	156	556	153	537
	Ensino fundamental incompleto ou equivalente	509	1746	512	1784	473	1743	491	1719	493	1561	429	1539	411	1581
	Ensino fundamental completo ou equivalente	174	620	176	552	170	541	160	527	176	511	146	488	140	502
	Ensino médio incompleto ou equivalente	143	437	159	462	133	505	153	478	165	473	156	541	131	558
	Ensino médio completo ou equivalente	508	1224	504	1321	549	1346	503	1425	598	1626	602	1629	550	1704
	Ensino superior incompleto ou equivalente	104	174	118	193	124	220	121	223	133	213	121	231	124	223
	Superior completo	233	254	251	308	276	375	319	390	363	430	339	486	398	478
Rio Grande do Norte	Sem instrução	72	153	56	133	49	112	52	137	64	140	64	159	75	138
	Ensino fundamental incompleto ou equivalente	283	697	308	727	319	726	298	699	262	642	268	631	270	562
	Ensino fundamental completo ou equivalente	76	126	74	139	73	138	66	145	72	167	70	149	67	154
	Ensino médio incompleto ou equivalente	82	161	75	159	70	137	86	148	79	185	80	168	84	166
	Ensino médio completo ou equivalente	286	400	262	429	278	420	258	409	305	479	315	513	330	521
	Ensino superior incompleto ou equivalente	48	66	55	59	55	86	65	71	73	66	64	67	65	75
	Superior completo	132	134	131	136	162	141	179	174	185	171	193	177	199	226
Paraíba	Sem instrução	91	238	86	228	85	243	77	228	78	245	85	237	73	212
	Ensino fundamental incompleto ou equivalente	347	838	313	856	321	842	334	856	306	784	286	755	284	753
	Ensino fundamental completo ou equivalente	71	167	74	175	77	151	67	160	60	171	71	154	82	160
	Ensino médio incompleto ou equivalente	76	161	72	156	70	156	75	156	78	209	81	197	83	185
	Ensino médio completo ou equivalente	238	427	233	454	245	487	230	477	257	542	276	557	287	572
	Ensino superior incompleto ou equivalente	62	75	60	79	57	80	55	88	47	79	58	76	63	84
	Superior completo	145	125	146	169	138	170	152	189	160	171	178	178	197	207
Pernambuco	Sem instrução	184	537	165	546	155	449	148	450	204	468	184	417	158	397
	Ensino fundamental incompleto ou equivalente	613	1907	592	1916	622	1800	605	1744	610	1639	647	1576	632	1630
	Ensino fundamental completo ou equivalente	178	444	150	450	167	404	157	451	177	424	175	422	182	423
	Ensino médio incompleto ou equivalente	150	409	150	437	155	411	143	433	169	411	173	426	183	425
	Ensino médio completo ou equivalente	581	1339	590	1431	644	1449	677	1472	769	1612	832	1614	773	1670
	Ensino superior incompleto ou equivalente	133	150	106	160	154	192	145	200	138	164	142	186	151	196
	Superior completo	361	342	371	324	407	408	423	421	394	423	455	480	446	508
Alagoas	Sem instrução	64	284	67	269	54	262	56	249	54	201	48	209	52	217
	Ensino fundamental incompleto ou equivalente	185	779	189	785	173	774	183	740	195	658	177	622	172	607
	Ensino fundamental completo ou equivalente	47	177	46	164	38	170	48	177	53	166	52	168	51	153
	Ensino médio incompleto ou equivalente	44	153	38	166	46	162	43	164	55	170	55	176	53	178
	Ensino médio completo ou equivalente	130	382	133	432	149	435	145	437	180	477	189	508	198	531
	Ensino superior incompleto ou equivalente	33	65	26	61	35	60	31	54	38	73	38	82	41	79
	Superior completo	71	90	69	97	93	111	104	138	103	162	108	165	122	176
Sergipe	Sem instrução	35	147	26	129	26	128	23	107	31	113	31	103	27	106
	Ensino fundamental incompleto ou equivalente	124	524	118	556	129	539	141	557	126	503	127	465	113	480
	Ensino fundamental completo ou equivalente	31	114	26	121	21	117	28	108	36	114	32	116	37	119
	Ensino médio incompleto ou equivalente	25	97	24	115	25	109	22	104	31	135	38	121	36	122
	Ensino médio completo ou equivalente	87	314	82	323	82	323	95	351	134	346	103	384	124	396
	Ensino superior incompleto ou equivalente	16	60	22	63	20	59	24	61	28	67	27	62	30	64
	Superior completo	53	107	52	103	57	108	63	116	67	126	72	156	77	163
Bahia	Sem instrução	215	992	216	1016	215	1041	182	981	245	913	247	979	189	898
	Ensino fundamental incompleto ou equivalente	682	3392	642	3469	599	3435	618	3400	592	3005	592	2927	576	2744
	Ensino fundamental completo ou equivalente	132	667	137	702	119	721	129	705	149	678	142	731	145	738
	Ensino médio incompleto ou equivalente	157	838	154	858	157	813	141	836	180	915	159	808	160	950
	Ensino médio completo ou equivalente	538	2465	553	2484	543	2535	557	2619	607	3041	659	3091	660	3205
	Ensino superior incompleto ou equivalente	93	334	98	311	96	393	90	370	94	318	111	329	119	342
	Superior completo	264	563	300	588	296	641	305	747	286	858	361	835	405	960
Minas Gerais	Sem instrução	210	487	202	422	195	441	178	442	172	415	206	451	177	392
	Ensino fundamental incompleto ou equivalente	2037	3863	2032	3886	1979	3821	1984	3795	1925	3536	1880	3277	1775	3247
	Ensino fundamental completo ou equivalente	649	1157	609	1177	589	1116	611	1084	573	949	580	955	581	1002
	Ensino médio incompleto ou equivalente	460	850	490	884	478	905	434	950	525	940	506	970	496	975
	Ensino médio completo ou equivalente	1878	2380	1792	2673	1781	2780	1869	2777	2013	3061	2011	3268	2007	3312
	Ensino superior incompleto ou equivalente	467	434	408	442	428	430	441	472	398	427	417	459	400	474
	Superior completo	1257	727	1133	761	1335	826	1287	933	1534	1049	1571	1101	1694	1182
Espírito Santo	Sem instrução	67	114	50	102	48	94	38	87	43	99	40	108	36	80
	Ensino fundamental incompleto ou equivalente	351	605	348	622	340	632	315	660	307	611	318	592	292	582
	Ensino fundamental completo ou equivalente	114	200	104	217	100	201	88	196	104	207	97	187	96	201
	Ensino médio incompleto ou equivalente	85	156	75	164	75	184	64	196	81	186	78	188	69	190
	Ensino médio completo ou equivalente	332	536	333	548	338	565	312	590	323	670	336	665	361	719
	Ensino superior incompleto ou equivalente	73	78	72	78	76	90	77	97	76	98	77	99	73	96
	Superior completo	231	143	245	170	230	172	241	191	277	239	309	253	332	251
Rio de Janeiro	Sem instrução	174	294	169	292	161	253	151	225	156	273	142	257	145	209
	Ensino fundamental incompleto ou equivalente	1258	2367	1191	2409	1206	2194	1153	2106	1048	1827	1014	1801	1048	1849
	Ensino fundamental completo ou equivalente	657	1009	548	1012	542	852	552	854	503	808	453	746	439	743
	Ensino médio incompleto ou equivalente	385	615	373	712	391	694	394	679	408	721	394	690	370	648
	Ensino médio completo ou equivalente	1972	2447	1917	2647	1997	2617	1985	2716	2058	2858	2089	2934	2003	3048
	Ensino superior incompleto ou equivalente	408	275	426	359	509	414	521	427	573	437	562	449	506	453
	Superior completo	1490	548	1480	644	1619	769	1733	829	2010	991	2112	1002	2109	1100
São Paulo	Sem instrução	580	515	451	396	400	475	379	457	463	464	465	563	458	572
	Ensino fundamental incompleto ou equivalente	4738	3786	4561	3845	4331	4126	4263	4007	4012	3666	3987	3777	3753	3808
	Ensino fundamental completo ou equivalente	2271	1710	2016	1541	1819	1525	1816	1549	1708	1513	1787	1469	1661	1609
	Ensino médio incompleto ou equivalente	1471	1179	1618	1366	1422	1541	1361	1440	1444	1389	1399	1533	1357	1442
	Ensino médio completo ou equivalente	7328	4167	7118	4775	6815	5091	6808	5442	7178	5958	7221	5983	7171	6324
	Ensino superior incompleto ou equivalente	1408	529	1390	586	1510	718	1581	727	1459	669	1367	698	1338	712
	Superior completo	5240	930	5286	1133	5233	1215	5524	1474	6247	1787	6226	1876	6443	2080
Paraná	Sem instrução	215	198	222	182	229	185	167	182	199	171	199	202	204	190
	Ensino fundamental incompleto ou equivalente	1701	990	1703	1049	1631	1076	1486	1122	1418	1065	1385	1018	1385	1037
	Ensino fundamental completo ou equivalente	693	363	609	343	551	356	533	346	542	379	551	354	473	376
	Ensino médio incompleto ou equivalente	443	241	481	288	445	275	443	334	428	337	423	331	428	327
	Ensino médio completo ou equivalente	1650	693	1651	707	1646	756	1655	830	1747	936	1869	946	1809	1044
	Ensino superior incompleto ou equivalente	334	80	359	107	389	114	366	130	359	134	367	146	385	155
	Superior completo	1102	171	1084	168	1179	200	1213	253	1292	301	1334	321	1363	344
Santa Catarina	Sem instrução	122	32	87	25	102	43	104	41	116	43	112	45	127	43
	Ensino fundamental incompleto ou equivalente	1474	285	1418	337	1336	352	1277	359	1155	362	1178	362	1060	350
	Ensino fundamental completo ou equivalente	633	119	564	133	534	160	542	163	516	170	521	163	508	185
	Ensino médio incompleto ou equivalente	338	71	323	83	319	110	313	111	343	117	313	127	319	129
	Ensino médio completo ou equivalente	1324	164	1274	223	1219	282	1314	266	1378	358	1372	420	1446	461
	Ensino superior incompleto ou equivalente	278	27	306	34	327	54	319	53	286	58	278	66	277	62
	Superior completo	679	42	793	53	811	85	857	73	939	118	948	134	1033	146
Rio Grande do Sul	Sem instrução	174	66	136	67	132	69	110	58	128	62	140	71	132	63
	Ensino fundamental incompleto ou equivalente	2444	662	2419	708	2385	730	2240	698	2106	678	2032	685	1902	698
	Ensino fundamental completo ou equivalente	837	218	815	261	810	263	778	254	796	254	683	250	687	240
	Ensino médio incompleto ou equivalente	550	158	518	160	534	161	529	170	533	211	568	237	508	225
	Ensino médio completo ou equivalente	1889	358	1878	346	1819	418	1992	472	1998	491	1984	586	2072	595
	Ensino superior incompleto ou equivalente	555	59	602	70	575	78	595	97	544	97	540	124	574	114
	Superior completo	1131	84	1144	78	1180	95	1236	120	1460	132	1380	168	1492	210
Mato Grosso do Sul	Sem instrução	34	63	28	55	30	48	25	51	31	55	26	51	21	51
	Ensino fundamental incompleto ou equivalente	260	460	251	449	254	432	244	432	207	382	214	384	205	383
	Ensino fundamental completo ou equivalente	83	124	84	115	75	117	72	120	72	111	72	110	70	116
	Ensino médio incompleto ou equivalente	65	100	67	102	79	109	69	114	62	128	65	120	65	119
	Ensino médio completo ou equivalente	198	249	222	251	216	266	220	272	243	340	248	326	239	376
	Ensino superior incompleto ou equivalente	72	58	70	56	67	51	65	63	64	64	73	86	69	80
	Superior completo	143	90	175	108	196	98	196	121	228	145	251	170	242	178
Mato Grosso	Sem instrução	42	123	35	145	35	121	27	103	38	110	38	111	24	84
	Ensino fundamental incompleto ou equivalente	231	552	228	568	227	575	202	562	193	498	184	469	174	455
	Ensino fundamental completo ou equivalente	81	208	62	180	75	176	69	174	60	178	64	191	61	169
	Ensino médio incompleto ou equivalente	66	181	73	196	76	194	69	214	75	234	80	224	73	233
	Ensino médio completo ou equivalente	210	425	208	411	178	466	207	466	225	553	262	569	243	612
	Ensino superior incompleto ou equivalente	49	89	52	88	60	93	56	105	54	108	51	91	65	103
	Superior completo	143	142	159	156	160	188	163	216	177	219	192	242	225	263
Goiás	Sem instrução	90	223	81	223	75	198	73	181	82	194	73	175	59	148
	Ensino fundamental incompleto ou equivalente	509	1108	502	1162	498	1134	516	1095	493	1025	441	1006	414	1032
	Ensino fundamental completo ou equivalente	169	361	161	332	148	348	142	330	150	325	155	340	145	307
	Ensino médio incompleto ou equivalente	150	320	143	345	150	369	171	373	161	404	157	380	167	395
	Ensino médio completo ou equivalente	523	880	504	907	535	961	516	1027	641	1097	599	1214	641	1241
	Ensino superior incompleto ou equivalente	116	169	118	199	145	198	146	190	145	194	149	166	164	216
	Superior completo	319	313	349	341	351	332	387	392	425	477	527	488	544	500
Distrito Federal	Sem instrução	19	47	15	46	18	59	21	47	13	34	17	32	18	40
	Ensino fundamental incompleto ou equivalente	110	337	114	348	131	319	130	312	110	301	110	287	105	272
	Ensino fundamental completo ou equivalente	67	161	48	139	49	135	58	113	59	112	52	114	52	126
	Ensino médio incompleto ou equivalente	51	108	48	134	46	115	56	125	59	129	52	118	57	111
	Ensino médio completo ou equivalente	207	440	190	443	224	441	234	463	244	488	229	495	235	519
	Ensino superior incompleto ou equivalente	69	95	78	104	75	116	90	111	83	123	95	128	86	124
	Superior completo	309	263	303	308	338	318	360	305	392	348	418	410	431	414
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre															
