Tabela 6578 - Número médio de moradores por domicílio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Número médio de moradores,UF,16,Amapá,2018,3.9,Pessoas
Número médio de moradores,UF,16,Amapá,2019,3.9,Pessoas
Número médio de moradores,UF,16,Amapá,2022,3.6,Pessoas
Número médio de moradores,UF,16,Amapá,2023,3.4,Pessoas
Número médio de moradores,UF,16,Amapá,2024,3.4,Pessoas
Número médio de moradores,UF,17,Tocantins,2016,3.2,Pessoas
Número médio de moradores,UF,17,Tocantins,2017,3.1,Pessoas
Número médio de moradores,UF,17,Tocantins,2018,3.0,Pessoas
Número médio de moradores,UF,17,Tocantins,2019,3.0,Pessoas
Número médio de moradores,UF,17,Tocantins,2022,3.0,Pessoas
Número médio de moradores,UF,17,Tocantins,2023,2.9,Pessoas
Número médio de moradores,UF,17,Tocantins,2024,2.9,Pessoas
Número médio de moradores,UF,21,Maranhão,2016,3.5,Pessoas
Número médio de moradores,UF,21,Maranhão,2017,3.5,Pessoas
Número médio de moradores,UF,21,Maranhão,2018,3.5,Pessoas
Número médio de moradores,UF,21,Maranhão,2019,3.4,Pessoas
Número médio de moradores,UF,21,Maranhão,2022,3.3,Pessoas
Número médio de moradores,UF,21,Maranhão,2023,3.1,Pessoas
Número médio de moradores,UF,21,Maranhão,2024,3.1,Pessoas
Número médio de moradores,UF,22,Piauí,2016,3.3,Pessoas
Número médio de moradores,UF,22,Piauí,2017,3.2,Pessoas
Número médio de moradores,UF,22,Piauí,2018,3.3,Pessoas
Número médio de moradores,UF,22,Piauí,2019,3.3,Pessoas
Número médio de moradores,UF,22,Piauí,2022,3.2,Pessoas
Número médio de moradores,UF,22,Piauí,2023,2.9,Pessoas
Número médio de moradores,UF,22,Piauí,2024,2.9,Pessoas
Número médio de moradores,UF,23,Ceará,2016,3.2,Pessoas
Número médio de moradores,UF,23,Ceará,2017,3.2,Pessoas
Número médio de moradores,UF,23,Ceará,2018,3.1,Pessoas
Número médio de moradores,UF,23,Ceará,2019,3.1,Pessoas
Número médio de moradores,UF,23,Ceará,2022,3.0,Pessoas
Número médio de moradores,UF,23,Ceará,2023,2.8,Pessoas
Número médio de moradores,UF,23,Ceará,2024,2.8,Pessoas
Número médio de moradores,UF,24,Rio Grande do Norte,2016,3.2,Pessoas
Número médio de moradores,UF,24,Rio Grande do Norte,2017,3.2,Pessoas
Número médio de moradores,UF,24,Rio Grande do Norte,2018,3.2,Pessoas
Número médio de moradores,UF,24,Rio Grande do Norte,2019,3.1,Pessoas
Número médio de moradores,UF,24,Rio Grande do Norte,2022,3.0,Pessoas
Número médio de moradores,UF,24,Rio Grande do Norte,2023,2.9,Pessoas
Número médio de moradores,UF,24,Rio Grande do Norte,2024,2.8,Pessoas
Número médio de moradores,UF,25,Paraíba,2016,3.2,Pessoas
Número médio de moradores,UF,25,Paraíba,2017,3.2,Pessoas
Número médio de moradores,UF,25,Paraíba,2018,3.2,Pessoas
Número médio de moradores,UF,25,Paraíba,2019,3.1,Pessoas
Número médio de moradores,UF,25,Paraíba,2022,3.0,Pessoas
Número médio de moradores,UF,25,Paraíba,2023,2.8,Pessoas
Número médio de moradores,UF,25,Paraíba,2024,2.8,Pessoas
Número médio de moradores,UF,26,Pernambuco,2016,3.1,Pessoas
Número médio de moradores,UF,26,Pernambuco,2017,3.1,Pessoas
Número médio de moradores,UF,26,Pernambuco,2018,3.0,Pessoas
Número médio de moradores,UF,26,Pernambuco,2019,3.0,Pessoas
Número médio de moradores,UF,26,Pernambuco,2022,2.9,Pessoas
Número médio de moradores,UF,26,Pernambuco,2023,2.8,Pessoas
Número médio de moradores,UF,26,Pernambuco,2024,2.7,Pessoas
Número médio de moradores,UF,27,Alagoas,2016,3.2,Pessoas
Número médio de moradores,UF,27,Alagoas,2017,3.2,Pessoas
Número médio de moradores,UF,27,Alagoas,2018,3.1,Pessoas
Número médio de moradores,UF,27,Alagoas,2019,3.0,Pessoas
Número médio de moradores,UF,27,Alagoas,2022,3.1,Pessoas
Número médio de moradores,UF,27,Alagoas,2023,2.9,Pessoas
Número médio de moradores,UF,27,Alagoas,2024,2.9,Pessoas
Número médio de moradores,UF,28,Sergipe,2016,3.0,Pessoas
Número médio de moradores,UF,28,Sergipe,2017,3.0,Pessoas
Número médio de moradores,UF,28,Sergipe,2018,3.1,Pessoas
Número médio de moradores,UF,28,Sergipe,2019,3.0,Pessoas
Número médio de moradores,UF,28,Sergipe,2022,2.9,Pessoas
Número médio de moradores,UF,28,Sergipe,2023,2.8,Pessoas
Número médio de moradores,UF,28,Sergipe,2024,2.8,Pessoas
Número médio de moradores,UF,29,Bahia,2016,3.1,Pessoas
Número médio de moradores,UF,29,Bahia,2017,3.0,Pessoas
Número médio de moradores,UF,29,Bahia,2018,3.0,Pessoas
Número médio de moradores,UF,29,Bahia,2019,2.9,Pessoas
Número médio de moradores,UF,29,Bahia,2022,2.9,Pessoas
Número médio de moradores,UF,29,Bahia,2023,2.8,Pessoas
Número médio de moradores,UF,29,Bahia,2024,2.7,Pessoas
Número médio de moradores,UF,31,Minas Gerais,2016,3.0,Pessoas
Número médio de moradores,UF,31,Minas Gerais,2017,3.0,Pessoas
Número médio de moradores,UF,31,Minas Gerais,2018,2.9,Pessoas
Número médio de moradores,UF,31,Minas Gerais,2019,2.9,Pessoas
Número médio de moradores,UF,31,Minas Gerais,2022,2.8,Pessoas
Número médio de moradores,UF,31,Minas Gerais,2023,2.7,Pessoas
Número médio de moradores,UF,31,Minas Gerais,2024,2.7,Pessoas
Número médio de moradores,UF,32,Espírito Santo,2016,2.9,Pessoas
Número médio de moradores,UF,32,Espírito Santo,2017,3.0,Pessoas
Número médio de moradores,UF,32,Espírito Santo,2018,2.9,Pessoas
Número médio de moradores,UF,32,Espírito Santo,2019,2.9,Pessoas
Número médio de moradores,UF,32,Espírito Santo,2022,2.9,Pessoas
Número médio de moradores,UF,32,Espírito Santo,2023,2.7,Pessoas
Número médio de moradores,UF,32,Espírito Santo,2024,2.7,Pessoas
Número médio de moradores,UF,33,Rio de Janeiro,2016,2.8,Pessoas
Número médio de moradores,UF,33,Rio de Janeiro,2017,2.8,Pessoas
Número médio de moradores,UF,33,Rio de Janeiro,2018,2.8,Pessoas
Número médio de moradores,UF,33,Rio de Janeiro,2019,2.7,Pessoas
Número médio de moradores,UF,33,Rio de Janeiro,2022,2.7,Pessoas
Número médio de moradores,UF,33,Rio de Janeiro,2023,2.6,Pessoas
Número médio de moradores,UF,33,Rio de Janeiro,2024,2.6,Pessoas
Número médio de moradores,UF,35,São Paulo,2016,3.0,Pessoas
Número médio de moradores,UF,35,São Paulo,2017,3.0,Pessoas
Número médio de moradores,UF,35,São Paulo,2018,2.9,Pessoas
Número médio de moradores,UF,35,São Paulo,2019,2.9,Pessoas
Número médio de moradores,UF,35,São Paulo,2022,2.8,Pessoas
Número médio de moradores,UF,35,São Paulo,2023,2.7,Pessoas
Número médio de moradores,UF,35,São Paulo,2024,2.7,Pessoas
Número médio de moradores,UF,41,Paraná,2016,3.0,Pessoas
Número médio de moradores,UF,41,Paraná,2017,3.0,Pessoas
Número médio de moradores,UF,41,Paraná,2018,2.9,Pessoas
Número médio de moradores,UF,41,Paraná,2019,2.9,Pessoas
Número médio de moradores,UF,41,Paraná,2022,2.8,Pessoas
Número médio de moradores,UF,41,Paraná,2023,2.8,Pessoas
Número médio de moradores,UF,41,Paraná,2024,2.7,Pessoas
Número médio de moradores,UF,42,Santa Catarina,2016,2.9,Pessoas
Número médio de moradores,UF,42,Santa Catarina,2017,2.9,Pessoas
Número médio de moradores,UF,42,Santa Catarina,2018,2.8,Pessoas
Número médio de moradores,UF,42,Santa Catarina,2019,2.9,Pessoas
Número médio de moradores,UF,42,Santa Catarina,2022,2.8,Pessoas
Número médio de moradores,UF,42,Santa Catarina,2023,2.7,Pessoas
Número médio de moradores,UF,42,Santa Catarina,2024,2.7,Pessoas
Número médio de moradores,UF,43,Rio Grande do Sul,2016,2.8,Pessoas
Número médio de moradores,UF,43,Rio Grande do Sul,2017,2.8,Pessoas
Número médio de moradores,UF,43,Rio Grande do Sul,2018,2.8,Pessoas
Número médio de moradores,UF,43,Rio Grande do Sul,2019,2.7,Pessoas
Número médio de moradores,UF,43,Rio Grande do Sul,2022,2.6,Pessoas
Número médio de moradores,UF,43,Rio Grande do Sul,2023,2.6,Pessoas
Número médio de moradores,UF,43,Rio Grande do Sul,2024,2.6,Pessoas
Número médio de moradores,UF,50,Mato Grosso do Sul,2016,3.0,Pessoas
Número médio de moradores,UF,50,Mato Grosso do Sul,2017,3.0,Pessoas
Número médio de moradores,UF,50,Mato Grosso do Sul,2018,3.0,Pessoas
Número médio de moradores,UF,50,Mato Grosso do Sul,2019,3.0,Pessoas
Número médio de moradores,UF,50,Mato Grosso do Sul,2022,2.8,Pessoas
Número médio de moradores,UF,50,Mato Grosso do Sul,2023,2.7,Pessoas
Número médio de moradores,UF,50,Mato Grosso do Sul,2024,2.8,Pessoas
Número médio de moradores,UF,51,Mato Grosso,2016,3.0,Pessoas
Número médio de moradores,UF,51,Mato Grosso,2017,3.0,Pessoas
Número médio de moradores,UF,51,Mato Grosso,2018,3.0,Pessoas
Número médio de moradores,UF,51,Mato Grosso,2019,3.1,Pessoas
Número médio de moradores,UF,51,Mato Grosso,2022,3.0,Pessoas
Número médio de moradores,UF,51,Mato Grosso,2023,2.8,Pessoas
Número médio de moradores,UF,51,Mato Grosso,2024,2.8,Pessoas
Número médio de moradores,UF,52,Goiás,2016,3.0,Pessoas
Número médio de moradores,UF,52,Goiás,2017,3.0,Pessoas
Número médio de moradores,UF,52,Goiás,2018,3.0,Pessoas
Número médio de moradores,UF,52,Goiás,2019,2.9,Pessoas
Número médio de moradores,UF,52,Goiás,2022,2.8,Pessoas
Número médio de moradores,UF,52,Goiás,2023,2.7,Pessoas
Número médio de moradores,UF,52,Goiás,2024,2.7,Pessoas
Número médio de moradores,UF,53,Distrito Federal,2016,3.0,Pessoas
Número médio de moradores,UF,53,Distrito Federal,2017,3.0,Pessoas
Número médio de moradores,UF,53,Distrito Federal,2018,3.0,Pessoas
Número médio de moradores,UF,53,Distrito Federal,2019,3.0,Pessoas
Número médio de moradores,UF,53,Distrito Federal,2022,2.9,Pessoas
Número médio de moradores,UF,53,Distrito Federal,2023,2.8,Pessoas
Número médio de moradores,UF,53,Distrito Federal,2024,2.9,Pessoas
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 1ª visita,,,,,,
,,,,,,
Notas,,,,,,
"A partir de 2025, as estimativas deste tema passaram a ser divulgadas com base na nova ponderação da pesquisa, conforme a Nota Técnica 02/2025. Consequentemente, a série histórica dos indicadores foi atualizada.",,,,,,
,,,,,,
Legenda,,,,,,
Símbolo,Significado,,,,,
-,"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.",,,,,
0,"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas.",,,,,
X,"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido.",,,,,
..,"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas.",,,,,
...,"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa.",,,,,
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)",,,,,
