"Tabela 7414 - Rendimento médio mensal real domiciliar per capita, por situação do domicílio e existência de utilização da Internet no domicílio",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2023,Rural,Havia utilização de internet,932.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2023,Rural,Não havia utilização de internet,563.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2024,Urbana,Havia utilização de internet,1569.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2024,Urbana,Não havia utilização de internet,1014.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2024,Rural,Havia utilização de internet,987.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,1,Norte,2024,Rural,Não havia utilização de internet,646.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2016,Urbana,Havia utilização de internet,1448.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2016,Urbana,Não havia utilização de internet,728.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2016,Rural,Havia utilização de internet,673.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2016,Rural,Não havia utilização de internet,518.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2017,Urbana,Havia utilização de internet,1471.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2017,Urbana,Não havia utilização de internet,725.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2017,Rural,Havia utilização de internet,637.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2017,Rural,Não havia utilização de internet,520.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2018,Urbana,Havia utilização de internet,1457.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2018,Urbana,Não havia utilização de internet,760.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2018,Rural,Havia utilização de internet,624.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2018,Rural,Não havia utilização de internet,514.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2019,Urbana,Havia utilização de internet,1445.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2019,Urbana,Não havia utilização de internet,765.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2019,Rural,Havia utilização de internet,604.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2019,Rural,Não havia utilização de internet,539.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2021,Urbana,Havia utilização de internet,1220.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2021,Urbana,Não havia utilização de internet,760.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2021,Rural,Havia utilização de internet,575.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2021,Rural,Não havia utilização de internet,602.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2022,Urbana,Havia utilização de internet,1360.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2022,Urbana,Não havia utilização de internet,875.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2022,Rural,Havia utilização de internet,670.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2022,Rural,Não havia utilização de internet,679.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2023,Urbana,Havia utilização de internet,1405.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2023,Urbana,Não havia utilização de internet,940.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2023,Rural,Havia utilização de internet,721.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2023,Rural,Não havia utilização de internet,763.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2024,Urbana,Havia utilização de internet,1514.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2024,Urbana,Não havia utilização de internet,1036.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2024,Rural,Havia utilização de internet,789.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,2,Nordeste,2024,Rural,Não havia utilização de internet,879.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2016,Urbana,Havia utilização de internet,2304.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2016,Urbana,Não havia utilização de internet,1285.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2016,Rural,Havia utilização de internet,1329.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2016,Rural,Não havia utilização de internet,904.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2017,Urbana,Havia utilização de internet,2304.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2017,Urbana,Não havia utilização de internet,1356.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2017,Rural,Havia utilização de internet,1211.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2017,Rural,Não havia utilização de internet,951.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2018,Urbana,Havia utilização de internet,2368.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2018,Urbana,Não havia utilização de internet,1412.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2018,Rural,Havia utilização de internet,1180.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2018,Rural,Não havia utilização de internet,972.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2019,Urbana,Havia utilização de internet,2412.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2019,Urbana,Não havia utilização de internet,1376.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2019,Rural,Havia utilização de internet,1191.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2019,Rural,Não havia utilização de internet,973.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2021,Urbana,Havia utilização de internet,2104.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2021,Urbana,Não havia utilização de internet,1288.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2021,Rural,Havia utilização de internet,1188.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2021,Rural,Não havia utilização de internet,1119.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2022,Urbana,Havia utilização de internet,2342.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2022,Urbana,Não havia utilização de internet,1385.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2022,Rural,Havia utilização de internet,1277.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2022,Rural,Não havia utilização de internet,1266.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2023,Urbana,Havia utilização de internet,2455.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2023,Urbana,Não havia utilização de internet,1420.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2023,Rural,Havia utilização de internet,1314.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2023,Rural,Não havia utilização de internet,1232.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2024,Urbana,Havia utilização de internet,2544.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2024,Urbana,Não havia utilização de internet,1604.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2024,Rural,Havia utilização de internet,1446.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,3,Sudeste,2024,Rural,Não havia utilização de internet,1346.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2016,Urbana,Havia utilização de internet,2348.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2016,Urbana,Não havia utilização de internet,1328.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2016,Rural,Havia utilização de internet,1658.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2016,Rural,Não havia utilização de internet,1280.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2017,Urbana,Havia utilização de internet,2378.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2017,Urbana,Não havia utilização de internet,1419.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2017,Rural,Havia utilização de internet,1667.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2017,Rural,Não havia utilização de internet,1290.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2018,Urbana,Havia utilização de internet,2358.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2018,Urbana,Não havia utilização de internet,1460.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2018,Rural,Havia utilização de internet,1590.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2018,Rural,Não havia utilização de internet,1323.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2019,Urbana,Havia utilização de internet,2395.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2019,Urbana,Não havia utilização de internet,1445.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2019,Rural,Havia utilização de internet,1634.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2019,Rural,Não havia utilização de internet,1312.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2021,Urbana,Havia utilização de internet,2129.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2021,Urbana,Não havia utilização de internet,1323.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2021,Rural,Havia utilização de internet,1577.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2021,Rural,Não havia utilização de internet,1313.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2022,Urbana,Havia utilização de internet,2351.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2022,Urbana,Não havia utilização de internet,1477.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2022,Rural,Havia utilização de internet,1789.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2022,Rural,Não havia utilização de internet,1436.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2023,Urbana,Havia utilização de internet,2421.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2023,Urbana,Não havia utilização de internet,1438.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2023,Rural,Havia utilização de internet,1750.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2023,Rural,Não havia utilização de internet,1452.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2024,Urbana,Havia utilização de internet,2618.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2024,Urbana,Não havia utilização de internet,1562.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2024,Rural,Havia utilização de internet,1807.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,4,Sul,2024,Rural,Não havia utilização de internet,1489.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2016,Urbana,Havia utilização de internet,2188.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2016,Urbana,Não havia utilização de internet,1164.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2016,Rural,Havia utilização de internet,1432.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2016,Rural,Não havia utilização de internet,1147.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2017,Urbana,Havia utilização de internet,2260.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2017,Urbana,Não havia utilização de internet,1240.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2017,Rural,Havia utilização de internet,1531.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2017,Rural,Não havia utilização de internet,1268.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2018,Urbana,Havia utilização de internet,2286.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2018,Urbana,Não havia utilização de internet,1206.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2018,Rural,Havia utilização de internet,1515.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2018,Rural,Não havia utilização de internet,1251.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2019,Urbana,Havia utilização de internet,2224.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2019,Urbana,Não havia utilização de internet,1188.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2019,Rural,Havia utilização de internet,1457.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2019,Rural,Não havia utilização de internet,1180.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2021,Urbana,Havia utilização de internet,1989.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2021,Urbana,Não havia utilização de internet,1264.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2021,Rural,Havia utilização de internet,1410.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2021,Rural,Não havia utilização de internet,1135.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2022,Urbana,Havia utilização de internet,2401.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2022,Urbana,Não havia utilização de internet,1285.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2022,Rural,Havia utilização de internet,1636.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2022,Rural,Não havia utilização de internet,1430.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2023,Urbana,Havia utilização de internet,2444.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2023,Urbana,Não havia utilização de internet,1355.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2023,Rural,Havia utilização de internet,1666.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2023,Rural,Não havia utilização de internet,1426.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2024,Urbana,Havia utilização de internet,2502.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2024,Urbana,Não havia utilização de internet,1338.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2024,Rural,Havia utilização de internet,1630.0,Reais
Rendimento médio mensal real domiciliar per capita,GR,5,Centro-Oeste,2024,Rural,Não havia utilização de internet,1345.0,Reais
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 4º trimestre,,,,,,,,
,,,,,,,,
Notas,,,,,,,,
"O rendimento real é obtido conforme deflacionamento especificado nas Notas Técnicas da PNAD Contínua.
Exclusive as pessoas cuja condição no domicílio era ""Pensionista"", ""Empregado doméstico"" ou ""Parente de empregado doméstico"".
O rendimento de trabalho é captado somente para pessoas de 14 anos ou mais de idade.
A partir de 30 de novembro de 2021, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada.",,,,,,,,
,,,,,,,,
Legenda,,,,,,,,
Símbolo,Significado,,,,,,,
-,"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.",,,,,,,
0,"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas.",,,,,,,
X,"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido.",,,,,,,
..,"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas.",,,,,,,
...,"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa.",,,,,,,
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)",,,,,,,
