"Tabela 7427 - Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano, por classes simples de percentual das pessoas em ordem crescente de rendimento domiciliar per capita",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P30 até o P40,7715.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P40 até o P50,9691.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P50 até o P60,11639.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P60 até o P70,14142.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P70 até o P80,18419.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P80 até o P90,26318.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P90,71662.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P90 até o P95,21008.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P95 até o P99,30759.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,3,Sudeste,Maior que o P99,19895.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Até o P5,298.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P5 até o P10,595.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Até o P10,893.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P10 até o P20,1698.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P20 até o P30,2311.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P30 até o P40,2902.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P40 até o P50,3524.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P50 até o P60,4205.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P60 até o P70,5160.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P70 até o P80,6478.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P80 até o P90,8912.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P90,22034.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P90 até o P95,6707.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P95 até o P99,9357.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,4,Sul,Maior que o P99,5969.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Até o P5,139.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P5 até o P10,276.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Até o P10,415.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P10 até o P20,748.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P20 até o P30,989.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P30 até o P40,1220.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P40 até o P50,1544.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P50 até o P60,1829.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P60 até o P70,2284.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P70 até o P80,2967.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P80 até o P90,4384.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P90,12672.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P90 até o P95,3582.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P95 até o P99,5600.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,GR,5,Centro-Oeste,Maior que o P99,3490.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Até o P5,7.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P5 até o P10,19.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Até o P10,27.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P10 até o P20,56.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P20 até o P30,79.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P30 até o P40,99.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P40 até o P50,127.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P50 até o P60,157.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P60 até o P70,193.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P70 até o P80,248.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P80 até o P90,338.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P90,796.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P90 até o P95,244.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P95 até o P99,353.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,11,Rondônia,Maior que o P99,200.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Até o P5,2.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P5 até o P10,5.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Até o P10,6.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P10 até o P20,17.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P20 até o P30,26.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P30 até o P40,35.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P40 até o P50,43.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P50 até o P60,57.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P60 até o P70,73.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P70 até o P80,101.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P80 até o P90,154.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P90,401.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P90 até o P95,118.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P95 até o P99,162.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,12,Acre,Maior que o P99,121.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Até o P5,11.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P5 até o P10,26.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Até o P10,37.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P10 até o P20,85.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P20 até o P30,120.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P30 até o P40,155.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P40 até o P50,200.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P50 até o P60,252.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P60 até o P70,328.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P70 até o P80,427.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P80 até o P90,610.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P90,2133.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P90 até o P95,516.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P95 até o P99,917.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,13,Amazonas,Maior que o P99,700.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Até o P5,2.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P5 até o P10,5.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Até o P10,7.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P10 até o P20,14.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P20 até o P30,20.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P30 até o P40,25.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P40 até o P50,32.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P50 até o P60,41.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P60 até o P70,53.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P70 até o P80,69.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P80 até o P90,106.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P90,281.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P90 até o P95,88.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P95 até o P99,123.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,14,Roraima,Maior que o P99,70.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Até o P5,28.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P5 até o P10,62.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Até o P10,90.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P10 até o P20,183.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P20 até o P30,272.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P30 até o P40,345.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P40 até o P50,440.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P50 até o P60,539.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P60 até o P70,705.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P70 até o P80,934.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P80 até o P90,1298.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P90,3481.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P90 até o P95,996.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P95 até o P99,1455.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,15,Pará,Maior que o P99,1030.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Até o P5,4.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P5 até o P10,8.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Até o P10,11.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P10 até o P20,19.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P20 até o P30,28.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P30 até o P40,34.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P40 até o P50,43.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P50 até o P60,52.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P60 até o P70,69.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P70 até o P80,93.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P80 até o P90,143.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P90,344.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P90 até o P95,111.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P95 até o P99,139.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,16,Amapá,Maior que o P99,94.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Até o P5,6.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P5 até o P10,16.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Até o P10,23.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P10 até o P20,44.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P20 até o P30,59.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P30 até o P40,76.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P40 até o P50,91.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P50 até o P60,113.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P60 até o P70,144.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P70 até o P80,185.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P80 até o P90,266.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P90,668.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P90 até o P95,208.0,Milhões de Reais
"Massa de rendimento mensal real domiciliar per capita, a preços médios do último ano",2012,UF,17,Tocantins,Maior que o P95 até o P99,289.0,Milhões de Reais
