"Tabela 7131 - Pessoas de 14 anos ou mais de idade, por sexo e grupos de anos de estudo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
GR,2,Nordeste,Sem instrução ou menos de 5 anos,5553,Mil pessoas,4979,Mil pessoas,5304,Mil pessoas,4747,Mil pessoas,5066,Mil pessoas,4565,Mil pessoas,5050,Mil pessoas,4514,Mil pessoas,4769,Mil pessoas,4236,Mil pessoas,4664,Mil pessoas,4182,Mil pessoas,4561,Mil pessoas,4127,Mil pessoas
GR,2,Nordeste,5 a 8 anos,4963,Mil pessoas,4730,Mil pessoas,5189,Mil pessoas,4913,Mil pessoas,5232,Mil pessoas,4839,Mil pessoas,5079,Mil pessoas,4721,Mil pessoas,4731,Mil pessoas,4546,Mil pessoas,4611,Mil pessoas,4458,Mil pessoas,4391,Mil pessoas,4286,Mil pessoas
GR,2,Nordeste,9 a 11 anos,3468,Mil pessoas,3739,Mil pessoas,3570,Mil pessoas,3728,Mil pessoas,3524,Mil pessoas,3663,Mil pessoas,3560,Mil pessoas,3682,Mil pessoas,3685,Mil pessoas,3841,Mil pessoas,3661,Mil pessoas,3728,Mil pessoas,3705,Mil pessoas,3833,Mil pessoas
GR,2,Nordeste,12 anos ou mais,6801,Mil pessoas,9171,Mil pessoas,7071,Mil pessoas,9494,Mil pessoas,7599,Mil pessoas,9973,Mil pessoas,7869,Mil pessoas,10353,Mil pessoas,8789,Mil pessoas,11373,Mil pessoas,9223,Mil pessoas,11781,Mil pessoas,9538,Mil pessoas,12259,Mil pessoas
GR,3,Sudeste,Sem instrução ou menos de 5 anos,3496,Mil pessoas,4023,Mil pessoas,3102,Mil pessoas,3639,Mil pessoas,2988,Mil pessoas,3531,Mil pessoas,2913,Mil pessoas,3372,Mil pessoas,2889,Mil pessoas,3379,Mil pessoas,3023,Mil pessoas,3450,Mil pessoas,2971,Mil pessoas,3431,Mil pessoas
GR,3,Sudeste,5 a 8 anos,7036,Mil pessoas,7031,Mil pessoas,7190,Mil pessoas,7192,Mil pessoas,7226,Mil pessoas,7146,Mil pessoas,7055,Mil pessoas,7044,Mil pessoas,6414,Mil pessoas,6535,Mil pessoas,6193,Mil pessoas,6360,Mil pessoas,6032,Mil pessoas,6145,Mil pessoas
GR,3,Sudeste,9 a 11 anos,6575,Mil pessoas,6290,Mil pessoas,6534,Mil pessoas,6274,Mil pessoas,6262,Mil pessoas,6083,Mil pessoas,6298,Mil pessoas,5938,Mil pessoas,6096,Mil pessoas,5815,Mil pessoas,6021,Mil pessoas,5817,Mil pessoas,5974,Mil pessoas,5697,Mil pessoas
GR,3,Sudeste,12 anos ou mais,16861,Mil pessoas,19138,Mil pessoas,17428,Mil pessoas,19689,Mil pessoas,17798,Mil pessoas,20558,Mil pessoas,18561,Mil pessoas,21236,Mil pessoas,20307,Mil pessoas,23003,Mil pessoas,20811,Mil pessoas,23307,Mil pessoas,21400,Mil pessoas,23809,Mil pessoas
GR,4,Sul,Sem instrução ou menos de 5 anos,1318,Mil pessoas,1488,Mil pessoas,1188,Mil pessoas,1381,Mil pessoas,1133,Mil pessoas,1327,Mil pessoas,1060,Mil pessoas,1251,Mil pessoas,1058,Mil pessoas,1269,Mil pessoas,1127,Mil pessoas,1280,Mil pessoas,1099,Mil pessoas,1254,Mil pessoas
GR,4,Sul,5 a 8 anos,2863,Mil pessoas,2740,Mil pessoas,2972,Mil pessoas,2851,Mil pessoas,2990,Mil pessoas,2870,Mil pessoas,2862,Mil pessoas,2743,Mil pessoas,2705,Mil pessoas,2525,Mil pessoas,2599,Mil pessoas,2476,Mil pessoas,2515,Mil pessoas,2369,Mil pessoas
GR,4,Sul,9 a 11 anos,2340,Mil pessoas,2232,Mil pessoas,2363,Mil pessoas,2157,Mil pessoas,2345,Mil pessoas,2104,Mil pessoas,2293,Mil pessoas,2168,Mil pessoas,2424,Mil pessoas,2117,Mil pessoas,2317,Mil pessoas,2112,Mil pessoas,2251,Mil pessoas,2049,Mil pessoas
GR,4,Sul,12 anos ou mais,5075,Mil pessoas,5740,Mil pessoas,5142,Mil pessoas,5917,Mil pessoas,5376,Mil pessoas,6036,Mil pessoas,5673,Mil pessoas,6379,Mil pessoas,6064,Mil pessoas,6775,Mil pessoas,6302,Mil pessoas,6915,Mil pessoas,6623,Mil pessoas,7184,Mil pessoas
GR,5,Centro-Oeste,Sem instrução ou menos de 5 anos,922,Mil pessoas,861,Mil pessoas,812,Mil pessoas,767,Mil pessoas,779,Mil pessoas,733,Mil pessoas,773,Mil pessoas,703,Mil pessoas,715,Mil pessoas,670,Mil pessoas,693,Mil pessoas,650,Mil pessoas,646,Mil pessoas,612,Mil pessoas
GR,5,Centro-Oeste,5 a 8 anos,1319,Mil pessoas,1135,Mil pessoas,1459,Mil pessoas,1244,Mil pessoas,1437,Mil pessoas,1250,Mil pessoas,1354,Mil pessoas,1231,Mil pessoas,1314,Mil pessoas,1108,Mil pessoas,1225,Mil pessoas,1092,Mil pessoas,1196,Mil pessoas,1067,Mil pessoas
GR,5,Centro-Oeste,9 a 11 anos,1164,Mil pessoas,1100,Mil pessoas,1124,Mil pessoas,1082,Mil pessoas,1160,Mil pessoas,1075,Mil pessoas,1183,Mil pessoas,1055,Mil pessoas,1196,Mil pessoas,1091,Mil pessoas,1149,Mil pessoas,1103,Mil pessoas,1144,Mil pessoas,1086,Mil pessoas
GR,5,Centro-Oeste,12 anos ou mais,2567,Mil pessoas,3116,Mil pessoas,2657,Mil pessoas,3260,Mil pessoas,2804,Mil pessoas,3414,Mil pessoas,2940,Mil pessoas,3569,Mil pessoas,3329,Mil pessoas,3897,Mil pessoas,3571,Mil pessoas,4070,Mil pessoas,3683,Mil pessoas,4286,Mil pessoas
UF,11,Rondônia,Sem instrução ou menos de 5 anos,141,Mil pessoas,120,Mil pessoas,115,Mil pessoas,107,Mil pessoas,109,Mil pessoas,102,Mil pessoas,97,Mil pessoas,102,Mil pessoas,111,Mil pessoas,100,Mil pessoas,126,Mil pessoas,116,Mil pessoas,130,Mil pessoas,120,Mil pessoas
UF,11,Rondônia,5 a 8 anos,163,Mil pessoas,142,Mil pessoas,194,Mil pessoas,161,Mil pessoas,190,Mil pessoas,162,Mil pessoas,193,Mil pessoas,154,Mil pessoas,165,Mil pessoas,148,Mil pessoas,163,Mil pessoas,144,Mil pessoas,142,Mil pessoas,122,Mil pessoas
UF,11,Rondônia,9 a 11 anos,133,Mil pessoas,123,Mil pessoas,135,Mil pessoas,106,Mil pessoas,130,Mil pessoas,119,Mil pessoas,123,Mil pessoas,123,Mil pessoas,134,Mil pessoas,119,Mil pessoas,146,Mil pessoas,118,Mil pessoas,139,Mil pessoas,112,Mil pessoas
UF,11,Rondônia,12 anos ou mais,204,Mil pessoas,264,Mil pessoas,220,Mil pessoas,286,Mil pessoas,243,Mil pessoas,302,Mil pessoas,269,Mil pessoas,318,Mil pessoas,297,Mil pessoas,376,Mil pessoas,300,Mil pessoas,371,Mil pessoas,328,Mil pessoas,403,Mil pessoas
UF,12,Acre,Sem instrução ou menos de 5 anos,75,Mil pessoas,63,Mil pessoas,65,Mil pessoas,59,Mil pessoas,65,Mil pessoas,56,Mil pessoas,64,Mil pessoas,53,Mil pessoas,56,Mil pessoas,54,Mil pessoas,71,Mil pessoas,59,Mil pessoas,67,Mil pessoas,58,Mil pessoas
UF,12,Acre,5 a 8 anos,58,Mil pessoas,50,Mil pessoas,67,Mil pessoas,56,Mil pessoas,67,Mil pessoas,63,Mil pessoas,65,Mil pessoas,64,Mil pessoas,70,Mil pessoas,59,Mil pessoas,60,Mil pessoas,56,Mil pessoas,55,Mil pessoas,54,Mil pessoas
UF,12,Acre,9 a 11 anos,58,Mil pessoas,59,Mil pessoas,61,Mil pessoas,57,Mil pessoas,58,Mil pessoas,54,Mil pessoas,60,Mil pessoas,56,Mil pessoas,59,Mil pessoas,57,Mil pessoas,60,Mil pessoas,61,Mil pessoas,66,Mil pessoas,60,Mil pessoas
UF,12,Acre,12 anos ou mais,101,Mil pessoas,129,Mil pessoas,109,Mil pessoas,137,Mil pessoas,118,Mil pessoas,140,Mil pessoas,127,Mil pessoas,153,Mil pessoas,150,Mil pessoas,182,Mil pessoas,148,Mil pessoas,180,Mil pessoas,155,Mil pessoas,183,Mil pessoas
UF,13,Amazonas,Sem instrução ou menos de 5 anos,243,Mil pessoas,204,Mil pessoas,201,Mil pessoas,174,Mil pessoas,201,Mil pessoas,174,Mil pessoas,190,Mil pessoas,148,Mil pessoas,186,Mil pessoas,165,Mil pessoas,173,Mil pessoas,168,Mil pessoas,180,Mil pessoas,160,Mil pessoas
UF,13,Amazonas,5 a 8 anos,297,Mil pessoas,249,Mil pessoas,318,Mil pessoas,275,Mil pessoas,329,Mil pessoas,288,Mil pessoas,322,Mil pessoas,284,Mil pessoas,292,Mil pessoas,254,Mil pessoas,292,Mil pessoas,255,Mil pessoas,269,Mil pessoas,238,Mil pessoas
UF,13,Amazonas,9 a 11 anos,255,Mil pessoas,261,Mil pessoas,243,Mil pessoas,244,Mil pessoas,253,Mil pessoas,248,Mil pessoas,260,Mil pessoas,256,Mil pessoas,260,Mil pessoas,247,Mil pessoas,253,Mil pessoas,258,Mil pessoas,259,Mil pessoas,249,Mil pessoas
UF,13,Amazonas,12 anos ou mais,580,Mil pessoas,650,Mil pessoas,628,Mil pessoas,705,Mil pessoas,682,Mil pessoas,738,Mil pessoas,700,Mil pessoas,780,Mil pessoas,804,Mil pessoas,896,Mil pessoas,836,Mil pessoas,917,Mil pessoas,902,Mil pessoas,995,Mil pessoas
UF,14,Roraima,Sem instrução ou menos de 5 anos,29,Mil pessoas,23,Mil pessoas,21,Mil pessoas,17,Mil pessoas,25,Mil pessoas,20,Mil pessoas,23,Mil pessoas,16,Mil pessoas,23,Mil pessoas,19,Mil pessoas,25,Mil pessoas,17,Mil pessoas,23,Mil pessoas,15,Mil pessoas
UF,14,Roraima,5 a 8 anos,32,Mil pessoas,24,Mil pessoas,39,Mil pessoas,30,Mil pessoas,38,Mil pessoas,29,Mil pessoas,37,Mil pessoas,28,Mil pessoas,31,Mil pessoas,29,Mil pessoas,33,Mil pessoas,27,Mil pessoas,40,Mil pessoas,28,Mil pessoas
UF,14,Roraima,9 a 11 anos,32,Mil pessoas,30,Mil pessoas,34,Mil pessoas,33,Mil pessoas,35,Mil pessoas,31,Mil pessoas,36,Mil pessoas,31,Mil pessoas,39,Mil pessoas,37,Mil pessoas,42,Mil pessoas,35,Mil pessoas,40,Mil pessoas,38,Mil pessoas
UF,14,Roraima,12 anos ou mais,81,Mil pessoas,94,Mil pessoas,87,Mil pessoas,103,Mil pessoas,95,Mil pessoas,110,Mil pessoas,104,Mil pessoas,117,Mil pessoas,123,Mil pessoas,138,Mil pessoas,121,Mil pessoas,141,Mil pessoas,124,Mil pessoas,148,Mil pessoas
UF,15,Pará,Sem instrução ou menos de 5 anos,691,Mil pessoas,535,Mil pessoas,663,Mil pessoas,522,Mil pessoas,636,Mil pessoas,481,Mil pessoas,632,Mil pessoas,492,Mil pessoas,601,Mil pessoas,466,Mil pessoas,596,Mil pessoas,459,Mil pessoas,566,Mil pessoas,449,Mil pessoas
UF,15,Pará,5 a 8 anos,805,Mil pessoas,732,Mil pessoas,810,Mil pessoas,723,Mil pessoas,843,Mil pessoas,738,Mil pessoas,815,Mil pessoas,713,Mil pessoas,843,Mil pessoas,701,Mil pessoas,781,Mil pessoas,709,Mil pessoas,752,Mil pessoas,621,Mil pessoas
UF,15,Pará,9 a 11 anos,593,Mil pessoas,611,Mil pessoas,608,Mil pessoas,632,Mil pessoas,626,Mil pessoas,606,Mil pessoas,618,Mil pessoas,605,Mil pessoas,652,Mil pessoas,620,Mil pessoas,632,Mil pessoas,627,Mil pessoas,673,Mil pessoas,619,Mil pessoas
UF,15,Pará,12 anos ou mais,951,Mil pessoas,1236,Mil pessoas,982,Mil pessoas,1327,Mil pessoas,1088,Mil pessoas,1378,Mil pessoas,1125,Mil pessoas,1461,Mil pessoas,1300,Mil pessoas,1597,Mil pessoas,1374,Mil pessoas,1732,Mil pessoas,1448,Mil pessoas,1829,Mil pessoas
UF,16,Amapá,Sem instrução ou menos de 5 anos,37,Mil pessoas,37,Mil pessoas,39,Mil pessoas,31,Mil pessoas,38,Mil pessoas,35,Mil pessoas,43,Mil pessoas,37,Mil pessoas,40,Mil pessoas,35,Mil pessoas,35,Mil pessoas,36,Mil pessoas,37,Mil pessoas,34,Mil pessoas
UF,16,Amapá,5 a 8 anos,55,Mil pessoas,42,Mil pessoas,61,Mil pessoas,51,Mil pessoas,66,Mil pessoas,52,Mil pessoas,56,Mil pessoas,49,Mil pessoas,60,Mil pessoas,52,Mil pessoas,59,Mil pessoas,53,Mil pessoas,70,Mil pessoas,50,Mil pessoas
UF,16,Amapá,9 a 11 anos,53,Mil pessoas,53,Mil pessoas,62,Mil pessoas,51,Mil pessoas,53,Mil pessoas,52,Mil pessoas,57,Mil pessoas,54,Mil pessoas,58,Mil pessoas,53,Mil pessoas,58,Mil pessoas,50,Mil pessoas,56,Mil pessoas,49,Mil pessoas
UF,16,Amapá,12 anos ou mais,126,Mil pessoas,154,Mil pessoas,126,Mil pessoas,166,Mil pessoas,138,Mil pessoas,167,Mil pessoas,150,Mil pessoas,185,Mil pessoas,173,Mil pessoas,200,Mil pessoas,187,Mil pessoas,214,Mil pessoas,180,Mil pessoas,224,Mil pessoas
UF,17,Tocantins,Sem instrução ou menos de 5 anos,131,Mil pessoas,102,Mil pessoas,122,Mil pessoas,93,Mil pessoas,123,Mil pessoas,95,Mil pessoas,120,Mil pessoas,100,Mil pessoas,109,Mil pessoas,84,Mil pessoas,107,Mil pessoas,88,Mil pessoas,106,Mil pessoas,75,Mil pessoas
UF,17,Tocantins,5 a 8 anos,122,Mil pessoas,101,Mil pessoas,145,Mil pessoas,105,Mil pessoas,132,Mil pessoas,110,Mil pessoas,144,Mil pessoas,100,Mil pessoas,125,Mil pessoas,95,Mil pessoas,125,Mil pessoas,99,Mil pessoas,127,Mil pessoas,105,Mil pessoas
UF,17,Tocantins,9 a 11 anos,108,Mil pessoas,98,Mil pessoas,93,Mil pessoas,92,Mil pessoas,107,Mil pessoas,83,Mil pessoas,108,Mil pessoas,91,Mil pessoas,104,Mil pessoas,98,Mil pessoas,108,Mil pessoas,95,Mil pessoas,118,Mil pessoas,93,Mil pessoas
UF,17,Tocantins,12 anos ou mais,205,Mil pessoas,269,Mil pessoas,227,Mil pessoas,283,Mil pessoas,242,Mil pessoas,301,Mil pessoas,236,Mil pessoas,303,Mil pessoas,304,Mil pessoas,352,Mil pessoas,290,Mil pessoas,354,Mil pessoas,304,Mil pessoas,369,Mil pessoas
UF,21,Maranhão,Sem instrução ou menos de 5 anos,692,Mil pessoas,607,Mil pessoas,686,Mil pessoas,596,Mil pessoas,661,Mil pessoas,574,Mil pessoas,634,Mil pessoas,568,Mil pessoas,574,Mil pessoas,496,Mil pessoas,586,Mil pessoas,507,Mil pessoas,597,Mil pessoas,511,Mil pessoas
UF,21,Maranhão,5 a 8 anos,593,Mil pessoas,523,Mil pessoas,588,Mil pessoas,518,Mil pessoas,596,Mil pessoas,521,Mil pessoas,582,Mil pessoas,508,Mil pessoas,547,Mil pessoas,512,Mil pessoas,552,Mil pessoas,487,Mil pessoas,515,Mil pessoas,477,Mil pessoas
UF,21,Maranhão,9 a 11 anos,476,Mil pessoas,511,Mil pessoas,475,Mil pessoas,471,Mil pessoas,482,Mil pessoas,487,Mil pessoas,509,Mil pessoas,483,Mil pessoas,508,Mil pessoas,493,Mil pessoas,487,Mil pessoas,507,Mil pessoas,481,Mil pessoas,523,Mil pessoas
UF,21,Maranhão,12 anos ou mais,704,Mil pessoas,951,Mil pessoas,769,Mil pessoas,1023,Mil pessoas,812,Mil pessoas,1097,Mil pessoas,861,Mil pessoas,1170,Mil pessoas,1006,Mil pessoas,1327,Mil pessoas,1047,Mil pessoas,1385,Mil pessoas,1106,Mil pessoas,1408,Mil pessoas
UF,22,Piauí,Sem instrução ou menos de 5 anos,370,Mil pessoas,303,Mil pessoas,357,Mil pessoas,280,Mil pessoas,342,Mil pessoas,291,Mil pessoas,350,Mil pessoas,275,Mil pessoas,341,Mil pessoas,289,Mil pessoas,314,Mil pessoas,276,Mil pessoas,306,Mil pessoas,254,Mil pessoas
UF,22,Piauí,5 a 8 anos,297,Mil pessoas,293,Mil pessoas,301,Mil pessoas,288,Mil pessoas,311,Mil pessoas,265,Mil pessoas,290,Mil pessoas,277,Mil pessoas,278,Mil pessoas,246,Mil pessoas,260,Mil pessoas,246,Mil pessoas,264,Mil pessoas,239,Mil pessoas
UF,22,Piauí,9 a 11 anos,220,Mil pessoas,214,Mil pessoas,217,Mil pessoas,217,Mil pessoas,217,Mil pessoas,224,Mil pessoas,211,Mil pessoas,209,Mil pessoas,211,Mil pessoas,207,Mil pessoas,223,Mil pessoas,185,Mil pessoas,224,Mil pessoas,213,Mil pessoas
UF,22,Piauí,12 anos ou mais,342,Mil pessoas,485,Mil pessoas,346,Mil pessoas,532,Mil pessoas,374,Mil pessoas,525,Mil pessoas,394,Mil pessoas,549,Mil pessoas,458,Mil pessoas,608,Mil pessoas,495,Mil pessoas,643,Mil pessoas,484,Mil pessoas,660,Mil pessoas
UF,23,Ceará,Sem instrução ou menos de 5 anos,942,Mil pessoas,806,Mil pessoas,861,Mil pessoas,738,Mil pessoas,766,Mil pessoas,697,Mil pessoas,819,Mil pessoas,708,Mil pessoas,786,Mil pessoas,695,Mil pessoas,773,Mil pessoas,664,Mil pessoas,740,Mil pessoas,694,Mil pessoas
UF,23,Ceará,5 a 8 anos,667,Mil pessoas,680,Mil pessoas,739,Mil pessoas,720,Mil pessoas,739,Mil pessoas,724,Mil pessoas,695,Mil pessoas,669,Mil pessoas,646,Mil pessoas,685,Mil pessoas,615,Mil pessoas,669,Mil pessoas,605,Mil pessoas,675,Mil pessoas
UF,23,Ceará,9 a 11 anos,628,Mil pessoas,713,Mil pessoas,636,Mil pessoas,700,Mil pessoas,662,Mil pessoas,681,Mil pessoas,638,Mil pessoas,674,Mil pessoas,647,Mil pessoas,668,Mil pessoas,630,Mil pessoas,680,Mil pessoas,629,Mil pessoas,669,Mil pessoas
UF,23,Ceará,12 anos ou mais,1116,Mil pessoas,1440,Mil pessoas,1214,Mil pessoas,1514,Mil pessoas,1313,Mil pessoas,1627,Mil pessoas,1337,Mil pessoas,1681,Mil pessoas,1557,Mil pessoas,1857,Mil pessoas,1587,Mil pessoas,1907,Mil pessoas,1635,Mil pessoas,1930,Mil pessoas
UF,24,Rio Grande do Norte,Sem instrução ou menos de 5 anos,325,Mil pessoas,266,Mil pessoas,301,Mil pessoas,269,Mil pessoas,286,Mil pessoas,245,Mil pessoas,303,Mil pessoas,251,Mil pessoas,271,Mil pessoas,228,Mil pessoas,278,Mil pessoas,218,Mil pessoas,275,Mil pessoas,208,Mil pessoas
UF,24,Rio Grande do Norte,5 a 8 anos,304,Mil pessoas,312,Mil pessoas,334,Mil pessoas,321,Mil pessoas,353,Mil pessoas,324,Mil pessoas,317,Mil pessoas,320,Mil pessoas,312,Mil pessoas,300,Mil pessoas,310,Mil pessoas,319,Mil pessoas,267,Mil pessoas,296,Mil pessoas
UF,24,Rio Grande do Norte,9 a 11 anos,210,Mil pessoas,225,Mil pessoas,206,Mil pessoas,234,Mil pessoas,202,Mil pessoas,209,Mil pessoas,212,Mil pessoas,223,Mil pessoas,246,Mil pessoas,251,Mil pessoas,221,Mil pessoas,227,Mil pessoas,220,Mil pessoas,238,Mil pessoas
UF,24,Rio Grande do Norte,12 anos ou mais,465,Mil pessoas,615,Mil pessoas,476,Mil pessoas,605,Mil pessoas,514,Mil pessoas,641,Mil pessoas,520,Mil pessoas,651,Mil pessoas,564,Mil pessoas,728,Mil pessoas,618,Mil pessoas,731,Mil pessoas,644,Mil pessoas,792,Mil pessoas
UF,25,Paraíba,Sem instrução ou menos de 5 anos,400,Mil pessoas,359,Mil pessoas,408,Mil pessoas,353,Mil pessoas,415,Mil pessoas,341,Mil pessoas,402,Mil pessoas,340,Mil pessoas,396,Mil pessoas,328,Mil pessoas,383,Mil pessoas,302,Mil pessoas,382,Mil pessoas,317,Mil pessoas
UF,25,Paraíba,5 a 8 anos,380,Mil pessoas,378,Mil pessoas,352,Mil pessoas,373,Mil pessoas,363,Mil pessoas,379,Mil pessoas,379,Mil pessoas,379,Mil pessoas,347,Mil pessoas,355,Mil pessoas,332,Mil pessoas,356,Mil pessoas,316,Mil pessoas,317,Mil pessoas
UF,25,Paraíba,9 a 11 anos,215,Mil pessoas,253,Mil pessoas,225,Mil pessoas,250,Mil pessoas,210,Mil pessoas,239,Mil pessoas,217,Mil pessoas,237,Mil pessoas,247,Mil pessoas,262,Mil pessoas,235,Mil pessoas,255,Mil pessoas,243,Mil pessoas,256,Mil pessoas
UF,25,Paraíba,12 anos ou mais,459,Mil pessoas,623,Mil pessoas,491,Mil pessoas,654,Mil pessoas,506,Mil pessoas,685,Mil pessoas,520,Mil pessoas,689,Mil pessoas,565,Mil pessoas,718,Mil pessoas,595,Mil pessoas,763,Mil pessoas,628,Mil pessoas,807,Mil pessoas
UF,26,Pernambuco,Sem instrução ou menos de 5 anos,834,Mil pessoas,786,Mil pessoas,751,Mil pessoas,745,Mil pessoas,695,Mil pessoas,672,Mil pessoas,685,Mil pessoas,676,Mil pessoas,709,Mil pessoas,677,Mil pessoas,665,Mil pessoas,645,Mil pessoas,662,Mil pessoas,611,Mil pessoas
UF,26,Pernambuco,5 a 8 anos,814,Mil pessoas,816,Mil pessoas,881,Mil pessoas,860,Mil pessoas,854,Mil pessoas,836,Mil pessoas,821,Mil pessoas,793,Mil pessoas,773,Mil pessoas,785,Mil pessoas,791,Mil pessoas,753,Mil pessoas,776,Mil pessoas,790,Mil pessoas
UF,26,Pernambuco,9 a 11 anos,565,Mil pessoas,572,Mil pessoas,573,Mil pessoas,596,Mil pessoas,526,Mil pessoas,593,Mil pessoas,558,Mil pessoas,597,Mil pessoas,548,Mil pessoas,603,Mil pessoas,585,Mil pessoas,586,Mil pessoas,565,Mil pessoas,612,Mil pessoas
UF,26,Pernambuco,12 anos ou mais,1271,Mil pessoas,1702,Mil pessoas,1314,Mil pessoas,1720,Mil pessoas,1466,Mil pessoas,1863,Mil pessoas,1496,Mil pessoas,1918,Mil pessoas,1569,Mil pessoas,2022,Mil pessoas,1665,Mil pessoas,2134,Mil pessoas,1662,Mil pessoas,2163,Mil pessoas
UF,27,Alagoas,Sem instrução ou menos de 5 anos,355,Mil pessoas,355,Mil pessoas,345,Mil pessoas,339,Mil pessoas,324,Mil pessoas,319,Mil pessoas,325,Mil pessoas,322,Mil pessoas,282,Mil pessoas,276,Mil pessoas,277,Mil pessoas,268,Mil pessoas,285,Mil pessoas,287,Mil pessoas
UF,27,Alagoas,5 a 8 anos,311,Mil pessoas,297,Mil pessoas,320,Mil pessoas,315,Mil pessoas,328,Mil pessoas,310,Mil pessoas,303,Mil pessoas,294,Mil pessoas,285,Mil pessoas,278,Mil pessoas,268,Mil pessoas,257,Mil pessoas,247,Mil pessoas,245,Mil pessoas
