"Tabela 6447 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet no período de referência dos últimos três meses, por situação do domicílio e frequência de utilização da internet",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2023,Urbana,Menos de uma vez por semana,759.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2023,Rural,Todos os dias,15779.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2023,Rural,5 ou 6 vezes por semana,726.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2023,Rural,De 1 a 4 vezes por semana,1099.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2023,Rural,Menos de uma vez por semana,285.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2024,Urbana,Todos os dias,143700.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2024,Urbana,5 ou 6 vezes por semana,2549.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2024,Urbana,De 1 a 4 vezes por semana,3047.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2024,Urbana,Menos de uma vez por semana,702.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2024,Rural,Todos os dias,16237.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2024,Rural,5 ou 6 vezes por semana,566.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2024,Rural,De 1 a 4 vezes por semana,960.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2024,Rural,Menos de uma vez por semana,237.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2022,Urbana,Todos os dias,10152.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2022,Urbana,5 ou 6 vezes por semana,338.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2022,Urbana,De 1 a 4 vezes por semana,380.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2022,Urbana,Menos de uma vez por semana,81.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2022,Rural,Todos os dias,1466.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2022,Rural,5 ou 6 vezes por semana,175.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2022,Rural,De 1 a 4 vezes por semana,286.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2022,Rural,Menos de uma vez por semana,141.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2023,Urbana,Todos os dias,10767.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2023,Urbana,5 ou 6 vezes por semana,304.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2023,Urbana,De 1 a 4 vezes por semana,303.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2023,Urbana,Menos de uma vez por semana,70.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2023,Rural,Todos os dias,1649.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2023,Rural,5 ou 6 vezes por semana,174.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2023,Rural,De 1 a 4 vezes por semana,260.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2023,Rural,Menos de uma vez por semana,103.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2024,Urbana,Todos os dias,11248.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2024,Urbana,5 ou 6 vezes por semana,299.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2024,Urbana,De 1 a 4 vezes por semana,301.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2024,Urbana,Menos de uma vez por semana,66.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2024,Rural,Todos os dias,1857.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2024,Rural,5 ou 6 vezes por semana,136.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2024,Rural,De 1 a 4 vezes por semana,267.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,1,Norte,2024,Rural,Menos de uma vez por semana,104.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2022,Urbana,Todos os dias,31056.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2022,Urbana,5 ou 6 vezes por semana,812.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2022,Urbana,De 1 a 4 vezes por semana,918.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2022,Urbana,Menos de uma vez por semana,181.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2022,Rural,Todos os dias,7187.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2022,Rural,5 ou 6 vezes por semana,376.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2022,Rural,De 1 a 4 vezes por semana,622.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2022,Rural,Menos de uma vez por semana,132.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2023,Urbana,Todos os dias,31820.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2023,Urbana,5 ou 6 vezes por semana,710.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2023,Urbana,De 1 a 4 vezes por semana,766.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2023,Urbana,Menos de uma vez por semana,168.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2023,Rural,Todos os dias,7584.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2023,Rural,5 ou 6 vezes por semana,336.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2023,Rural,De 1 a 4 vezes por semana,506.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2023,Rural,Menos de uma vez por semana,108.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2024,Urbana,Todos os dias,33552.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2024,Urbana,5 ou 6 vezes por semana,604.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2024,Urbana,De 1 a 4 vezes por semana,716.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2024,Urbana,Menos de uma vez por semana,137.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2024,Rural,Todos os dias,8057.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2024,Rural,5 ou 6 vezes por semana,241.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2024,Rural,De 1 a 4 vezes por semana,403.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,2,Nordeste,2024,Rural,Menos de uma vez por semana,80.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2022,Urbana,Todos os dias,63191.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2022,Urbana,5 ou 6 vezes por semana,1758.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2022,Urbana,De 1 a 4 vezes por semana,1765.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2022,Urbana,Menos de uma vez por semana,363.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2022,Rural,Todos os dias,3141.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2022,Rural,5 ou 6 vezes por semana,155.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2022,Rural,De 1 a 4 vezes por semana,287.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2022,Rural,Menos de uma vez por semana,64.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2023,Urbana,Todos os dias,64621.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2023,Urbana,5 ou 6 vezes por semana,1406.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2023,Urbana,De 1 a 4 vezes por semana,1624.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2023,Urbana,Menos de uma vez por semana,383.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2023,Rural,Todos os dias,3215.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2023,Rural,5 ou 6 vezes por semana,119.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2023,Rural,De 1 a 4 vezes por semana,200.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2023,Rural,Menos de uma vez por semana,42.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2024,Urbana,Todos os dias,65327.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2024,Urbana,5 ou 6 vezes por semana,1148.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2024,Urbana,De 1 a 4 vezes por semana,1485.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2024,Urbana,Menos de uma vez por semana,348.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2024,Rural,Todos os dias,3119.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2024,Rural,5 ou 6 vezes por semana,90.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2024,Rural,De 1 a 4 vezes por semana,178.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,3,Sudeste,2024,Rural,Menos de uma vez por semana,22.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2022,Urbana,Todos os dias,19666.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2022,Urbana,5 ou 6 vezes por semana,436.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2022,Urbana,De 1 a 4 vezes por semana,447.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2022,Urbana,Menos de uma vez por semana,143.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2022,Rural,Todos os dias,2526.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2022,Rural,5 ou 6 vezes por semana,82.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2022,Rural,De 1 a 4 vezes por semana,122.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2022,Rural,Menos de uma vez por semana,29.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2023,Urbana,Todos os dias,20353.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2023,Urbana,5 ou 6 vezes por semana,445.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2023,Urbana,De 1 a 4 vezes por semana,425.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2023,Urbana,Menos de uma vez por semana,82.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2023,Rural,Todos os dias,2426.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2023,Rural,5 ou 6 vezes por semana,71.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2023,Rural,De 1 a 4 vezes por semana,102.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2023,Rural,Menos de uma vez por semana,24.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2024,Urbana,Todos os dias,21116.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2024,Urbana,5 ou 6 vezes por semana,347.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2024,Urbana,De 1 a 4 vezes por semana,390.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2024,Urbana,Menos de uma vez por semana,97.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2024,Rural,Todos os dias,2392.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2024,Rural,5 ou 6 vezes por semana,78.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2024,Rural,De 1 a 4 vezes por semana,80.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,4,Sul,2024,Rural,Menos de uma vez por semana,25.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2022,Urbana,Todos os dias,11617.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2022,Urbana,5 ou 6 vezes por semana,267.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2022,Urbana,De 1 a 4 vezes por semana,255.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2022,Urbana,Menos de uma vez por semana,54.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2022,Rural,Todos os dias,876.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2022,Rural,5 ou 6 vezes por semana,27.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2022,Rural,De 1 a 4 vezes por semana,44.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2022,Rural,Menos de uma vez por semana,9.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2023,Urbana,Todos os dias,11861.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2023,Urbana,5 ou 6 vezes por semana,246.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2023,Urbana,De 1 a 4 vezes por semana,227.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2023,Urbana,Menos de uma vez por semana,56.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2023,Rural,Todos os dias,905.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2023,Rural,5 ou 6 vezes por semana,27.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2023,Rural,De 1 a 4 vezes por semana,32.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2023,Rural,Menos de uma vez por semana,9.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2024,Urbana,Todos os dias,12456.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2024,Urbana,5 ou 6 vezes por semana,152.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2024,Urbana,De 1 a 4 vezes por semana,156.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2024,Urbana,Menos de uma vez por semana,53.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2024,Rural,Todos os dias,813.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2024,Rural,5 ou 6 vezes por semana,21.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2024,Rural,De 1 a 4 vezes por semana,32.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,GR,5,Centro-Oeste,2024,Rural,Menos de uma vez por semana,6.0,Mil pessoas
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 4º trimestre,,,,,,,,
,,,,,,,,
Notas,,,,,,,,
"A partir de 30 de novembro de 2021, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada.",,,,,,,,
,,,,,,,,
Legenda,,,,,,,,
Símbolo,Significado,,,,,,,
-,"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.",,,,,,,
0,"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas.",,,,,,,
X,"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido.",,,,,,,
..,"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas.",,,,,,,
...,"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa.",,,,,,,
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)",,,,,,,
