"Tabela 7141 - Taxa ajustada de frequência escolar líquida, por sexo e faixa etária ideal por curso frequentado",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Total,6 a 10 anos nos anos iniciais do ensino fundamental,92.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Total,11 a 14 anos nos anos finais do ensino fundamental,78.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Total,15 a 17 anos no ensino médio,60.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Total,18 a 24 no ensino superior,19.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Homens,6 a 14 anos no ensino fundamental,95.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,92.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Homens,11 a 14 anos nos anos finais do ensino fundamental,75.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Homens,15 a 17 anos no ensino médio,55.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Homens,18 a 24 no ensino superior,17.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Mulheres,6 a 14 anos no ensino fundamental,94.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,91.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,80.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Mulheres,15 a 17 anos no ensino médio,65.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Mulheres,18 a 24 no ensino superior,21.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Total,6 a 14 anos no ensino fundamental,95.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Total,6 a 10 anos nos anos iniciais do ensino fundamental,92.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Total,11 a 14 anos nos anos finais do ensino fundamental,85.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Total,15 a 17 anos no ensino médio,70.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Total,18 a 24 no ensino superior,22.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Homens,6 a 14 anos no ensino fundamental,94.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,91.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Homens,11 a 14 anos nos anos finais do ensino fundamental,83.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Homens,15 a 17 anos no ensino médio,63.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Homens,18 a 24 no ensino superior,17.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Mulheres,6 a 14 anos no ensino fundamental,95.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,92.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,87.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Mulheres,15 a 17 anos no ensino médio,77.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Mulheres,18 a 24 no ensino superior,27.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Total,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Total,6 a 10 anos nos anos iniciais do ensino fundamental,94.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Total,11 a 14 anos nos anos finais do ensino fundamental,74.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Total,15 a 17 anos no ensino médio,52.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Total,18 a 24 no ensino superior,12.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Homens,6 a 14 anos no ensino fundamental,96.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,94.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Homens,11 a 14 anos nos anos finais do ensino fundamental,69.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Homens,15 a 17 anos no ensino médio,48.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Homens,18 a 24 no ensino superior,11.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Mulheres,6 a 14 anos no ensino fundamental,96.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,94.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,78.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Mulheres,15 a 17 anos no ensino médio,57.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Mulheres,18 a 24 no ensino superior,14.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Total,6 a 14 anos no ensino fundamental,95.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Total,6 a 10 anos nos anos iniciais do ensino fundamental,94.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Total,11 a 14 anos nos anos finais do ensino fundamental,75.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Total,15 a 17 anos no ensino médio,70.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Total,18 a 24 no ensino superior,22.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Homens,6 a 14 anos no ensino fundamental,94.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,91.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Homens,11 a 14 anos nos anos finais do ensino fundamental,69.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Homens,15 a 17 anos no ensino médio,60.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Homens,18 a 24 no ensino superior,21.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Mulheres,6 a 14 anos no ensino fundamental,96.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,80.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Mulheres,15 a 17 anos no ensino médio,79.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Mulheres,18 a 24 no ensino superior,22.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Total,6 a 14 anos no ensino fundamental,95.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Total,6 a 10 anos nos anos iniciais do ensino fundamental,93.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Total,11 a 14 anos nos anos finais do ensino fundamental,87.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Total,15 a 17 anos no ensino médio,65.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Total,18 a 24 no ensino superior,20.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Homens,6 a 14 anos no ensino fundamental,95.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,92.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Homens,11 a 14 anos nos anos finais do ensino fundamental,86.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Homens,15 a 17 anos no ensino médio,57.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Homens,18 a 24 no ensino superior,15.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Mulheres,6 a 14 anos no ensino fundamental,95.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,93.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,89.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Mulheres,15 a 17 anos no ensino médio,72.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Mulheres,18 a 24 no ensino superior,26.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Total,6 a 14 anos no ensino fundamental,96.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Total,6 a 10 anos nos anos iniciais do ensino fundamental,94.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Total,11 a 14 anos nos anos finais do ensino fundamental,81.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Total,15 a 17 anos no ensino médio,63.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Total,18 a 24 no ensino superior,12.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Homens,6 a 14 anos no ensino fundamental,96.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,93.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Homens,11 a 14 anos nos anos finais do ensino fundamental,78.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Homens,15 a 17 anos no ensino médio,55.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Homens,18 a 24 no ensino superior,9.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Mulheres,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,95.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,84.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Mulheres,15 a 17 anos no ensino médio,71.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Mulheres,18 a 24 no ensino superior,15.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Total,6 a 14 anos no ensino fundamental,97.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Total,6 a 10 anos nos anos iniciais do ensino fundamental,96.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Total,11 a 14 anos nos anos finais do ensino fundamental,81.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Total,15 a 17 anos no ensino médio,58.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Total,18 a 24 no ensino superior,20.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Homens,6 a 14 anos no ensino fundamental,97.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Homens,6 a 10 anos nos anos iniciais do ensino fundamental,96.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Homens,11 a 14 anos nos anos finais do ensino fundamental,72.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Homens,15 a 17 anos no ensino médio,48.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Homens,18 a 24 no ensino superior,15.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Mulheres,6 a 14 anos no ensino fundamental,97.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Mulheres,6 a 10 anos nos anos iniciais do ensino fundamental,96.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Mulheres,11 a 14 anos nos anos finais do ensino fundamental,90.5,%
