"Tabela 7142 - Taxa ajustada de frequência escolar líquida, por cor ou raça e faixa etária ideal por curso frequentado",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Branca,11 a 14 anos nos anos finais do ensino fundamental,90.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Branca,15 a 17 anos no ensino médio,77.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Branca,18 a 24 no ensino superior,37.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Preta ou parda,6 a 14 anos no ensino fundamental,95.7,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,93.0,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,88.6,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Preta ou parda,15 a 17 anos no ensino médio,66.3,%
Taxa ajustada de frequência escolar líquida,2016,GR,5,Centro-Oeste,Preta ou parda,18 a 24 no ensino superior,23.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Branca,6 a 14 anos no ensino fundamental,98.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,97.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Branca,11 a 14 anos nos anos finais do ensino fundamental,80.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Branca,15 a 17 anos no ensino médio,72.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Branca,18 a 24 no ensino superior,24.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Preta ou parda,6 a 14 anos no ensino fundamental,97.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,95.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,81.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Preta ou parda,15 a 17 anos no ensino médio,57.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,11,Rondônia,Preta ou parda,18 a 24 no ensino superior,16.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Branca,6 a 14 anos no ensino fundamental,96.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Branca,11 a 14 anos nos anos finais do ensino fundamental,77.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Branca,15 a 17 anos no ensino médio,66.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Branca,18 a 24 no ensino superior,27.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Preta ou parda,6 a 14 anos no ensino fundamental,96.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,95.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,78.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Preta ou parda,15 a 17 anos no ensino médio,66.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,12,Acre,Preta ou parda,18 a 24 no ensino superior,20.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Branca,6 a 14 anos no ensino fundamental,95.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,92.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Branca,11 a 14 anos nos anos finais do ensino fundamental,83.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Branca,15 a 17 anos no ensino médio,68.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Branca,18 a 24 no ensino superior,25.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Preta ou parda,6 a 14 anos no ensino fundamental,94.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,92.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,76.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Preta ou parda,15 a 17 anos no ensino médio,59.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,13,Amazonas,Preta ou parda,18 a 24 no ensino superior,18.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Branca,6 a 14 anos no ensino fundamental,95.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,91.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Branca,11 a 14 anos nos anos finais do ensino fundamental,85.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Branca,15 a 17 anos no ensino médio,76.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Branca,18 a 24 no ensino superior,30.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Preta ou parda,6 a 14 anos no ensino fundamental,95.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,92.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,85.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Preta ou parda,15 a 17 anos no ensino médio,69.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,14,Roraima,Preta ou parda,18 a 24 no ensino superior,20.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Branca,6 a 14 anos no ensino fundamental,97.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Branca,11 a 14 anos nos anos finais do ensino fundamental,80.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Branca,15 a 17 anos no ensino médio,56.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Branca,18 a 24 no ensino superior,22.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Preta ou parda,6 a 14 anos no ensino fundamental,96.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,94.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,72.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Preta ou parda,15 a 17 anos no ensino médio,52.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,15,Pará,Preta ou parda,18 a 24 no ensino superior,10.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Branca,6 a 14 anos no ensino fundamental,94.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Branca,11 a 14 anos nos anos finais do ensino fundamental,72.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Branca,15 a 17 anos no ensino médio,84.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Branca,18 a 24 no ensino superior,24.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Preta ou parda,6 a 14 anos no ensino fundamental,95.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,94.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,76.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Preta ou parda,15 a 17 anos no ensino médio,68.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,16,Amapá,Preta ou parda,18 a 24 no ensino superior,21.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Branca,6 a 14 anos no ensino fundamental,94.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,91.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Branca,11 a 14 anos nos anos finais do ensino fundamental,88.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Branca,15 a 17 anos no ensino médio,76.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Branca,18 a 24 no ensino superior,33.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Preta ou parda,6 a 14 anos no ensino fundamental,96.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,94.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,87.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Preta ou parda,15 a 17 anos no ensino médio,62.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,17,Tocantins,Preta ou parda,18 a 24 no ensino superior,17.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Branca,6 a 14 anos no ensino fundamental,95.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,93.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Branca,11 a 14 anos nos anos finais do ensino fundamental,84.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Branca,15 a 17 anos no ensino médio,68.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Branca,18 a 24 no ensino superior,18.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Preta ou parda,6 a 14 anos no ensino fundamental,96.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,94.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,81.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Preta ou parda,15 a 17 anos no ensino médio,62.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,21,Maranhão,Preta ou parda,18 a 24 no ensino superior,11.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Branca,6 a 14 anos no ensino fundamental,96.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Branca,11 a 14 anos nos anos finais do ensino fundamental,82.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Branca,15 a 17 anos no ensino médio,72.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Branca,18 a 24 no ensino superior,34.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Preta ou parda,6 a 14 anos no ensino fundamental,97.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,97.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,80.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Preta ou parda,15 a 17 anos no ensino médio,55.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,22,Piauí,Preta ou parda,18 a 24 no ensino superior,17.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Branca,6 a 14 anos no ensino fundamental,96.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Branca,11 a 14 anos nos anos finais do ensino fundamental,91.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Branca,15 a 17 anos no ensino médio,68.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Branca,18 a 24 no ensino superior,23.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Preta ou parda,6 a 14 anos no ensino fundamental,96.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,96.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,87.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Preta ou parda,15 a 17 anos no ensino médio,67.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,23,Ceará,Preta ou parda,18 a 24 no ensino superior,14.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Branca,6 a 14 anos no ensino fundamental,96.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,93.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Branca,11 a 14 anos nos anos finais do ensino fundamental,86.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Branca,15 a 17 anos no ensino médio,57.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Branca,18 a 24 no ensino superior,22.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Preta ou parda,6 a 14 anos no ensino fundamental,96.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,95.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,77.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Preta ou parda,15 a 17 anos no ensino médio,60.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,24,Rio Grande do Norte,Preta ou parda,18 a 24 no ensino superior,17.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Branca,6 a 14 anos no ensino fundamental,98.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,97.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Branca,11 a 14 anos nos anos finais do ensino fundamental,86.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Branca,15 a 17 anos no ensino médio,58.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Branca,18 a 24 no ensino superior,28.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Preta ou parda,6 a 14 anos no ensino fundamental,97.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,96.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,76.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Preta ou parda,15 a 17 anos no ensino médio,54.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,25,Paraíba,Preta ou parda,18 a 24 no ensino superior,15.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Branca,6 a 14 anos no ensino fundamental,96.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,95.4,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Branca,11 a 14 anos nos anos finais do ensino fundamental,78.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Branca,15 a 17 anos no ensino médio,68.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Branca,18 a 24 no ensino superior,30.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Preta ou parda,6 a 14 anos no ensino fundamental,96.9,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,95.2,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,78.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Preta ou parda,15 a 17 anos no ensino médio,58.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,26,Pernambuco,Preta ou parda,18 a 24 no ensino superior,14.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Branca,6 a 14 anos no ensino fundamental,96.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Branca,11 a 14 anos nos anos finais do ensino fundamental,84.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Branca,15 a 17 anos no ensino médio,59.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Branca,18 a 24 no ensino superior,26.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Preta ou parda,6 a 14 anos no ensino fundamental,95.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,94.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,75.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Preta ou parda,15 a 17 anos no ensino médio,52.8,%
Taxa ajustada de frequência escolar líquida,2016,UF,27,Alagoas,Preta ou parda,18 a 24 no ensino superior,12.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Branca,6 a 14 anos no ensino fundamental,98.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,97.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Branca,11 a 14 anos nos anos finais do ensino fundamental,77.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Branca,15 a 17 anos no ensino médio,58.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Branca,18 a 24 no ensino superior,22.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Preta ou parda,6 a 14 anos no ensino fundamental,97.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Preta ou parda,6 a 10 anos nos anos iniciais do ensino fundamental,95.3,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Preta ou parda,11 a 14 anos nos anos finais do ensino fundamental,75.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Preta ou parda,15 a 17 anos no ensino médio,49.0,%
Taxa ajustada de frequência escolar líquida,2016,UF,28,Sergipe,Preta ou parda,18 a 24 no ensino superior,16.6,%
Taxa ajustada de frequência escolar líquida,2016,UF,29,Bahia,Branca,6 a 14 anos no ensino fundamental,96.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,29,Bahia,Branca,6 a 10 anos nos anos iniciais do ensino fundamental,94.7,%
Taxa ajustada de frequência escolar líquida,2016,UF,29,Bahia,Branca,11 a 14 anos nos anos finais do ensino fundamental,78.1,%
Taxa ajustada de frequência escolar líquida,2016,UF,29,Bahia,Branca,15 a 17 anos no ensino médio,51.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,29,Bahia,Branca,18 a 24 no ensino superior,24.5,%
Taxa ajustada de frequência escolar líquida,2016,UF,29,Bahia,Preta ou parda,6 a 14 anos no ensino fundamental,96.5,%
