"Tabela 7107 - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência, por nível de instrução",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,25,Paraíba,Total,1497.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,26,Pernambuco,Total,3486.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,27,Alagoas,Total,1103.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,28,Sergipe,Total,897.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,29,Bahia,Total,6105.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,31,Minas Gerais,Total,9602.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,32,Espírito Santo,Total,1806.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,33,Rio de Janeiro,Total,7538.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,35,São Paulo,Total,21001.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,41,Paraná,Total,5455.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,42,Santa Catarina,Total,3374.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,43,Rio Grande do Sul,Total,5468.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,50,Mato Grosso do Sul,Total,1180.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,51,Mato Grosso,Total,1476.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,52,Goiás,Total,3077.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,53,Distrito Federal,Total,1317.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,BR,1,Brasil,Total,91359.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,GR,1,Norte,Total,6953.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,GR,2,Nordeste,Total,21817.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,GR,3,Sudeste,Total,40654.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,GR,4,Sul,Total,14603.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,GR,5,Centro-Oeste,Total,7332.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,11,Rondônia,Total,750.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,12,Acre,Total,297.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,13,Amazonas,Total,1476.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,14,Roraima,Total,189.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,15,Pará,Total,3338.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,16,Amapá,Total,295.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,17,Tocantins,Total,607.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,21,Maranhão,Total,2502.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,22,Piauí,Total,1364.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,23,Ceará,Total,3502.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,24,Rio Grande do Norte,Total,1324.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,25,Paraíba,Total,1517.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,26,Pernambuco,Total,3506.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,27,Alagoas,Total,1127.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,28,Sergipe,Total,883.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,29,Bahia,Total,6091.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,31,Minas Gerais,Total,9815.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,32,Espírito Santo,Total,1814.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,33,Rio de Janeiro,Total,7564.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,35,São Paulo,Total,21461.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,41,Paraná,Total,5542.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,42,Santa Catarina,Total,3380.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,43,Rio Grande do Sul,Total,5681.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,50,Mato Grosso do Sul,Total,1219.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,51,Mato Grosso,Total,1572.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,52,Goiás,Total,3156.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,UF,53,Distrito Federal,Total,1386.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,BR,1,Brasil,Total,92248.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,GR,1,Norte,Total,7013.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,GR,2,Nordeste,Total,22571.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,GR,3,Sudeste,Total,40728.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,GR,4,Sul,Total,14593.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,GR,5,Centro-Oeste,Total,7344.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,11,Rondônia,Total,759.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,12,Acre,Total,309.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,13,Amazonas,Total,1493.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,14,Roraima,Total,198.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,15,Pará,Total,3339.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,16,Amapá,Total,288.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,17,Tocantins,Total,626.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,21,Maranhão,Total,2603.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,22,Piauí,Total,1399.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,23,Ceará,Total,3540.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,24,Rio Grande do Norte,Total,1333.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,25,Paraíba,Total,1572.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,26,Pernambuco,Total,3706.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,27,Alagoas,Total,1134.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,28,Sergipe,Total,947.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,29,Bahia,Total,6337.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,31,Minas Gerais,Total,9752.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,32,Espírito Santo,Total,1798.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,33,Rio de Janeiro,Total,7602.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,35,São Paulo,Total,21575.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,41,Paraná,Total,5523.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,42,Santa Catarina,Total,3474.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,43,Rio Grande do Sul,Total,5596.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,50,Mato Grosso do Sul,Total,1238.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,51,Mato Grosso,Total,1548.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,52,Goiás,Total,3217.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,UF,53,Distrito Federal,Total,1341.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,BR,1,Brasil,Total,92400.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,GR,1,Norte,Total,7121.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,GR,2,Nordeste,Total,22627.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,GR,3,Sudeste,Total,40597.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,GR,4,Sul,Total,14681.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,GR,5,Centro-Oeste,Total,7375.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,11,Rondônia,Total,734.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,12,Acre,Total,314.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,13,Amazonas,Total,1488.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,14,Roraima,Total,198.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,15,Pará,Total,3479.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,16,Amapá,Total,296.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,17,Tocantins,Total,611.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,21,Maranhão,Total,2614.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,22,Piauí,Total,1420.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,23,Ceará,Total,3442.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,24,Rio Grande do Norte,Total,1381.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,25,Paraíba,Total,1602.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,26,Pernambuco,Total,3706.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,27,Alagoas,Total,1122.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,28,Sergipe,Total,943.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,29,Bahia,Total,6398.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,31,Minas Gerais,Total,9981.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,32,Espírito Santo,Total,1800.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,33,Rio de Janeiro,Total,7536.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,35,São Paulo,Total,21281.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,41,Paraná,Total,5506.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,42,Santa Catarina,Total,3489.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,43,Rio Grande do Sul,Total,5686.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,50,Mato Grosso do Sul,Total,1235.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,51,Mato Grosso,Total,1569.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,52,Goiás,Total,3192.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,UF,53,Distrito Federal,Total,1378.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,BR,1,Brasil,Total,90750.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,GR,1,Norte,Total,7065.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,GR,2,Nordeste,Total,21323.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,GR,3,Sudeste,Total,40446.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,GR,4,Sul,Total,14590.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,GR,5,Centro-Oeste,Total,7326.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,11,Rondônia,Total,754.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,12,Acre,Total,298.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,13,Amazonas,Total,1509.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,14,Roraima,Total,200.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,15,Pará,Total,3385.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,16,Amapá,Total,300.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,17,Tocantins,Total,619.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,21,Maranhão,Total,2460.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,22,Piauí,Total,1296.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,23,Ceará,Total,3429.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,24,Rio Grande do Norte,Total,1322.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,25,Paraíba,Total,1470.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,26,Pernambuco,Total,3454.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,27,Alagoas,Total,1109.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,28,Sergipe,Total,908.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,29,Bahia,Total,5876.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,31,Minas Gerais,Total,9634.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,32,Espírito Santo,Total,1750.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,33,Rio de Janeiro,Total,7446.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,35,São Paulo,Total,21616.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,41,Paraná,Total,5457.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,42,Santa Catarina,Total,3482.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,43,Rio Grande do Sul,Total,5652.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,50,Mato Grosso do Sul,Total,1268.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,51,Mato Grosso,Total,1530.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,52,Goiás,Total,3146.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,UF,53,Distrito Federal,Total,1383.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,BR,1,Brasil,Total,91205.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,GR,1,Norte,Total,7197.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,GR,2,Nordeste,Total,21042.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,GR,3,Sudeste,Total,40798.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,GR,4,Sul,Total,14642.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,GR,5,Centro-Oeste,Total,7525.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,11,Rondônia,Total,784.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,12,Acre,Total,294.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,13,Amazonas,Total,1555.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,14,Roraima,Total,198.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,15,Pará,Total,3446.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,16,Amapá,Total,296.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,17,Tocantins,Total,625.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,21,Maranhão,Total,2355.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,22,Piauí,Total,1265.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,23,Ceará,Total,3514.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,24,Rio Grande do Norte,Total,1274.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,25,Paraíba,Total,1529.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,26,Pernambuco,Total,3409.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,27,Alagoas,Total,1022.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,28,Sergipe,Total,876.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,29,Bahia,Total,5799.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,31,Minas Gerais,Total,9777.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,32,Espírito Santo,Total,1793.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,33,Rio de Janeiro,Total,7520.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,35,São Paulo,Total,21707.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,41,Paraná,Total,5466.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,42,Santa Catarina,Total,3577.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,43,Rio Grande do Sul,Total,5600.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,50,Mato Grosso do Sul,Total,1256.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,51,Mato Grosso,Total,1568.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,52,Goiás,Total,3294.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,UF,53,Distrito Federal,Total,1408.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,BR,1,Brasil,Total,92771.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,GR,1,Norte,Total,7203.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,GR,2,Nordeste,Total,21231.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,GR,3,Sudeste,Total,41765.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,GR,4,Sul,Total,14834.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,GR,5,Centro-Oeste,Total,7739.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,11,Rondônia,Total,777.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,12,Acre,Total,319.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,13,Amazonas,Total,1587.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,14,Roraima,Total,220.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,15,Pará,Total,3379.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,16,Amapá,Total,289.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,17,Tocantins,Total,632.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,21,Maranhão,Total,2248.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,22,Piauí,Total,1228.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,23,Ceará,Total,3630.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,24,Rio Grande do Norte,Total,1317.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,25,Paraíba,Total,1529.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,26,Pernambuco,Total,3595.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,27,Alagoas,Total,992.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,28,Sergipe,Total,857.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,29,Bahia,Total,5835.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,31,Minas Gerais,Total,9993.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,32,Espírito Santo,Total,1898.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,33,Rio de Janeiro,Total,7557.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,35,São Paulo,Total,22317.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,41,Paraná,Total,5583.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,42,Santa Catarina,Total,3667.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,UF,43,Rio Grande do Sul,Total,5584.0,Mil pessoas
