"Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
BR,1,Brasil,2017,Branca,Ensino superior incompleto ou equivalente,4575.0,Mil pessoas
BR,1,Brasil,2017,Branca,Superior completo,14021.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Sem instrução,6301.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino fundamental incompleto ou equivalente,31467.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino fundamental completo ou equivalente,9357.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino médio incompleto ou equivalente,8410.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino médio completo ou equivalente,25161.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino superior incompleto ou equivalente,3686.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Superior completo,6771.0,Mil pessoas
BR,1,Brasil,2018,Branca,Sem instrução,2390.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino fundamental incompleto ou equivalente,18007.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino fundamental completo ou equivalente,6278.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino médio incompleto ou equivalente,4999.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino médio completo ou equivalente,20278.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino superior incompleto ou equivalente,4953.0,Mil pessoas
BR,1,Brasil,2018,Branca,Superior completo,14650.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Sem instrução,6169.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino fundamental incompleto ou equivalente,31262.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino fundamental completo ou equivalente,9069.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino médio incompleto ou equivalente,8611.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino médio completo ou equivalente,26111.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino superior incompleto ou equivalente,4159.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Superior completo,7546.0,Mil pessoas
BR,1,Brasil,2019,Branca,Sem instrução,2169.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino fundamental incompleto ou equivalente,17523.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino fundamental completo ou equivalente,6231.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino médio incompleto ou equivalente,4891.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino médio completo ou equivalente,20663.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino superior incompleto ou equivalente,5045.0,Mil pessoas
BR,1,Brasil,2019,Branca,Superior completo,15381.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Sem instrução,5857.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino fundamental incompleto ou equivalente,30805.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino fundamental completo ou equivalente,9011.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino médio incompleto ou equivalente,8734.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino médio completo ou equivalente,27228.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino superior incompleto ou equivalente,4296.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Superior completo,8450.0,Mil pessoas
BR,1,Brasil,2022,Branca,Sem instrução,2535.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino fundamental incompleto ou equivalente,16611.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino fundamental completo ou equivalente,6154.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino médio incompleto ou equivalente,5252.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino médio completo ou equivalente,22144.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino superior incompleto ou equivalente,4843.0,Mil pessoas
BR,1,Brasil,2022,Branca,Superior completo,17305.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,Sem instrução,5910.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,Ensino fundamental incompleto ou equivalente,28223.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,Ensino fundamental completo ou equivalente,8781.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,Ensino médio incompleto ou equivalente,9021.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,Ensino médio completo ou equivalente,30166.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,Ensino superior incompleto ou equivalente,4153.0,Mil pessoas
BR,1,Brasil,2022,Preta ou parda,Superior completo,9938.0,Mil pessoas
BR,1,Brasil,2023,Branca,Sem instrução,2518.0,Mil pessoas
BR,1,Brasil,2023,Branca,Ensino fundamental incompleto ou equivalente,16294.0,Mil pessoas
BR,1,Brasil,2023,Branca,Ensino fundamental completo ou equivalente,6031.0,Mil pessoas
BR,1,Brasil,2023,Branca,Ensino médio incompleto ou equivalente,5131.0,Mil pessoas
BR,1,Brasil,2023,Branca,Ensino médio completo ou equivalente,22440.0,Mil pessoas
BR,1,Brasil,2023,Branca,Ensino superior incompleto ou equivalente,4786.0,Mil pessoas
BR,1,Brasil,2023,Branca,Superior completo,17774.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,Sem instrução,6077.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,Ensino fundamental incompleto ou equivalente,27595.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,Ensino fundamental completo ou equivalente,8668.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,Ensino médio incompleto ou equivalente,9094.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,Ensino médio completo ou equivalente,31227.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,Ensino superior incompleto ou equivalente,4345.0,Mil pessoas
BR,1,Brasil,2023,Preta ou parda,Superior completo,10504.0,Mil pessoas
BR,1,Brasil,2024,Branca,Sem instrução,2359.0,Mil pessoas
BR,1,Brasil,2024,Branca,Ensino fundamental incompleto ou equivalente,15548.0,Mil pessoas
BR,1,Brasil,2024,Branca,Ensino fundamental completo ou equivalente,5812.0,Mil pessoas
BR,1,Brasil,2024,Branca,Ensino médio incompleto ou equivalente,4992.0,Mil pessoas
BR,1,Brasil,2024,Branca,Ensino médio completo ou equivalente,22499.0,Mil pessoas
BR,1,Brasil,2024,Branca,Ensino superior incompleto ou equivalente,4805.0,Mil pessoas
BR,1,Brasil,2024,Branca,Superior completo,18614.0,Mil pessoas
BR,1,Brasil,2024,Preta ou parda,Sem instrução,5616.0,Mil pessoas
BR,1,Brasil,2024,Preta ou parda,Ensino fundamental incompleto ou equivalente,27359.0,Mil pessoas
BR,1,Brasil,2024,Preta ou parda,Ensino fundamental completo ou equivalente,8940.0,Mil pessoas
BR,1,Brasil,2024,Preta ou parda,Ensino médio incompleto ou equivalente,9127.0,Mil pessoas
BR,1,Brasil,2024,Preta ou parda,Ensino médio completo ou equivalente,32537.0,Mil pessoas
BR,1,Brasil,2024,Preta ou parda,Ensino superior incompleto ou equivalente,4517.0,Mil pessoas
BR,1,Brasil,2024,Preta ou parda,Superior completo,11350.0,Mil pessoas
GR,1,Norte,2016,Branca,Sem instrução,132.0,Mil pessoas
GR,1,Norte,2016,Branca,Ensino fundamental incompleto ou equivalente,677.0,Mil pessoas
GR,1,Norte,2016,Branca,Ensino fundamental completo ou equivalente,213.0,Mil pessoas
GR,1,Norte,2016,Branca,Ensino médio incompleto ou equivalente,229.0,Mil pessoas
GR,1,Norte,2016,Branca,Ensino médio completo ou equivalente,646.0,Mil pessoas
GR,1,Norte,2016,Branca,Ensino superior incompleto ou equivalente,138.0,Mil pessoas
GR,1,Norte,2016,Branca,Superior completo,328.0,Mil pessoas
GR,1,Norte,2016,Preta ou parda,Sem instrução,760.0,Mil pessoas
GR,1,Norte,2016,Preta ou parda,Ensino fundamental incompleto ou equivalente,3672.0,Mil pessoas
GR,1,Norte,2016,Preta ou parda,Ensino fundamental completo ou equivalente,1047.0,Mil pessoas
GR,1,Norte,2016,Preta ou parda,Ensino médio incompleto ou equivalente,1003.0,Mil pessoas
GR,1,Norte,2016,Preta ou parda,Ensino médio completo ou equivalente,2698.0,Mil pessoas
GR,1,Norte,2016,Preta ou parda,Ensino superior incompleto ou equivalente,398.0,Mil pessoas
GR,1,Norte,2016,Preta ou parda,Superior completo,724.0,Mil pessoas
GR,1,Norte,2017,Branca,Sem instrução,125.0,Mil pessoas
GR,1,Norte,2017,Branca,Ensino fundamental incompleto ou equivalente,685.0,Mil pessoas
GR,1,Norte,2017,Branca,Ensino fundamental completo ou equivalente,201.0,Mil pessoas
GR,1,Norte,2017,Branca,Ensino médio incompleto ou equivalente,235.0,Mil pessoas
GR,1,Norte,2017,Branca,Ensino médio completo ou equivalente,656.0,Mil pessoas
GR,1,Norte,2017,Branca,Ensino superior incompleto ou equivalente,145.0,Mil pessoas
GR,1,Norte,2017,Branca,Superior completo,385.0,Mil pessoas
GR,1,Norte,2017,Preta ou parda,Sem instrução,684.0,Mil pessoas
GR,1,Norte,2017,Preta ou parda,Ensino fundamental incompleto ou equivalente,3716.0,Mil pessoas
GR,1,Norte,2017,Preta ou parda,Ensino fundamental completo ou equivalente,1007.0,Mil pessoas
GR,1,Norte,2017,Preta ou parda,Ensino médio incompleto ou equivalente,1043.0,Mil pessoas
GR,1,Norte,2017,Preta ou parda,Ensino médio completo ou equivalente,2856.0,Mil pessoas
GR,1,Norte,2017,Preta ou parda,Ensino superior incompleto ou equivalente,459.0,Mil pessoas
GR,1,Norte,2017,Preta ou parda,Superior completo,767.0,Mil pessoas
GR,1,Norte,2018,Branca,Sem instrução,113.0,Mil pessoas
GR,1,Norte,2018,Branca,Ensino fundamental incompleto ou equivalente,663.0,Mil pessoas
GR,1,Norte,2018,Branca,Ensino fundamental completo ou equivalente,204.0,Mil pessoas
GR,1,Norte,2018,Branca,Ensino médio incompleto ou equivalente,209.0,Mil pessoas
GR,1,Norte,2018,Branca,Ensino médio completo ou equivalente,649.0,Mil pessoas
GR,1,Norte,2018,Branca,Ensino superior incompleto ou equivalente,174.0,Mil pessoas
GR,1,Norte,2018,Branca,Superior completo,412.0,Mil pessoas
GR,1,Norte,2018,Preta ou parda,Sem instrução,685.0,Mil pessoas
GR,1,Norte,2018,Preta ou parda,Ensino fundamental incompleto ou equivalente,3723.0,Mil pessoas
GR,1,Norte,2018,Preta ou parda,Ensino fundamental completo ou equivalente,991.0,Mil pessoas
GR,1,Norte,2018,Preta ou parda,Ensino médio incompleto ou equivalente,1059.0,Mil pessoas
GR,1,Norte,2018,Preta ou parda,Ensino médio completo ou equivalente,2966.0,Mil pessoas
GR,1,Norte,2018,Preta ou parda,Ensino superior incompleto ou equivalente,490.0,Mil pessoas
GR,1,Norte,2018,Preta ou parda,Superior completo,896.0,Mil pessoas
GR,1,Norte,2019,Branca,Sem instrução,92.0,Mil pessoas
GR,1,Norte,2019,Branca,Ensino fundamental incompleto ou equivalente,649.0,Mil pessoas
GR,1,Norte,2019,Branca,Ensino fundamental completo ou equivalente,201.0,Mil pessoas
GR,1,Norte,2019,Branca,Ensino médio incompleto ou equivalente,198.0,Mil pessoas
GR,1,Norte,2019,Branca,Ensino médio completo ou equivalente,691.0,Mil pessoas
GR,1,Norte,2019,Branca,Ensino superior incompleto ou equivalente,176.0,Mil pessoas
GR,1,Norte,2019,Branca,Superior completo,465.0,Mil pessoas
GR,1,Norte,2019,Preta ou parda,Sem instrução,603.0,Mil pessoas
GR,1,Norte,2019,Preta ou parda,Ensino fundamental incompleto ou equivalente,3720.0,Mil pessoas
GR,1,Norte,2019,Preta ou parda,Ensino fundamental completo ou equivalente,978.0,Mil pessoas
GR,1,Norte,2019,Preta ou parda,Ensino médio incompleto ou equivalente,1103.0,Mil pessoas
GR,1,Norte,2019,Preta ou parda,Ensino médio completo ou equivalente,3121.0,Mil pessoas
GR,1,Norte,2019,Preta ou parda,Ensino superior incompleto ou equivalente,518.0,Mil pessoas
GR,1,Norte,2019,Preta ou parda,Superior completo,930.0,Mil pessoas
GR,1,Norte,2022,Branca,Sem instrução,122.0,Mil pessoas
GR,1,Norte,2022,Branca,Ensino fundamental incompleto ou equivalente,673.0,Mil pessoas
GR,1,Norte,2022,Branca,Ensino fundamental completo ou equivalente,219.0,Mil pessoas
GR,1,Norte,2022,Branca,Ensino médio incompleto ou equivalente,250.0,Mil pessoas
GR,1,Norte,2022,Branca,Ensino médio completo ou equivalente,836.0,Mil pessoas
GR,1,Norte,2022,Branca,Ensino superior incompleto ou equivalente,183.0,Mil pessoas
GR,1,Norte,2022,Branca,Superior completo,512.0,Mil pessoas
GR,1,Norte,2022,Preta ou parda,Sem instrução,676.0,Mil pessoas
GR,1,Norte,2022,Preta ou parda,Ensino fundamental incompleto ou equivalente,3422.0,Mil pessoas
GR,1,Norte,2022,Preta ou parda,Ensino fundamental completo ou equivalente,967.0,Mil pessoas
GR,1,Norte,2022,Preta ou parda,Ensino médio incompleto ou equivalente,1125.0,Mil pessoas
GR,1,Norte,2022,Preta ou parda,Ensino médio completo ou equivalente,3428.0,Mil pessoas
GR,1,Norte,2022,Preta ou parda,Ensino superior incompleto ou equivalente,534.0,Mil pessoas
GR,1,Norte,2022,Preta ou parda,Superior completo,1217.0,Mil pessoas
GR,1,Norte,2023,Branca,Sem instrução,119.0,Mil pessoas
GR,1,Norte,2023,Branca,Ensino fundamental incompleto ou equivalente,656.0,Mil pessoas
GR,1,Norte,2023,Branca,Ensino fundamental completo ou equivalente,210.0,Mil pessoas
GR,1,Norte,2023,Branca,Ensino médio incompleto ou equivalente,241.0,Mil pessoas
GR,1,Norte,2023,Branca,Ensino médio completo ou equivalente,815.0,Mil pessoas
GR,1,Norte,2023,Branca,Ensino superior incompleto ou equivalente,165.0,Mil pessoas
GR,1,Norte,2023,Branca,Superior completo,535.0,Mil pessoas
GR,1,Norte,2023,Preta ou parda,Sem instrução,679.0,Mil pessoas
GR,1,Norte,2023,Preta ou parda,Ensino fundamental incompleto ou equivalente,3390.0,Mil pessoas
GR,1,Norte,2023,Preta ou parda,Ensino fundamental completo ou equivalente,983.0,Mil pessoas
GR,1,Norte,2023,Preta ou parda,Ensino médio incompleto ou equivalente,1141.0,Mil pessoas
GR,1,Norte,2023,Preta ou parda,Ensino médio completo ou equivalente,3644.0,Mil pessoas
GR,1,Norte,2023,Preta ou parda,Ensino superior incompleto ou equivalente,551.0,Mil pessoas
GR,1,Norte,2023,Preta ou parda,Superior completo,1265.0,Mil pessoas
GR,1,Norte,2024,Branca,Sem instrução,126.0,Mil pessoas
GR,1,Norte,2024,Branca,Ensino fundamental incompleto ou equivalente,617.0,Mil pessoas
GR,1,Norte,2024,Branca,Ensino fundamental completo ou equivalente,213.0,Mil pessoas
GR,1,Norte,2024,Branca,Ensino médio incompleto ou equivalente,238.0,Mil pessoas
GR,1,Norte,2024,Branca,Ensino médio completo ou equivalente,914.0,Mil pessoas
GR,1,Norte,2024,Branca,Ensino superior incompleto ou equivalente,193.0,Mil pessoas
GR,1,Norte,2024,Branca,Superior completo,583.0,Mil pessoas
GR,1,Norte,2024,Preta ou parda,Sem instrução,623.0,Mil pessoas
GR,1,Norte,2024,Preta ou parda,Ensino fundamental incompleto ou equivalente,3228.0,Mil pessoas
GR,1,Norte,2024,Preta ou parda,Ensino fundamental completo ou equivalente,1007.0,Mil pessoas
GR,1,Norte,2024,Preta ou parda,Ensino médio incompleto ou equivalente,1127.0,Mil pessoas
GR,1,Norte,2024,Preta ou parda,Ensino médio completo ou equivalente,3760.0,Mil pessoas
GR,1,Norte,2024,Preta ou parda,Ensino superior incompleto ou equivalente,606.0,Mil pessoas
GR,1,Norte,2024,Preta ou parda,Superior completo,1354.0,Mil pessoas
GR,2,Nordeste,2016,Branca,Sem instrução,978.0,Mil pessoas
GR,2,Nordeste,2016,Branca,Ensino fundamental incompleto ou equivalente,3189.0,Mil pessoas
GR,2,Nordeste,2016,Branca,Ensino fundamental completo ou equivalente,852.0,Mil pessoas
GR,2,Nordeste,2016,Branca,Ensino médio incompleto ou equivalente,804.0,Mil pessoas
GR,2,Nordeste,2016,Branca,Ensino médio completo ou equivalente,2734.0,Mil pessoas
GR,2,Nordeste,2016,Branca,Ensino superior incompleto ou equivalente,554.0,Mil pessoas
GR,2,Nordeste,2016,Branca,Superior completo,1413.0,Mil pessoas
GR,2,Nordeste,2016,Preta ou parda,Sem instrução,3772.0,Mil pessoas
GR,2,Nordeste,2016,Preta ou parda,Ensino fundamental incompleto ou equivalente,12186.0,Mil pessoas
GR,2,Nordeste,2016,Preta ou parda,Ensino fundamental completo ou equivalente,2915.0,Mil pessoas
GR,2,Nordeste,2016,Preta ou parda,Ensino médio incompleto ou equivalente,2822.0,Mil pessoas
GR,2,Nordeste,2016,Preta ou parda,Ensino médio completo ou equivalente,7914.0,Mil pessoas
GR,2,Nordeste,2016,Preta ou parda,Ensino superior incompleto ou equivalente,1099.0,Mil pessoas
GR,2,Nordeste,2016,Preta ou parda,Superior completo,1942.0,Mil pessoas
GR,2,Nordeste,2017,Branca,Sem instrução,915.0,Mil pessoas
GR,2,Nordeste,2017,Branca,Ensino fundamental incompleto ou equivalente,3109.0,Mil pessoas
GR,2,Nordeste,2017,Branca,Ensino fundamental completo ou equivalente,804.0,Mil pessoas
GR,2,Nordeste,2017,Branca,Ensino médio incompleto ou equivalente,778.0,Mil pessoas
GR,2,Nordeste,2017,Branca,Ensino médio completo ou equivalente,2725.0,Mil pessoas
GR,2,Nordeste,2017,Branca,Ensino superior incompleto ou equivalente,549.0,Mil pessoas
GR,2,Nordeste,2017,Branca,Superior completo,1485.0,Mil pessoas
GR,2,Nordeste,2017,Preta ou parda,Sem instrução,3662.0,Mil pessoas
GR,2,Nordeste,2017,Preta ou parda,Ensino fundamental incompleto ou equivalente,12367.0,Mil pessoas
GR,2,Nordeste,2017,Preta ou parda,Ensino fundamental completo ou equivalente,2899.0,Mil pessoas
GR,2,Nordeste,2017,Preta ou parda,Ensino médio incompleto ou equivalente,2932.0,Mil pessoas
GR,2,Nordeste,2017,Preta ou parda,Ensino médio completo ou equivalente,8374.0,Mil pessoas
GR,2,Nordeste,2017,Preta ou parda,Ensino superior incompleto ou equivalente,1104.0,Mil pessoas
GR,2,Nordeste,2017,Preta ou parda,Superior completo,2083.0,Mil pessoas
GR,2,Nordeste,2018,Branca,Sem instrução,853.0,Mil pessoas
GR,2,Nordeste,2018,Branca,Ensino fundamental incompleto ou equivalente,3027.0,Mil pessoas
GR,2,Nordeste,2018,Branca,Ensino fundamental completo ou equivalente,782.0,Mil pessoas
GR,2,Nordeste,2018,Branca,Ensino médio incompleto ou equivalente,776.0,Mil pessoas
GR,2,Nordeste,2018,Branca,Ensino médio completo ou equivalente,2861.0,Mil pessoas
GR,2,Nordeste,2018,Branca,Ensino superior incompleto ou equivalente,619.0,Mil pessoas
GR,2,Nordeste,2018,Branca,Superior completo,1605.0,Mil pessoas
GR,2,Nordeste,2018,Preta ou parda,Sem instrução,3497.0,Mil pessoas
GR,2,Nordeste,2018,Preta ou parda,Ensino fundamental incompleto ou equivalente,12149.0,Mil pessoas
GR,2,Nordeste,2018,Preta ou parda,Ensino fundamental completo ou equivalente,2828.0,Mil pessoas
GR,2,Nordeste,2018,Preta ou parda,Ensino médio incompleto ou equivalente,2895.0,Mil pessoas
GR,2,Nordeste,2018,Preta ou parda,Ensino médio completo ou equivalente,8502.0,Mil pessoas
GR,2,Nordeste,2018,Preta ou parda,Ensino superior incompleto ou equivalente,1314.0,Mil pessoas
GR,2,Nordeste,2018,Preta ou parda,Superior completo,2352.0,Mil pessoas
GR,2,Nordeste,2019,Branca,Sem instrução,803.0,Mil pessoas
GR,2,Nordeste,2019,Branca,Ensino fundamental incompleto ou equivalente,3063.0,Mil pessoas
GR,2,Nordeste,2019,Branca,Ensino fundamental completo ou equivalente,770.0,Mil pessoas
GR,2,Nordeste,2019,Branca,Ensino médio incompleto ou equivalente,788.0,Mil pessoas
GR,2,Nordeste,2019,Branca,Ensino médio completo ou equivalente,2861.0,Mil pessoas
GR,2,Nordeste,2019,Branca,Ensino superior incompleto ou equivalente,611.0,Mil pessoas
GR,2,Nordeste,2019,Branca,Superior completo,1720.0,Mil pessoas
GR,2,Nordeste,2019,Preta ou parda,Sem instrução,3381.0,Mil pessoas
GR,2,Nordeste,2019,Preta ou parda,Ensino fundamental incompleto ou equivalente,11936.0,Mil pessoas
GR,2,Nordeste,2019,Preta ou parda,Ensino fundamental completo ou equivalente,2848.0,Mil pessoas
GR,2,Nordeste,2019,Preta ou parda,Ensino médio incompleto ou equivalente,2925.0,Mil pessoas
GR,2,Nordeste,2019,Preta ou parda,Ensino médio completo ou equivalente,8787.0,Mil pessoas
GR,2,Nordeste,2019,Preta ou parda,Ensino superior incompleto ou equivalente,1304.0,Mil pessoas
GR,2,Nordeste,2019,Preta ou parda,Superior completo,2614.0,Mil pessoas
GR,2,Nordeste,2022,Branca,Sem instrução,973.0,Mil pessoas
GR,2,Nordeste,2022,Branca,Ensino fundamental incompleto ou equivalente,2965.0,Mil pessoas
GR,2,Nordeste,2022,Branca,Ensino fundamental completo ou equivalente,852.0,Mil pessoas
GR,2,Nordeste,2022,Branca,Ensino médio incompleto ou equivalente,882.0,Mil pessoas
GR,2,Nordeste,2022,Branca,Ensino médio completo ou equivalente,3261.0,Mil pessoas
GR,2,Nordeste,2022,Branca,Ensino superior incompleto ou equivalente,621.0,Mil pessoas
GR,2,Nordeste,2022,Branca,Superior completo,1811.0,Mil pessoas
GR,2,Nordeste,2022,Preta ou parda,Sem instrução,3316.0,Mil pessoas
GR,2,Nordeste,2022,Preta ou parda,Ensino fundamental incompleto ou equivalente,10850.0,Mil pessoas
GR,2,Nordeste,2022,Preta ou parda,Ensino fundamental completo ou equivalente,2808.0,Mil pessoas
GR,2,Nordeste,2022,Preta ou parda,Ensino médio incompleto ou equivalente,3100.0,Mil pessoas
GR,2,Nordeste,2022,Preta ou parda,Ensino médio completo ou equivalente,9929.0,Mil pessoas
GR,2,Nordeste,2022,Preta ou parda,Ensino superior incompleto ou equivalente,1210.0,Mil pessoas
GR,2,Nordeste,2022,Preta ou parda,Superior completo,2916.0,Mil pessoas
GR,2,Nordeste,2023,Branca,Sem instrução,941.0,Mil pessoas
GR,2,Nordeste,2023,Branca,Ensino fundamental incompleto ou equivalente,2894.0,Mil pessoas
GR,2,Nordeste,2023,Branca,Ensino fundamental completo ou equivalente,807.0,Mil pessoas
GR,2,Nordeste,2023,Branca,Ensino médio incompleto ou equivalente,856.0,Mil pessoas
GR,2,Nordeste,2023,Branca,Ensino médio completo ou equivalente,3403.0,Mil pessoas
GR,2,Nordeste,2023,Branca,Ensino superior incompleto ou equivalente,646.0,Mil pessoas
GR,2,Nordeste,2023,Branca,Superior completo,1971.0,Mil pessoas
GR,2,Nordeste,2023,Preta ou parda,Sem instrução,3330.0,Mil pessoas
GR,2,Nordeste,2023,Preta ou parda,Ensino fundamental incompleto ou equivalente,10546.0,Mil pessoas
GR,2,Nordeste,2023,Preta ou parda,Ensino fundamental completo ou equivalente,2807.0,Mil pessoas
GR,2,Nordeste,2023,Preta ou parda,Ensino médio incompleto ou equivalente,3036.0,Mil pessoas
GR,2,Nordeste,2023,Preta ou parda,Ensino médio completo ou equivalente,10176.0,Mil pessoas
GR,2,Nordeste,2023,Preta ou parda,Ensino superior incompleto ou equivalente,1282.0,Mil pessoas
GR,2,Nordeste,2023,Preta ou parda,Superior completo,3073.0,Mil pessoas
GR,2,Nordeste,2024,Branca,Sem instrução,833.0,Mil pessoas
GR,2,Nordeste,2024,Branca,Ensino fundamental incompleto ou equivalente,2819.0,Mil pessoas
GR,2,Nordeste,2024,Branca,Ensino fundamental completo ou equivalente,825.0,Mil pessoas
GR,2,Nordeste,2024,Branca,Ensino médio incompleto ou equivalente,846.0,Mil pessoas
GR,2,Nordeste,2024,Branca,Ensino médio completo ou equivalente,3357.0,Mil pessoas
GR,2,Nordeste,2024,Branca,Ensino superior incompleto ou equivalente,672.0,Mil pessoas
GR,2,Nordeste,2024,Branca,Superior completo,2122.0,Mil pessoas
GR,2,Nordeste,2024,Preta ou parda,Sem instrução,3121.0,Mil pessoas
GR,2,Nordeste,2024,Preta ou parda,Ensino fundamental incompleto ou equivalente,10417.0,Mil pessoas
GR,2,Nordeste,2024,Preta ou parda,Ensino fundamental completo ou equivalente,2858.0,Mil pessoas
GR,2,Nordeste,2024,Preta ou parda,Ensino médio incompleto ou equivalente,3207.0,Mil pessoas
GR,2,Nordeste,2024,Preta ou parda,Ensino médio completo ou equivalente,10526.0,Mil pessoas
GR,2,Nordeste,2024,Preta ou parda,Ensino superior incompleto ou equivalente,1323.0,Mil pessoas
GR,2,Nordeste,2024,Preta ou parda,Superior completo,3328.0,Mil pessoas
GR,3,Sudeste,2016,Branca,Sem instrução,1031.0,Mil pessoas
GR,3,Sudeste,2016,Branca,Ensino fundamental incompleto ou equivalente,8384.0,Mil pessoas
GR,3,Sudeste,2016,Branca,Ensino fundamental completo ou equivalente,3691.0,Mil pessoas
GR,3,Sudeste,2016,Branca,Ensino médio incompleto ou equivalente,2401.0,Mil pessoas
GR,3,Sudeste,2016,Branca,Ensino médio completo ou equivalente,11510.0,Mil pessoas
GR,3,Sudeste,2016,Branca,Ensino superior incompleto ou equivalente,2357.0,Mil pessoas
