"Tabela 7128 - Pessoas de 14 anos ou mais de idade, por sexo e nível de instrução",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Mulheres,Ensino fundamental completo ou equivalente,7360.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Mulheres,Ensino médio incompleto ou equivalente,7047.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Mulheres,Ensino médio completo ou equivalente,28019.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Mulheres,Ensino superior incompleto ou equivalente,4870.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Mulheres,Superior completo,16686.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Homens,Total,85087.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Homens,Sem instrução,3998.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Homens,Ensino fundamental incompleto ou equivalente,21982.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Homens,Ensino fundamental completo ou equivalente,7503.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Homens,Ensino médio incompleto ou equivalente,7368.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Homens,Ensino médio completo ou equivalente,26924.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Homens,Ensino superior incompleto ou equivalente,4432.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Homens,Superior completo,12881.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Mulheres,Total,90994.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Mulheres,Sem instrução,4090.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Mulheres,Ensino fundamental incompleto ou equivalente,21334.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Mulheres,Ensino fundamental completo ou equivalente,7391.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Mulheres,Ensino médio incompleto ou equivalente,6897.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Mulheres,Ensino médio completo ou equivalente,28687.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Mulheres,Ensino superior incompleto ou equivalente,5004.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2024,Mulheres,Superior completo,17590.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Homens,Total,6358.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Homens,Sem instrução,485.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Homens,Ensino fundamental incompleto ou equivalente,2395.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Homens,Ensino fundamental completo ou equivalente,640.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Homens,Ensino médio incompleto ou equivalente,617.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Homens,Ensino médio completo ou equivalente,1571.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Homens,Ensino superior incompleto ou equivalente,232.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Homens,Superior completo,417.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Mulheres,Total,6457.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Mulheres,Sem instrução,423.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Mulheres,Ensino fundamental incompleto ou equivalente,2003.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Mulheres,Ensino fundamental completo ou equivalente,633.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Mulheres,Ensino médio incompleto ou equivalente,627.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Mulheres,Ensino médio completo ou equivalente,1813.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Mulheres,Ensino superior incompleto ou equivalente,310.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2016,Mulheres,Superior completo,648.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Homens,Total,6479.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Homens,Sem instrução,426.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Homens,Ensino fundamental incompleto ou equivalente,2437.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Homens,Ensino fundamental completo ou equivalente,622.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Homens,Ensino médio incompleto ou equivalente,647.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Homens,Ensino médio completo ou equivalente,1632.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Homens,Ensino superior incompleto ou equivalente,271.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Homens,Superior completo,445.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Mulheres,Total,6626.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Mulheres,Sem instrução,394.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Mulheres,Ensino fundamental incompleto ou equivalente,2010.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Mulheres,Ensino fundamental completo ou equivalente,597.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Mulheres,Ensino médio incompleto ou equivalente,644.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Mulheres,Ensino médio completo ou equivalente,1923.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Mulheres,Ensino superior incompleto ou equivalente,339.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2017,Mulheres,Superior completo,718.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Homens,Total,6730.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Homens,Sem instrução,426.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Homens,Ensino fundamental incompleto ou equivalente,2438.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Homens,Ensino fundamental completo ou equivalente,637.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Homens,Ensino médio incompleto ou equivalente,646.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Homens,Ensino médio completo ou equivalente,1750.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Homens,Ensino superior incompleto ou equivalente,315.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Homens,Superior completo,519.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Mulheres,Total,6737.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Mulheres,Sem instrução,390.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Mulheres,Ensino fundamental incompleto ou equivalente,2016.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Mulheres,Ensino fundamental completo ou equivalente,579.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Mulheres,Ensino médio incompleto ou equivalente,642.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Mulheres,Ensino médio completo ou equivalente,1936.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Mulheres,Ensino superior incompleto ou equivalente,360.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2018,Mulheres,Superior completo,813.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Homens,Total,6774.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Homens,Sem instrução,372.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Homens,Ensino fundamental incompleto ou equivalente,2430.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Homens,Ensino fundamental completo ou equivalente,607.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Homens,Ensino médio incompleto ou equivalente,675.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Homens,Ensino médio completo ou equivalente,1795.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Homens,Ensino superior incompleto ou equivalente,325.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Homens,Superior completo,570.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Mulheres,Total,6872.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Mulheres,Sem instrução,337.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Mulheres,Ensino fundamental incompleto ou equivalente,2004.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Mulheres,Ensino fundamental completo ou equivalente,588.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Mulheres,Ensino médio incompleto ou equivalente,650.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Mulheres,Ensino médio completo ou equivalente,2070.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Mulheres,Ensino superior incompleto ou equivalente,379.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2019,Mulheres,Superior completo,845.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Homens,Total,7169.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Homens,Sem instrução,426.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Homens,Ensino fundamental incompleto ou equivalente,2288.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Homens,Ensino fundamental completo ou equivalente,611.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Homens,Ensino médio incompleto ou equivalente,726.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Homens,Ensino médio completo ou equivalente,2101.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Homens,Ensino superior incompleto ou equivalente,331.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Homens,Superior completo,687.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Mulheres,Total,7231.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Mulheres,Sem instrução,389.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Mulheres,Ensino fundamental incompleto ou equivalente,1872.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Mulheres,Ensino fundamental completo ou equivalente,590.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Mulheres,Ensino médio incompleto ou equivalente,670.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Mulheres,Ensino médio completo ou equivalente,2239.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Mulheres,Ensino superior incompleto ou equivalente,404.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2022,Mulheres,Superior completo,1068.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Homens,Total,7198.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Homens,Sem instrução,426.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Homens,Ensino fundamental incompleto ou equivalente,2221.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Homens,Ensino fundamental completo ou equivalente,615.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Homens,Ensino médio incompleto ou equivalente,719.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Homens,Ensino médio completo ou equivalente,2166.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Homens,Ensino superior incompleto ou equivalente,325.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Homens,Superior completo,728.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Mulheres,Total,7440.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Mulheres,Sem instrução,392.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Mulheres,Ensino fundamental incompleto ou equivalente,1895.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Mulheres,Ensino fundamental completo ou equivalente,596.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Mulheres,Ensino médio incompleto ou equivalente,684.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Mulheres,Ensino médio completo ou equivalente,2363.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Mulheres,Ensino superior incompleto ou equivalente,408.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2023,Mulheres,Superior completo,1102.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Homens,Total,7358.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Homens,Sem instrução,414.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Homens,Ensino fundamental incompleto ou equivalente,2151.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Homens,Ensino fundamental completo ou equivalente,639.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Homens,Ensino médio incompleto ou equivalente,746.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Homens,Ensino médio completo ou equivalente,2277.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Homens,Ensino superior incompleto ou equivalente,354.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Homens,Superior completo,776.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Mulheres,Total,7500.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Mulheres,Sem instrução,360.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Mulheres,Ensino fundamental incompleto ou equivalente,1770.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Mulheres,Ensino fundamental completo ou equivalente,601.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,GR,1,Norte,2024,Mulheres,Ensino médio incompleto ou equivalente,645.0,Mil pessoas
