"Tabela 7415 - Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet, por motivo de não haver utilização da Internet no domicílio",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2018,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,608.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2018,Serviço de acesso à Internet não estava disponível na área do domicílio,639.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2018,Falta de interesse em acessar a Internet,1290.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2018,Nenhum morador sabia usar a Internet,1337.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2018,Outro motivo,906.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2019,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,586.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2019,Serviço de acesso à Internet não estava disponível na área do domicílio,594.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2019,Falta de interesse em acessar a Internet,1274.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2019,Nenhum morador sabia usar a Internet,1415.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2019,Outro motivo,896.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2021,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,600.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2021,Serviço de acesso à Internet não estava disponível na área do domicílio,682.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2021,Falta de interesse em acessar a Internet,1244.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2021,Nenhum morador sabia usar a Internet,1336.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,BR,1,Brasil,2021,Outro motivo,847.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2016,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,515.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2016,Serviço de acesso à Internet não estava disponível na área do domicílio,491.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2016,Falta de interesse em acessar a Internet,803.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2016,Nenhum morador sabia usar a Internet,843.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2016,Outro motivo,851.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2017,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,505.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2017,Serviço de acesso à Internet não estava disponível na área do domicílio,518.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2017,Falta de interesse em acessar a Internet,779.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2017,Nenhum morador sabia usar a Internet,833.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2017,Outro motivo,625.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2018,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,508.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2018,Serviço de acesso à Internet não estava disponível na área do domicílio,470.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2018,Falta de interesse em acessar a Internet,778.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2018,Nenhum morador sabia usar a Internet,956.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2018,Outro motivo,656.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2019,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,480.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2019,Serviço de acesso à Internet não estava disponível na área do domicílio,465.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2019,Falta de interesse em acessar a Internet,810.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2019,Nenhum morador sabia usar a Internet,987.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2019,Outro motivo,650.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2021,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,441.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2021,Serviço de acesso à Internet não estava disponível na área do domicílio,525.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2021,Falta de interesse em acessar a Internet,838.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2021,Nenhum morador sabia usar a Internet,990.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,1,Norte,2021,Outro motivo,614.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2016,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,493.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2016,Serviço de acesso à Internet não estava disponível na área do domicílio,473.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2016,Falta de interesse em acessar a Internet,814.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2016,Nenhum morador sabia usar a Internet,922.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2016,Outro motivo,727.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2017,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,463.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2017,Serviço de acesso à Internet não estava disponível na área do domicílio,462.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2017,Falta de interesse em acessar a Internet,853.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2017,Nenhum morador sabia usar a Internet,965.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2017,Outro motivo,569.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2018,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,449.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2018,Serviço de acesso à Internet não estava disponível na área do domicílio,462.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2018,Falta de interesse em acessar a Internet,878.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2018,Nenhum morador sabia usar a Internet,1057.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2018,Outro motivo,571.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2019,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,442.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2019,Serviço de acesso à Internet não estava disponível na área do domicílio,448.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2019,Falta de interesse em acessar a Internet,928.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2019,Nenhum morador sabia usar a Internet,1119.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2019,Outro motivo,574.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2021,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,470.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2021,Serviço de acesso à Internet não estava disponível na área do domicílio,445.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2021,Falta de interesse em acessar a Internet,937.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2021,Nenhum morador sabia usar a Internet,1133.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,2,Nordeste,2021,Outro motivo,591.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2016,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,825.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2016,Serviço de acesso à Internet não estava disponível na área do domicílio,919.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2016,Falta de interesse em acessar a Internet,1599.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2016,Nenhum morador sabia usar a Internet,1520.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2016,Outro motivo,1214.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2017,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,925.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2017,Serviço de acesso à Internet não estava disponível na área do domicílio,995.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2017,Falta de interesse em acessar a Internet,1584.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2017,Nenhum morador sabia usar a Internet,1627.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2017,Outro motivo,1191.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2018,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,830.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2018,Serviço de acesso à Internet não estava disponível na área do domicílio,1012.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2018,Falta de interesse em acessar a Internet,1687.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2018,Nenhum morador sabia usar a Internet,1616.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2018,Outro motivo,1429.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2019,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,804.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2019,Serviço de acesso à Internet não estava disponível na área do domicílio,875.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2019,Falta de interesse em acessar a Internet,1546.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2019,Nenhum morador sabia usar a Internet,1733.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2019,Outro motivo,1429.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2021,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,833.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2021,Serviço de acesso à Internet não estava disponível na área do domicílio,990.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2021,Falta de interesse em acessar a Internet,1490.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2021,Nenhum morador sabia usar a Internet,1495.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,3,Sudeste,2021,Outro motivo,1632.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2016,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,953.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2016,Serviço de acesso à Internet não estava disponível na área do domicílio,1171.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2016,Falta de interesse em acessar a Internet,1570.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2016,Nenhum morador sabia usar a Internet,1628.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2016,Outro motivo,1531.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2017,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,967.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2017,Serviço de acesso à Internet não estava disponível na área do domicílio,1181.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2017,Falta de interesse em acessar a Internet,1636.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2017,Nenhum morador sabia usar a Internet,1652.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2017,Outro motivo,1774.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2018,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,1033.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2018,Serviço de acesso à Internet não estava disponível na área do domicílio,1154.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2018,Falta de interesse em acessar a Internet,1632.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2018,Nenhum morador sabia usar a Internet,1605.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2018,Outro motivo,1714.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2019,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,958.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2019,Serviço de acesso à Internet não estava disponível na área do domicílio,1166.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2019,Falta de interesse em acessar a Internet,1660.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2019,Nenhum morador sabia usar a Internet,1739.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2019,Outro motivo,1243.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2021,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,948.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2021,Serviço de acesso à Internet não estava disponível na área do domicílio,1237.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2021,Falta de interesse em acessar a Internet,1486.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2021,Nenhum morador sabia usar a Internet,1574.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,4,Sul,2021,Outro motivo,1132.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2016,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,859.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2016,Serviço de acesso à Internet não estava disponível na área do domicílio,1169.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2016,Falta de interesse em acessar a Internet,1359.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2016,Nenhum morador sabia usar a Internet,1410.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2016,Outro motivo,1206.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2017,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,907.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2017,Serviço de acesso à Internet não estava disponível na área do domicílio,1235.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2017,Falta de interesse em acessar a Internet,1505.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2017,Nenhum morador sabia usar a Internet,1435.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2017,Outro motivo,1315.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2018,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,904.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2018,Serviço de acesso à Internet não estava disponível na área do domicílio,1185.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2018,Falta de interesse em acessar a Internet,1448.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2018,Nenhum morador sabia usar a Internet,1429.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2018,Outro motivo,1258.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2019,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,896.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2019,Serviço de acesso à Internet não estava disponível na área do domicílio,1050.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2019,Falta de interesse em acessar a Internet,1441.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2019,Nenhum morador sabia usar a Internet,1449.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2019,Outro motivo,1209.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2021,Serviço ou equipamento eletrônico necessário para acessar a Internet era caro,870.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2021,Serviço de acesso à Internet não estava disponível na área do domicílio,1624.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2021,Falta de interesse em acessar a Internet,1435.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2021,Nenhum morador sabia usar a Internet,1536.0,Reais
Rendimento médio mensal real domiciliar per capita em domicílios que não havia utilização da Internet,GR,5,Centro-Oeste,2021,Outro motivo,1010.0,Reais
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 4º trimestre,,,,,,,
,,,,,,,
Notas,,,,,,,
"O rendimento real é obtido conforme deflacionamento especificado nas Notas Técnicas da PNAD Contínua.
Exclusive as pessoas cuja condição no domicílio era ""Pensionista"", ""Empregado doméstico"" ou ""Parente de empregado doméstico"".
O rendimento de trabalho é captado somente para pessoas de 14 anos ou mais de idade.
A partir de 30 de novembro de 2021, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada.
A categoria Outro motivo para ""Motivo de não haver utilização da internet no domicílio"" inclui os domicílios cujo motivo era que o acesso à internet era realizado em outro local.",,,,,,,
,,,,,,,
Legenda,,,,,,,
Símbolo,Significado,,,,,,
-,"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.",,,,,,
0,"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas.",,,,,,
X,"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido.",,,,,,
..,"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas.",,,,,,
...,"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa.",,,,,,
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)",,,,,,
